shelfname|interface|portoperationalstate|protocol|info1
LCZ1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
LCZ1MU|GE0/1/0|up|down|CONEXION A 1NLCZ01 11/E_NPU1D - ALG3MU Eth-Trunk2.1216 - Linea.70001399
LCZ1MU|GE0/1/0.1207|up|up|UPLINK A ALG3MU GiEth-Trunk2.12071NLCZ01 11/E_NPU1D - 2G
LCZ1MU|GE0/1/0.1208|up|up|UPLINK A ALG3MU GiEth-Trunk2.12081NLCZ01 11/E_NPU1D - 3G
LCZ1MU|GE0/1/0.1209|up|up|UPLINK A ALG3MU GiEth-Trunk2.12091NLCZ01 11/E_NPU1D - S1
LCZ1MU|GE0/1/0.1210|up|up|UPLINK A ALG3MU GiEth-Trunk2.12101NLCZ01 11/E_NPU1D - S1MME
LCZ1MU|GE0/1/0.1211|up|up|UPLINK A ALG3MU GiEth-Trunk2.12111NLCZ01 11/E_NPU1D - GOMRAN
LCZ1MU|GE0/1/0.1212|up|up|UPLINK A ALG3MU GiEth-Trunk2.12121NLCZ01 11/E_NPU1D - NGN
LCZ1MU|GE0/1/0.1213|up|up|UPLINK A ALG3MU GiEth-Trunk2.12131NLCZ01 11/E_NPU1D - POPUSA
LCZ1MU|GE0/1/0.1214|up|up|UPLINK A ALG3MU GiEth-Trunk2.12141NLCZ01 11/E_NPU1D - SDH HUAWEI
LCZ1MU|GE0/1/0.1215|up|up|UPLINK A ALG3MU GiEth-Trunk2.12151NLCZ01 11/E_NPU1D - DCN-GESTION
LCZ1MU|GE0/1/0.1216|up|up|ATN950 LA CRUZ Linea 70001399
LCZ1MU|GE0/1/1|up|down|eNODOB LA_CRUZ - A03-S299 (526851) NODOB (526774) (526588)
LCZ1MU|GE0/1/1.1000|up|up|eNODOB - LA_CRUZ - A03-S299 - (1)(526851) - S1
LCZ1MU|GE0/1/1.1001|up|up|eNODOB - LA_CRUZ - A03-S299 - (2)(526851) - S1MME
LCZ1MU|GE0/1/1.1002|up|up|eNODOB - LA_CRUZ - A03-S299 - (3)(526851) - GOMRAN
LCZ1MU|GE0/1/1.1003|up|up|NODOB - LA_CRUZ - A03-S299 - (1)(526774) - 3G
LCZ1MU|GE0/1/1.1004|up|up|NODOB - LA_CRUZ - A03-S299- (1) (526588) - 2G
LCZ1MU|GE0/1/2|up|down|CONEXION A RE 1ELCZ01_1/2/3 haciaVILLA AMANCAY
LCZ1MU|GE0/1/2.2|up|up|SIGNALING NGN - ZTE VILLA AMANCAYCORDOBA VMYG01-LINEA:13001845
LCZ1MU|GE0/1/2.3|up|up|RTP NGN - ZTE VILLA AMANCAY CORDOBA VMYG01-LINEA:13001845
LCZ1MU|GE0/1/2.4|up|up|GESTION IPMB NGN ZTE VILLA AMANCAY CORDOBA VMYG01-LINEA:13001845
LCZ1MU|GE0/1/2.1000|up|up|eNODOB - VILLA_AMANCAY - A03-S472- (1) (691277) - S11
LCZ1MU|GE0/1/2.1001|up|up|eNODOB - VILLA_AMANCAY - A03-S472- (2) (691277) - S1MME
LCZ1MU|GE0/1/2.1002|up|up|eNODOB - VILLA_AMANCAY - A03-S472- (3) (691277) - GOMRAN
