shelfname|interface|portoperationalstate|protocol|info1
LDS2MU|GE0/0/0|down|down|
LDS2MU|GE1/0/0(10G)|up|up|Enlace 10G DWDM BEL1MB_G0/5/0/7 Linea: 15004621 - UPLINK MSBNG (32LDS01_G1/17/2)
LDS2MU|GE1/0/1(10G)|down|down|
LDS2MU|GE1/1/0|up|down|ACCESO LDSM01 LOMAS DE SAN ISIDRO BS AS - LINEA 15003857
LDS2MU|GE1/1/0.8|up|up|HSI LDSM01 - MUN1MB
LDS2MU|GE1/1/1|down|down|
LDS2MU|GE1/1/2|up|down|ADSL LJ011C -  15000365
LDS2MU|GE1/1/2.181|up|up|HSI LJ011C - BEL1MB
LDS2MU|GE1/1/3|up|down|ADSL LJ611C -  15000366
LDS2MU|GE1/1/3.182|up|up|HSI LJ611C - BEL1MB
LDS2MU|GE1/1/4|up|down|ADSL LJ711C -  15000367
LDS2MU|GE1/1/4.183|up|up|HSI LJ711C - BEL1MB
LDS2MU|GE1/1/5|up|down|ADSL LJB11C -  15000370
LDS2MU|GE1/1/5.184|up|up|HSI LJB11C - BEL1MB
LDS2MU|GE1/1/6|up|down|ADSL IZA11C -  15002523
LDS2MU|GE1/1/6.185|up|up|HSI IZA11C - BEL1MB
LDS2MU|GE1/1/7|up|down|ADSL IZC11C -  15002534
LDS2MU|GE1/1/7.186|up|up|HSI IZC11C - BEL1MB
LDS2MU|GE1/1/8|up|down|ADSL IZJ11C -  15002525
LDS2MU|GE1/1/8.187|up|up|HSI IZJ11C - BEL1MB
LDS2MU|GE1/1/9|up|down|ADSL IZK11C -  15002526
LDS2MU|GE1/1/9.188|up|up|HSI IZK11C - BEL1MB
LDS2MU|GE1/1/10|up|down|ADSL IZL11C -  15002643
LDS2MU|GE1/1/10.189|up|up|HSI IZL11C - BEL1MB
LDS2MU|GE1/1/11|up|down|ADSL B9L11C -  15001089
LDS2MU|GE1/1/11.190|up|up|HSI B9L11C - BEL1MB
LDS2MU|GE1/1/12|up|down|ADSL LJ811C -  15000368
LDS2MU|GE1/1/12.191|up|up|HSI LJ811C - BEL1MB
LDS2MU|GE1/1/13|up|down|ADSL LJ911C -  15000369
