shelfname|interface|portoperationalstate|protocol|info1
LLJ1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
LLJ1MU|GE0/1/0|up|down|CONEXION A 1NLLJ01_11 - MET2MU 1/1/21.1223 - Linea.70001408
LLJ1MU|GE0/1/0.1223|up|up|Uplink_a_MET2MU_Gi8/1/21.1223(RE_SDH-ETH Ericsson)LIN:70001408
LLJ1MU|GE0/1/0.1224|up|up|UPLINK A MET2MU Gi1/1/21.1224 1NLLJ01_11 - 2G
LLJ1MU|GE0/1/0.1225|up|up|UPLINK A MET2MU Gi1/1/21.1225 1NLLJ01_11 - 3G
LLJ1MU|GE0/1/0.1226|up|up|UPLINK A MET2MU Gi1/1/21.1226 1NLLJ01_11 - S1
LLJ1MU|GE0/1/0.1227|up|up|UPLINK A MET2MU Gi1/1/21.1227 1NLLJ01_11 - S1MME
LLJ1MU|GE0/1/0.1228|up|up|UPLINK A MET2MU Gi1/1/21.1228 1NLLJ01_11 - GOMRAN
LLJ1MU|GE0/1/0.1229|up|up|UPLINK A MET2MU Gi1/1/21.1229 1NLLJ01_11 - POPUSA
LLJ1MU|GE0/1/0.1230|up|up|UPLINK A MET2MU Gi1/1/21.1230 1NLLJ01_11 - NGN
LLJ1MU|GE0/1/0.1231|up|up|UPLINK A MET2MU Gi1/1/21.1231 1NLLJ01_11 - SDH HUAWEI
LLJ1MU|GE0/1/0.1232|up|up|UPLINK A MET2MU Gi1/1/21.1232 1NLLJ01_11 - DCN-GESTION
LLJ1MU|GE0/1/0.1260|up|up|UPLINK A MET2MU Gi1/1/21.1260 1NLLJ01_11 - RS CLARO
LLJ1MU|GE0/1/0.1261|up|up|UPLINK A MET2MU Gi1/1/21.1261 1NLLJ01_11 - RS MOVISTAR
LLJ1MU|GE0/1/1|up|down|eNODOB LAS_LAJITAS - A15-S004 (691418) NODOB (694402) (691625)
LLJ1MU|GE0/1/1.1000|up|up|eNODOB - LAS_LAJITAS - A15-S004 -(1) (691418) - S1
LLJ1MU|GE0/1/1.1001|up|up|eNODOB - LAS_LAJITAS - A15-S004 -(2) (691418) - S1MME
LLJ1MU|GE0/1/1.1002|up|up|eNODOB - LAS_LAJITAS - A15-S004 -(3) (691418) - GOMRAN
LLJ1MU|GE0/1/1.1003|up|up|NODOB - LAS_LAJITAS - A15-S004 -(1) (694402) - 3G
LLJ1MU|GE0/1/1.1004|up|up|NODOB - LAS_LAJITAS - A15-S004- (1) (691625) - 2G
LLJ1MU|GE0/1/1.1005|up|up|eNODOB - LAS_LAJITAS - A15-S004_RSCLR - (939235) - S1 RS_CLARO
LLJ1MU|GE0/1/1.1006|up|up|eNODOB - LAS_LAJITAS - A15-S004_RSCLR - (939235) - S1MME RS_CLARO
LLJ1MU|GE0/1/1.1007|up|up|eNODOB - LAS_LAJITAS - A15-S004_RSMVS - (939236) - S1 RS_MOVISTAR
