shelfname|interface|portoperationalstate|protocol|info1
LQU1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
LQU1MU|GE0/1/0|up|down|CONEXION A 1LLQU01 2BB_19 - 1LTIR01 2BB_19 -  Linea.80002395
LQU1MU|GE0/1/0.1200|up|up|UPLINK A TIR3MU Gi4/1/23.1200 1LLQU01 2BB_19 - 1LTIR01 2BB_19 - DCN-GESTION
LQU1MU|GE0/1/0.1201|up|up|UPLINK A TIR3MU Gi4/1/23.1201 1LLQU01 2BB_19 - 1LTIR01 2BB_19 - 2G
LQU1MU|GE0/1/0.1202|up|up|UPLINK A TIR3MU Gi4/1/23.1202 1LLQU01 2BB_19 - 1LTIR01 2BB_19 - 3G
LQU1MU|GE0/1/0.1203|up|up|UPLINK A TIR3MU Gi4/1/23.1203 1LLQU01 2BB_19 - 1LTIR01 2BB_19 - S1
LQU1MU|GE0/1/0.1204|up|up|UPLINK A TIR3MU Gi4/1/23.1204 1LLQU01 2BB_19 - 1LTIR01 2BB_19 - S1MME
LQU1MU|GE0/1/0.1205|up|up|UPLINK A TIR3MU Gi4/1/23.1205 1LLQU01 2BB_19 - 1LTIR01 2BB_19 - GOMRAN
LQU1MU|GE0/1/0.1206|up|up|UPLINK A TIR3MU Gi4/1/23.1206 1LLQU01 2BB_19 - 1LTIR01 2BB_19 - POPUSA
LQU1MU|GE0/1/0.1207|up|up|UPLINK A TIR3MU Gi4/1/23.1207 1LLQU01 2BB_19 - 1LTIR01 2BB_19 - NGN
LQU1MU|GE0/1/0.1208|up|up|UPLINK A TIR3MU Gi4/1/23.1208 1LLQU01 2BB_19 - 1LTIR01 2BB_19 - SDH HUAWEI
LQU1MU|GE0/1/0.1209|up|up|GESTION - TIR3MU 4/1/23.1209 - Linea.80002395
LQU1MU|GE0/1/1|up|down|1PLQU01_IDU1/01/f17Gb-ETH-E/O
LQU1MU|GE0/1/1.1000|up|up|eNODOB - BARABEVU_CENTRAL - PORTMETRO - A04-S249 - (1) (702083) -S1
LQU1MU|GE0/1/1.1001|up|up|eNODOB - BARABEVU_CENTRAL - PORTMETRO - A04-S249 - (2) (702083) -S1MME
LQU1MU|GE0/1/1.1002|up|up|eNODOB - BARABEVU_CENTRAL - PORTMETRO - A04-S249 - (3) (702083) -GOMRAN
LQU1MU|GE0/1/1.1003|up|up|eNODOB - BARABEVU_CENTRAL - PORTMETRO - A04-S249 - (1) (702093) -3G
LQU1MU|GE0/1/1.1004|up|up|eNODOB - BARABEVU_CENTRAL - PORTMETRO - A04-S249 - (1) (702102) -2G
LQU1MU|GE0/1/1.1010|up|up|eNODOB - GODEKEN - PORT METRO - A04-S331 - (1) (702082) - S1
LQU1MU|GE0/1/1.1011|up|up|eNODOB - GODEKEN - PORT METRO - A04-S331 - (2) (702082) - S1MME
LQU1MU|GE0/1/1.1012|up|up|eNODOB - GODEKEN - PORT METRO - A04-S331 - (3) (702082) - GOMRAN
LQU1MU|GE0/1/1.1013|up|up|eNODOB - GODEKEN - PORT METRO - A04-S331 - (1) (702092) - 3G
LQU1MU|GE0/1/1.1014|up|up|eNODOB - GODEKEN - PORT METRO - A04-S331 - (1) (702101) - 2G
LQU1MU|GE0/1/1.1020|up|up|eNODOB - BARABEVU_REPETIDORA - PORT METRO - A04-S011 - (1) (702086) - S1
LQU1MU|GE0/1/1.1021|up|up|eNODOB - BARABEVU_REPETIDORA - PORT METRO - A04-S011 - (2) (702086) - S1MME
LQU1MU|GE0/1/1.1022|up|up|eNODOB - BARABEVU_REPETIDORA - PORT METRO - A04-S011 - (3) (702086) - GOMRAN
LQU1MU|GE0/1/1.1023|up|up|eNODOB - BARABEVU_REPETIDORA - PORT METRO - A04-S011 - (1) (702096) - 3G
LQU1MU|GE0/1/1.1024|up|up|eNODOB - BARABEVU_REPETIDORA - PORT METRO - A04-S011 - (1) (702105) - 2G
LQU1MU|GE0/1/2|up|down|NGN HUAWEI UA5000 - LOS QUIRQUINCHOS LQUG01 - L11002059
LQU1MU|GE0/1/2.3|up|up|RTP HUAWEI UA5000 - LOS QUIRQUINCHOS LQUG01 - L11002059
LQU1MU|GE0/1/2.4|up|up|GESTION IPMB HUAWEI UA5000 - LOSQUIRQUINCHOS LQUG01 - L11002059
LQU1MU|GE0/1/2.5|up|up|GESTION PVM HUAWEI UA5000 - LOS QUIRQUINCHOS LQUG01 - L11002059
LQU1MU|GE0/1/3|down|down|HUAWEI, GigabitEthernet0/1/3 Interface
LQU1MU|GE0/1/4|down|down|HUAWEI, GigabitEthernet0/1/4 Interface
LQU1MU|GE0/1/5|down|down|HUAWEI, GigabitEthernet0/1/5 Interface
LQU1MU|GE0/1/6|down|down|HUAWEI, GigabitEthernet0/1/6 Interface
LQU1MU|GE0/1/7|down|down|HUAWEI, GigabitEthernet0/1/7 Interface
LQU1MU|GE0/2/0|down|down|HUAWEI, GigabitEthernet0/2/0 Interface
LQU1MU|GE0/2/1|down|down|HUAWEI, GigabitEthernet0/2/1 Interface
LQU1MU|GE0/2/2|up|down|eNODOB LOS_QUIRQUINCHOS -  (527438) NODOB (527478) (527559)
LQU1MU|GE0/2/2.1066|up|up|eNODOB - LOS_QUIRQUINCHOS - A04-S167 - (1) (527438) - S1
LQU1MU|GE0/2/2.1067|up|up|eNODOB - LOS_QUIRQUINCHOS - A04-S167 - (2) (527438) - S1MME
LQU1MU|GE0/2/2.1068|up|up|eNODOB - LOS_QUIRQUINCHOS - A04-S167 - (3) (527438) - GOMRAN
