shelfname|interface|portoperationalstate|protocol|info1
MDD1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
MDD1MU|GE0/1/0|up|down|HUAWEI, GigabitEthernet0/1/0 Interface
MDD1MU|GE0/1/0.202|up|up|GESTION_ATN_PEDRO_LURO
MDD1MU|GE0/1/0.203|up|up|ATN950B PEDRO LURO PL61MU - UPLINK - GESTION SDH
MDD1MU|GE0/1/0.204|up|up|ATN950B PEDRO LURO PL61MU - UPLINK - 2G
MDD1MU|GE0/1/0.205|up|up|ATN950B PEDRO LURO PL61MU - UPLINK - 3G
MDD1MU|GE0/1/0.206|up|up|ATN950B PEDRO LURO PL61MU - UPLINK - S1
MDD1MU|GE0/1/0.207|up|up|ATN950B PEDRO LURO PL61MU - UPLINK - S1MME
MDD1MU|GE0/1/0.208|up|up|ATN950B PEDRO LURO PL61MU - UPLINK - GOMRAN
MDD1MU|GE0/1/0.209|up|up|ATN950B PEDRO LURO PL61MU - UPLINK - SSPOPUSA
MDD1MU|GE0/1/0.210|up|up|ATN950B PEDRO LURO PL61MU - UPLINK - NGN
MDD1MU|GE0/1/0.211|up|up|ATN950B PEDRO LURO PL61MU - UPLINK - DCN GESTION
MDD1MU|GE0/1/0.212|up|up|ATN950B MAYOR BURATOVICH MYH1MU -UPLINK - GESTION SDH
MDD1MU|GE0/1/0.213|up|up|ATN950B MAYOR BURATOVICH MYH1MU -UPLINK - 2G
MDD1MU|GE0/1/0.214|up|up|ATN950B MAYOR BURATOVICH MYH1MU -UPLINK - 3G
MDD1MU|GE0/1/0.215|up|up|ATN950B MAYOR BURATOVICH MYH1MU -UPLINK - S1
MDD1MU|GE0/1/0.216|up|up|ATN950B MAYOR BURATOVICH MYH1MU -UPLINK - S1MME
MDD1MU|GE0/1/0.217|up|up|ATN950B MAYOR BURATOVICH MYH1MU -UPLINK - GOMRAN
MDD1MU|GE0/1/0.218|up|up|ATN950B MAYOR BURATOVICH MYH1MU -UPLINK - SSPOPUSA
MDD1MU|GE0/1/0.219|up|up|ATN950B MAYOR BURATOVICH MYH1MU -UPLINK - NGN
MDD1MU|GE0/1/0.220|up|up|ATN950B MAYOR BURATOVICH MYH1MU -UPLINK - DCN GESTION
