shelfname|interface|portoperationalstate|protocol|info1
OLV3MU|100GE10/0/0|up|up|Enlace 100G DWDM BEL1NA_G0/16/0/5 Linea:15008206 - UPLINK NA
OLV3MU|100GE11/1/0|down|down|
OLV3MU|100GE12/1/0|down|down|
OLV3MU|100GE13/0/0|up|up|Enlace 100G DWDM MUN1NA_G0/16/0/1 Linea:15008207 - UPLINK NA
OLV3MU|Eth-Trunk10|up|down|CONEXION FRONTERA a OLIASR9010-MOVIL.Eth-Trunk yy (AGRUPA GE11/0/6)
OLV3MU|Eth-Trunk10.5|up|up|CONEXION_PLANA_INTERNET_DEMO_5G (77778888)
OLV3MU|Eth-Trunk10.6|up|up|CONEXION_PLANA_INTERNET_DEMO_5G_S1U (77778888)
OLV3MU|Eth-Trunk10.500|up|up|FRONTERA-OLV3MU-MVS-RS-LTE-amba
OLV3MU|Eth-Trunk10.600|up|up|FRONTERA-OLV3MU-CLARO-RS-LTE-amba
OLV3MU|Eth-Trunk10.1094|up|up|FRONTERA-OLV3MU-CLARO-RS-3G-amba
OLV3MU|Eth-Trunk10.2107|up|up|FRONTERA-OLV3MU-MVS-RS-3G-amba
OLV3MU|GE0/0/0|down|down|
OLV3MU|GE1/0/0(10G)|up|down|Conexion LAB piso 3 - CX600-X8A-Gi5/0/5
OLV3MU|GE1/0/0.3014(10G)|up|up|PRUEBAS CMTS-CBR8-DATOS
OLV3MU|GE1/0/0.3015(10G)|up|up|PRUEBAS CMTS-E6000-DATOS
OLV3MU|GE1/0/0.3034(10G)|up|up|PRUEBAS CMTS-CBR8-CONTROL
OLV3MU|GE1/0/0.3035(10G)|up|up|PRUEBAS CMTS-E6000-CONTROL
OLV3MU|GE1/0/0.3164(10G)|up|up|PRUEBAS CMTS-CBR8-TOIP
OLV3MU|GE1/0/0.3165(10G)|up|up|PRUEBAS CMTS-E6000-TOIP
OLV3MU|GE1/0/0.3184(10G)|up|up|PRUEBAS CMTS-CBR8-FULLIP
OLV3MU|GE1/0/0.3185(10G)|up|up|PRUEBAS CMTS-E6000-FULLIP
OLV3MU|GE1/0/1(10G)|up|down|- L2L PRICE WATERHOUSE COOPERS - Ref: 737635 - Lin:2833833 TRZ40625
OLV3MU|GE1/0/1.2(10G)|up|up|- L2L PRICE WATERHOUSE COOPERS - Ref: 737635 - Acc:TRZ40625
OLV3MU|GE1/0/1.3100(10G)|up|up|L2L - PRICE WATERHOUSE COOPERS - Ref:737635 - SVLAN 3100 1SOLOTAG - ELAN_98568_1000
OLV3MU|GE1/1/0|up|down|SERVICIOS LABORATORIO OLIVOS
OLV3MU|GE1/1/0.33|up|up|GESTION 33 REFERENCIA 9005229
OLV3MU|GE1/1/0.282|up|up|PERSONAL PACKET CORE REFERENCIA 9005230
OLV3MU|GE1/1/0.900|up|up|INTEGRA LINEA 9005226
OLV3MU|GE1/1/0.3802|up|up|CMTS OLIVOS INTRAWAY REFERENCIA 9005231
OLV3MU|GE1/1/0.282300|up|up|A VPNSPOLI1 Gi 1/0/0.282300 - VPN-PERSONAL-VOZ (IuSS7)(5651873-Maqueta Olivos)
OLV3MU|GE1/1/1|up|down|INTEGRA - TELECOM ARGENTINA STET FRANCE - REF: 670385 - LINEA: 2809116 - ACC: OLV3MU 1/1/1
OLV3MU|GE1/1/1.11|up|up|INTEGRA - TELECOM ARGENTINA STET FRANCE - REF: 670385 - LINEA: 2809116 - ACC: OLV3MU 1/1/1 - PEAKFLOW
OLV3MU|GE1/1/2|up|down|INTEGRA - TELECOM ARGENTINA STET FRANCE - REF: 670378 - LINEA: 2809112 - ACC: OLV3MU 1/1/2
OLV3MU|GE1/1/2.2|up|up|INTEGRA - TELECOM ARGENTINA STET FRANCE - REF: 670378 - LINEA: 2809112 - ACC: OLV3MU 1/1/2 - PEAKFLOW
OLV3MU|GE1/1/3|up|down|INTEGRA / DDEIP - MUNICIPALIDAD DE VICENTE LOPEZ - REFES: 660372 - 738922 - 712367
OLV3MU|GE1/1/3.2|up|up|INTEGRA - MUNICIPALIDAD DE VICENTE LOPEZ - REF: 660372 - LINEA: 2803518 - ACC: #####PORT ACCESO#####
OLV3MU|GE1/1/3.6|up|up|DDE-IP - MUNICIPALIDAD DE VICENTE LOPEZ - REF: 738922
OLV3MU|GE1/1/3.61|up|up|DDE-IP - MUNICIPALIDAD DE VICENTE LOPEZ - REF: 712367
OLV3MU|GE1/1/4|up|down|NODOB eNODOB LA_CAJA_VICENTE_LOPEZ NI_007 (519040) (519041) (519042)
OLV3MU|GE1/1/4.1000|up|up|eNODOB LA_CAJA_VICENTE_LOPEZ NI_007 (1) (519040) - S1
OLV3MU|GE1/1/4.1001|up|up|eNODOB LA_CAJA_VICENTE_LOPEZ NI_007 (2) (519040) - S1MME
OLV3MU|GE1/1/4.1002|up|up|eNODOB LA_CAJA_VICENTE_LOPEZ NI_007 (3) (519040) - GOMRAN
OLV3MU|GE1/1/4.1003|up|up|NODOB LA_CAJA_VICENTE_LOPEZ NI_007 (519041) - 3G
OLV3MU|GE1/1/4.1004|up|up|NODOB LA_CAJA_VICENTE_LOPEZ NI_007 (519042) - 2G
OLV3MU|GE1/1/5|up|down|NGN - MA5616 JNDG01 OLIVOS BSAS Linea 15004144
OLV3MU|GE1/1/5.2|up|up|SIGNALING NGN - MA5616 JDNG01 OLIVOS BSAS Linea 15004144
OLV3MU|GE1/1/5.3|up|up|RTP NGN - MA5616 JDNG01 OLIVOS BSAS Linea 15004144
OLV3MU|GE1/1/5.4|up|up|GESTION IPMB MA5616 JDNG01 OLIVOS BSAS Linea 15004144
OLV3MU|GE1/1/5.100046|up|up|HSI JNDG01 - LOP1MB - 15003982
OLV3MU|GE1/1/6(10M)|down|down|GESTION Tx - RELOJ OLIVOS - Linea 15004604
