shelfname|interface|portoperationalstate|protocol|info1
ORA3MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
ORA3MU|Eth-Trunk1|down|down|LAG PTN ALU 5R0RN01_G5/1-7/1
ORA3MU|Eth-Trunk1.13104|down|down|HSI EMBM01 - BGN1MB
ORA3MU|Eth-Trunk1.23104|down|down|GHDSL EMBM01 - BGN1MB
ORA3MU|Eth-Trunk2|up|down|LACP A ORARNC01 (Gi1/1/10 Gi4/1/10) (684568) 3G
ORA3MU|Eth-Trunk2.1000|up|up|LACP A ORARNC01 (Gi1/1/10 Gi4/1/10) (684568) 3G
ORA3MU|Eth-Trunk3|up|down|LAG SDH 60ORN01_G19/3-G19/4
ORA3MU|Eth-Trunk3.1379|up|up|GESTION_TX_BALLIVIAN_OTDR _OTBAL01_Linea
ORA3MU|Eth-Trunk3.15010002|up|up|### Integra - Ingenio del Tabacal- ref:538946 - Lin:2829316 ###
ORA3MU|Eth-Trunk4|up|down|LAG PTN ALU 18ORA01_G17/2-G19/2
ORA3MU|Eth-Trunk4.6|up|up|IPTV HYRM01 IGMP-PIM
ORA3MU|Eth-Trunk4.7|up|up|[DHCP] [IPTV] HYRM01 HUA 5600T [GPON]
ORA3MU|Eth-Trunk4.1377|up|up|TIP_TIPRIDLGS1(2768439)REFE:589129_ACC:5RLGS01_03/02(CPE_Ges.Cliente)
ORA3MU|Eth-Trunk4.12503|up|up|VPN PLATINUM - SIGAR S A - REF: 916810 - LINEA: 2866905 - ACC: 1DSCR01
ORA3MU|Eth-Trunk4.104101|up|up|[DATOS] HYRM01_10 ALU 7302 [GPON][L2]
ORA3MU|Eth-Trunk4.114101|up|up|[DATOS] HYRM01_11 ALU 7302 [GPON][L2]
ORA3MU|Eth-Trunk4.124101|up|up|[DATOS] HYRM01_12 ALU 7302 [GPON][L2]
ORA3MU|Eth-Trunk4.12021000|up|up|eNODOB - URUNDEL - ORA3MU 1/0/1 -A23-S012 - (1) (691339) - S1
ORA3MU|Eth-Trunk4.12021001|up|up|eNODOB - URUNDEL - ORA3MU 1/0/1 -A23-S012 - (2) (691339) - S1MME
ORA3MU|Eth-Trunk4.12021002|up|up|eNODOB - URUNDEL - ORA3MU 1/0/1 -A23-S012 - (3) (691339) - GOMRAN
ORA3MU|Eth-Trunk4.12021003|up|up|NODOB - URUNDEL - ORA3MU 1/0/1 -A23-S012 - (1) (691819) - 3G
ORA3MU|Eth-Trunk4.12021004|up|up|NODOB - URUNDEL - ORA3MU 1/0/1 -A23-S012 - (1) (691598) - 2G
ORA3MU|Eth-Trunk4.12031000|up|up|eNODOB - INGENIO_TABACAL - ORA3MU1/0/1 - A23-S006 - (1) (755367)- S1
ORA3MU|Eth-Trunk4.12031001|up|up|eNODOB - INGENIO_TABACAL - ORA3MU1/0/1 - A23-S006 - (2) (755367)- S1MME
ORA3MU|Eth-Trunk4.12031002|up|up|eNODOB - INGENIO_TABACAL - ORA3MU1/0/1 - A23-S006 - (3) (755367)- GOMRAN
ORA3MU|Eth-Trunk4.12031003|up|up|NODOB - INGENIO_TABACAL - ORA3MU1/0/1 - A23-S006 - (1) (755371) -3G
ORA3MU|Eth-Trunk4.12031004|up|up|NODOB - INGENIO_TABACAL - ORA3MU1/0/1 - A23-S006 - (1) (755372) -2G
ORA3MU|Eth-Trunk4.12061003|up|up|eNODOB - EMBARCACION - TAR2MU  -A23-S004 - (1) (447585) - S1
ORA3MU|Eth-Trunk4.12061004|up|up|eNODOB - EMBARCACION - TAR2MU  -A23-S004 - (2) (447585) - S1MME
ORA3MU|Eth-Trunk4.12061005|up|up|eNODOB - EMBARCACION - TAR2MU  -A23-S004 - (3) (447585) - GOMRAN
ORA3MU|Eth-Trunk4.12061024|up|up|NODOB - EMBARCACION - TAR2MU  - A23-S004 - (1) (509694) - 3G
ORA3MU|Eth-Trunk4.12061025|up|up|NODOB - EMBARCACION - TAR2MU  - A23-S004 - (1) (509695) - 2G
ORA3MU|Eth-Trunk4.12071000|up|up|eNODOB - PADRE_LOZANO - ORA3MU 1/0/1 - A23-S024 - (1) (756276) - S1
ORA3MU|Eth-Trunk4.12071001|up|up|eNODOB - PADRE_LOZANO - ORA3MU 1/0/1 - A23-S024 - (2) (756276) - S1MME
ORA3MU|Eth-Trunk4.12071002|up|up|eNODOB - PADRE_LOZANO - ORA3MU 1/0/1 - A23-S024 - (3) (756276) - GOMRAN
ORA3MU|Eth-Trunk4.12071003|up|up|NODOB - PADRE_LOZANO - ORA3MU 1/0/1 - A23-S024 - (1) (756277) - 3G
ORA3MU|Eth-Trunk4.12071004|up|up|NODOB - PADRE_LOZANO - ORA3MU 1/0/1 - A23-S024 - (1) (756278) - 2G
ORA3MU|Eth-Trunk4.12100002|up|up|HYPERWAY HIGH OFFICE - EMPRESA DISTRIBUIDORA DE ELECTRICIDAD DE SALTA EDESA S A - Ref:881907 - Lin:2859713 - ACC:5REMB01/05/GE_8
ORA3MU|Eth-Trunk4.12100003|up|up|GESTION - EMPRESA DISTRIBUIDORA DE ELECTRICIDAD DE SALTA EDESA S A- Ref:881907 - Lin:2859713 - ACC:5REMB01/05/GE_8
ORA3MU|Eth-Trunk4.12110002|up|down|HUAWEI, Eth-Trunk4.12110002 Interface
ORA3MU|Eth-Trunk4.12131000|up|up|eNODOB - YUTO - ORA3MU  - A21-S012 - (1) (691312) - S1
ORA3MU|Eth-Trunk4.12131001|up|up|eNODOB - YUTO - ORA3MU  - A21-S012 - (2) (691312) - S1MME
ORA3MU|Eth-Trunk4.12131002|up|up|eNODOB - YUTO - ORA3MU  - A21-S012 - (3) (691312) - GOMRAN
ORA3MU|Eth-Trunk4.12131003|up|up|NODOB - YUTO - ORA3MU  - A21-S012- (1) (691729) - 3G
ORA3MU|Eth-Trunk4.12131004|up|up|NODOB - YUTO - ORA3MU  - A21-S012- (1) (691549) - 2G
