shelfname|interface|portoperationalstate|protocol|info1
PAR3MU|100GE2/1/0|down|down|IRD1NA_G0/18/0/0
PAR3MU|100GE6/1/0|down|down|BEL1NA_G0/4/0/3
PAR3MU|100GE14/0/0|up|up|Enlace 100G DWDM IRD1NA_G0/18/0/0 Linea:11004563 - UPLINK NA
PAR3MU|100GE15/0/0|up|up|Enlace 100G DWDM BEL1NA_G0/4/0/3 Linea:11004564 - UPLINK NA
PAR3MU|Eth-Trunk1|up|down|PAO1ME Eth-Trunk2
PAR3MU|Eth-Trunk2|up|down|LAG A PARROU01 TELLABS PARRNC (Gi16/0/0 Gi8/0/0) (440466)
PAR3MU|Eth-Trunk2.2|up|up|LAG A PARROU01 TELLABS PARRNC (Gi16/0/0 Gi8/0/0) (440466) IUB-3G
PAR3MU|Eth-Trunk2.4|up|up|LAG A PARROU01 TELLABS PARRNC (Gi16/0/0 Gi8/0/0) (440466) S1MME
PAR3MU|Eth-Trunk3|up|down|LAG A PARROU01 TELLABS PARRNC (Gi16/0/1 Gi8/0/1) (440465)
PAR3MU|Eth-Trunk3.3|up|up|LAG A PARROU01 TELLABS PARRNC (Gi16/0/1 Gi8/0/1) (440465) IUB-3G
PAR3MU|Eth-Trunk3.5|up|up|LAG A PARROU01 TELLABS PARRNC (Gi16/0/0 Gi8/0/0) (440466) S1MME
PAR3MU|Eth-Trunk4|up|up|TRUNK A PARRNC03 Iub1 + Iub2
PAR3MU|Eth-Trunk5|up|up|TRUNK A PARRNC03 Iub1 + Iub2
PAR3MU|Eth-Trunk6|up|up|TRUNK A PARRNC03 Iub3 + Iub4
PAR3MU|Eth-Trunk7|up|up|TRUNK A PARRNC03 Iub3 + Iub4
PAR3MU|Eth-Trunk8|up|down|LAG A BSCPAR3 Abis
PAR3MU|Eth-Trunk8.311|up|down|HSI LAC21D - COE2MB
PAR3MU|Eth-Trunk8.1100|up|up|LAG A BSCPAR3 Abis
PAR3MU|Eth-Trunk9|up|down|LAG A BSCPAR3 SFP-21&22 del modulo-1
PAR3MU|Eth-Trunk9.1101|up|up|LAG A BSCPAR3 Abis
PAR3MU|Eth-Trunk10|up|down|LACP A TP5000 SINCRONISMO S1MME (Gi16/0/7 Gi1/1/2) (80001546) S1MME
PAR3MU|Eth-Trunk10.1000|up|up|LACP A TP5000 SINCRONISMO S1MME (Gi16/0/7 Gi1/1/2) (80001546) S1MME
PAR3MU|Eth-Trunk12|up|down|LAG PTN ALU 75PRN01
PAR3MU|Eth-Trunk12.100|up|down|
PAR3MU|Eth-Trunk12.121|up|up|HSI CPO51D - IRD1MB- Linea 13004390
PAR3MU|Eth-Trunk12.123|up|up|ADSL VIL21D HW5600 - IRD2MB -Linea 13004422
PAR3MU|Eth-Trunk12.464|up|up|INTEGRA - LA AGRICOLA REGIONAL COOP. LTDA. - REF:732177 - LIN:2832646 - ACC:CPO1MD 1/0/6
PAR3MU|Eth-Trunk12.857|up|up|HSI - DIA11D - DIAMANTE - Linea:9703202
PAR3MU|Eth-Trunk12.1016|up|up|Gestion ATN910I BOVRIL_REP - BOW1MS - Linea 80002069 - DWBOW01
PAR3MU|Eth-Trunk12.1017|up|up|Gestion ATN910I ALCARAZ - ALZ1MS - Linea 80002070 - DWALZ01
PAR3MU|Eth-Trunk12.1018|up|up|Gestion ATN910I HASENKAMP - HAS1MS - Linea 80002071 - DWHAS01
PAR3MU|Eth-Trunk12.1208|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381  - UPLINK - 2G
PAR3MU|Eth-Trunk12.1209|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381  - UPLINK - 3G
PAR3MU|Eth-Trunk12.1210|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381 - UPLINK - S1
PAR3MU|Eth-Trunk12.1211|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381  - UPLINK - S1MME
PAR3MU|Eth-Trunk12.1212|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381  - UPLINK - GOMRAN
PAR3MU|Eth-Trunk12.1213|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381  - UPLINK - NGN
PAR3MU|Eth-Trunk12.1214|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381  - UPLINK - SSPOPUSA
PAR3MU|Eth-Trunk12.1215|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381  - UPLINK - GESTION SDH
PAR3MU|Eth-Trunk12.1216|up|up|GESTION ATN950B HERNANDARIAS - HRN1MU - Linea 80002381 (RE LH Hernandarias - Cerrito)
PAR3MU|Eth-Trunk12.1217|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381  - UPLINK - DCN GESTION
PAR3MU|Eth-Trunk12.1224|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381 - UPLINK - RS_CLARO
PAR3MU|Eth-Trunk12.1225|up|up|A ATN950B HERNANDARIAS - HRN1MU Gi0/1/0 - Linea 80002381 - UPLINK - RS_MOVISTAR
PAR3MU|Eth-Trunk12.2340|up|up|VPN - INTA - Ref:717109 - Linea:2830294 Acc:CPO1MD 1/0/4
PAR3MU|Eth-Trunk12.2512|up|up|DSLAM CPO11D GHDSL - Linea 9702603
PAR3MU|Eth-Trunk12.2847|up|up|LAN TO LAN por METRO con CNM - UNIVERSIDAD NACIONAL DE ENTRE  RIOS - Ref:744829 Lin:2837968 Acc: [OVE] 55OVE01, 3, 1 --> 75PRN01, 7, 2 --> PAR3MU Eth-Trunk12 --> RSC2MB 0/6/0/11.109
PAR3MU|Eth-Trunk12.8062|up|up|[SIGN] ZDYG01 HUA 5600_T [NGN]
PAR3MU|Eth-Trunk12.8063|up|up|[RTP] ZDYG01 HUA 5600_T [NGN]
PAR3MU|Eth-Trunk12.8064|up|up|[GESTION] ZDYG01 HUA 5600_T [NGN]
PAR3MU|Eth-Trunk12.10709|up|up|HSI - BOV11G - Linea:9702941
PAR3MU|Eth-Trunk12.10806|up|up|HSI ZDYG01 - RSC1MB 400.14
PAR3MU|Eth-Trunk12.13619|up|up|HSI VILG01 - RSC1MB
PAR3MU|Eth-Trunk12.13631|up|up|HSI LPIG01 - IRD1MB 600.89
PAR3MU|Eth-Trunk12.13632|up|up|HSI MLSH01 - IRD1MB
PAR3MU|Eth-Trunk12.13673|up|up|[RTP][SIGN] VLGG01 HUA 5000 [NGN]
PAR3MU|Eth-Trunk12.13674|up|up|[GESTION][IPMB] VLGG01 HUA 5000 [NGN]
PAR3MU|Eth-Trunk12.13675|up|up|[GESTION][PVM] VLGG01 HUA 5000 [NGN]
