shelfname|interface|portoperationalstate|protocol|info1
RET6MU|100GE3/0/0|up|up|Enlace 100G FO CLI1MB_G0/5/0/1 Linea: 15007440 - UPLINK MSBGN
RET6MU|100GE3/0/1|down|down|
RET6MU|100GE5/0/0|up|up|Enlace 100G FO RET1MB_G0/5/0/1 Linea: 15007441 - UPLINK MSBNG
RET6MU|100GE5/0/1|down|down|
RET6MU|100GE11/0/0|down|down|
RET6MU|100GE13/0/0|down|down|
RET6MU|Eth-Trunk1|up|down|LAG SDH 60RET01_G14/1-G14/2
RET6MU|Eth-Trunk1.230|up|down|
RET6MU|Eth-Trunk1.1530|up|up|L2L_BTLATAMRET(2840650)REFE:750938_Servicio
RET6MU|Eth-Trunk1.1864|up|up|L2L Ref: 404553 - transporte 3G  sitio Cargil (CI_208)
RET6MU|Eth-Trunk1.2400|up|up|L2LBTLATAMSCANIA-Lin:2788634-ACC:60COO01_G16/4-GES.TECO
RET6MU|Eth-Trunk1.2463|up|up|L2LBTLATAMSCANIA-CAPEX.Ref:708449-ACC:60COO01_G16/4-GES.enL2LBTSCANIACLI
RET6MU|Eth-Trunk1.15310002|up|up|VPN SIP - BT - REFE:941078 - LINEA:2868543 - ACC: 60COO01/16/03
RET6MU|Eth-Trunk1.15310003|up|up|VPN SIP - BT - REFE:941078 - LINEA:2869579 - ACC: 60COO01/16/03
RET6MU|Eth-Trunk1.16250000|up|up|GESTION_SSU_COSTANERA-LINEA:15004025
RET6MU|Eth-Trunk2|up|down|LAG MEF1ME
RET6MU|Eth-Trunk2.33|up|up|[TAT] GESTION MEF1ME
RET6MU|Eth-Trunk2.950|up|up|L2L - VERIZON ARGENTINA SRL - REF: 938671 - LINEA: 2867482 - VPLS: ELAN_93120_938672 - ACC: MEF1ME 2/0/42
RET6MU|Eth-Trunk2.1010|up|up|L2L - VERIZON REF:934515 - VPLS:ELAN_93120_590
RET6MU|Eth-Trunk2.1015|up|up|L2L - VERIZON REF:938100 - VPLS:ELAN_93120_938100
RET6MU|Eth-Trunk2.1138|up|up|L2L - VERIZON ARGENTINA SRL - REF: 905073 - LINEA: 2865485 - VPLS: ELAN_93120_1138 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.1269|up|up|L2L - VERIZON ARGENTINA SRL - REF: 914761 - LINEA: 2865617 - VPLS: ELAN_93120_1269 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.1286|up|up|L2L - VERIZON ARGENTINA SRL - REF: 914574 - LINEA: 2865616 - VPLS: ELAN_93120_1286 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.2945|up|up|L2L - VERIZON ARGENTINA SRL - REF: 905808 - LINEA: 2864579 - VPLS: ELAN_93120_29451 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.97741|up|up|LAN EXTENSION - VERIZON - REF:944659 - LINEA:2869038 - VPLS:ELAN_93120_944659 - ACC: MEF1ME 1/0/1
RET6MU|Eth-Trunk2.5250138|up|up|L2L - VERIZON ARGENTINA SRL - REF: 738612 - LINEA: 2834486 - VPLS: ELAN_93120_0525 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.5340135|up|up|L2L - VERIZON ARGENTINA SRL - REF: 723668 - LINEA: 2833368 - VPLS: ELAN_93120_0534 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.5350126|up|up|L2L - VERIZON ARGENTINA SRL - REF: 716631 - LINEA: 2830337 - VPLS: ELAN_93120_0535 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.5370137|up|up|L2L - VERIZON ARGENTINA SRL - REF: 742390 - LINEA: 2836873 - VPLS: ELAN_93120_0537 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.5392805|up|up|L2L - VERIZON ARGENTINA SRL - REF: 943780 - LINEA: 2868717 - VPLS:ELAN_0000093120_943781 - ACC: MEF1ME 1/0/1
RET6MU|Eth-Trunk2.5412720|up|up|L2L - VERIZON ARGENTINA SRL - REF: 750928 - LINEA: 2840677 - VPLS: ELAN_93120_0541 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.5800130|up|up|L2L - VERIZON ARGENTINA SRL - REF: 719848 - LINEA: 2825883 - VPLS: ELAN_93120_0580 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.7740122|up|up|L2L - VERIZON ARGENTINA SRL - REF: 680999 - LINEA: 2815546 - VPLS: ELAN_93120_0774 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.7812721|up|up|L2L - VERIZON ARGENTINA SRL - REF: 776696 - LINEA: 2843355 - VPLS: ELAN_93120_0781 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.9422722|up|up|L2L - VERIZON ARGENTINA SRL - REF: 782191 - LINEA: 2846644 - VPLS: ELAN_93120_0942 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.9432768|up|up|L2L - VERIZON ARGENTINA SRL - REF: 790540 - LINEA: 2850980 - VPLS: ELAN_93120_0943 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.9442776|up|up|L2L - VERIZON ARGENTINA SRL - REF: 893978 - LINEA: 2863382 - VPLS: ELAN_93120_893979 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.9452729|up|up|L2L - VERIZON ARGENTINA SRL - REF: 791832 - LINEA: 2851344 - VPLS: ELAN_93120_791831 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.9462728|up|up|L2L - VERIZON ARGENTINA SRL - REF: 791837 - LINEA: 2851346 - VPLS: ELAN_93120_0946 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.9602726|up|up|L2L - VERIZON ARGENTINA SRL - REF: 782179 - LINEA: 2846623 - VPLS: ELAN_93120_0960 - ACC: MEF1ME 2/0/43
RET6MU|Eth-Trunk2.9612727|up|up|L2L - VERIZON ARGENTINA SRL - REF: 782181 - LINEA: 2846627 - VPLS: ELAN_93120_0961 - ACC: MEF1ME 2/0/43
