shelfname|interface|portoperationalstate|protocol|info1
RSC5MU|100GE3/0/0|up|up|Enlace 100G FO RSC1NA_G0/13/0/2  Linea:11004828 - UPLINK NA
RSC5MU|100GE3/0/1|up|up|Enlace 100G FO IRD1NA_G0/15/0/5 Linea:11005390 - UPLINK NA
RSC5MU|100GE4/0/0|up|up|Enlace 100G FO IRD1NA_G0/13/0/2  Linea:11004829 - UPLINK NA
RSC5MU|100GE4/0/1|up|up|Enlace 100G FO RSC1NA_G0/14/0/5 Linea:11005389 - UPLINK NA
RSC5MU|100GE6/0/0|up|up|ENLACE-M 100G FO A ROS1LSUP 100GE2/3/0/0 - CORE_HUAWEI_USER_PLANE - 1/2 - UPLINK MOVIL
RSC5MU|100GE6/0/1|down|down|
RSC5MU|Eth-Trunk1|up|down|LAG PTN HWI 98RSC01_G24/1-G25/1
RSC5MU|Eth-Trunk1.12322|up|up|VPN PLATINUM - AGUAS SANTAFESINAS SA - REF: 943265 - LINEA: 2868626 - ACC: 55VGZ01/03/GE_05
RSC5MU|Eth-Trunk1.12323|up|up|GESTION VPN PLATINUM - AGUAS SANTAFESINAS SA - REF: 943265 - LINEA: 2868626 - ACC: 55VGZ01/03/GE_05
RSC5MU|Eth-Trunk1.3001000|up|up|eNODOB - CAFFERATA - PORT METRO - A04-S239 - (1) (527446) - S1
RSC5MU|Eth-Trunk1.3001001|up|up|eNODOB - CAFFERATA - PORT METRO - A04-S239 - (2) (527446) - S1MME
RSC5MU|Eth-Trunk1.3001002|up|up|eNODOB - CAFFERATA - PORT METRO - A04-S239 - (3) (527446) - GOMRAN
RSC5MU|Eth-Trunk1.3001003|up|up|NODOB - CAFFERATA - PORT METRO - A04-S239 - (1) (527485) - 3G
RSC5MU|Eth-Trunk1.3001004|up|up|NODOB - CAFFERATA - PORT METRO - A04-S239 - (1) (527567) - 2G
RSC5MU|Eth-Trunk1.3001005|up|up|eNODOB - CAFFERATA - PORT METRO - A04-S239_RSCLR - (948366) - RS CLARO S1
