shelfname|interface|portoperationalstate|protocol|info1
TCT2MU|GE0/0/0|down|down|
TCT2MU|GE1/0/0|up|down|eNODOB SALTA_UNSA_(CTI_ST077) - A21-S142 (432030) NODOB (526642) (526424)
TCT2MU|GE1/0/0.1040|up|up|eNODOB - SALTA_UNSA_(CTI_ST077) - A21-S142 - (1) (432030) - S1
TCT2MU|GE1/0/0.1041|up|up|eNODOB - SALTA_UNSA_(CTI_ST077) - A21-S142 - (2) (432030) - S1MME
TCT2MU|GE1/0/0.1042|up|up|eNODOB - SALTA_UNSA_(CTI_ST077) - A21-S142 - (3) (432030) - GOMRAN
TCT2MU|GE1/0/0.1053|up|up|NODOB - SALTA_UNSA_(CTI_ST077) - A21-S142 - (1) (526642) - 3G
TCT2MU|GE1/0/0.1054|up|up|NODOB - SALTA_UNSA_(CTI_ST077) - A21-S142- (1) (526424) - 2G
TCT2MU|GE1/0/1|up|down|eNODOB SALTA_PARQUE_BICENTENARIO - A21-S399 (506311) NODOB (506620) (506621)
TCT2MU|GE1/0/1.1029|up|up|eNODOB - SALTA_PARQUE_BICENTENARIO - A21-S399 - (1) (506311) - S1
TCT2MU|GE1/0/1.1030|up|up|eNODOB - SALTA_PARQUE_BICENTENARIO - A21-S399 - (2) (506311) - S1MME
TCT2MU|GE1/0/1.1031|up|up|eNODOB - SALTA_PARQUE_BICENTENARIO - A21-S399 - (3) (506311) - GOMRAN
TCT2MU|GE1/0/1.1032|up|up|NODOB - SALTA_PARQUE_BICENTENARIO - A21-S399 - (1) (506620) - 3G
TCT2MU|GE1/0/1.1033|up|up|NODOB - SALTA_PARQUE_BICENTENARIO - A21-S399- (1) (506621) - 2G
TCT2MU|GE1/0/2|up|down|eNODOB SALTA_UNIVERSIDAD_MOVISTAR - A21-S160 (432031) NODOB (526641) (526423)
TCT2MU|GE1/0/2.1012|up|up|eNODOB - SALTA_UNIVERSIDAD_MOVISTAR - A21-S160 - (1) (432031) - S1
TCT2MU|GE1/0/2.1013|up|up|eNODOB - SALTA_UNIVERSIDAD_MOVISTAR - A21-S160 - (2) (432031) - S1MME
TCT2MU|GE1/0/2.1014|up|up|eNODOB - SALTA_UNIVERSIDAD_MOVISTAR - A21-S160 - (3) (432031) - GOMRAN
TCT2MU|GE1/0/2.1055|up|up|NODOB - SALTA_UNIVERSIDAD_MOVISTAR - A21-S160 - (1) (526641) - 3G
TCT2MU|GE1/0/2.1056|up|up|NODOB - SALTA_UNIVERSIDAD_MOVISTAR - A21-S160- (1) (526423) - 2G
TCT2MU|GE1/0/3|up|down|eNODOB SALTA_TRES_CERRITOS_3 - A21-S237 (422432) NODOB (525793) (524107)
TCT2MU|GE1/0/3.1000|up|up|eNODOB - SALTA_TRES_CERRITOS_3 - A21-S237 - (1) (422432) - S1
TCT2MU|GE1/0/3.1001|up|up|eNODOB - SALTA_TRES_CERRITOS_3 - A21-S237 - (2) (422432) - S1MME
TCT2MU|GE1/0/3.1002|up|up|eNODOB - SALTA_TRES_CERRITOS_3 - A21-S237 - (3) (422432) - GOMRAN
TCT2MU|GE1/0/3.1043|up|up|NODOB - SALTA_TRES_CERRITOS_3 - A21-S237 - (1) (525793) - 3G
TCT2MU|GE1/0/3.1044|up|up|NODOB - SALTA_TRES_CERRITOS_3 - A21-S237- (1) (524107) - 2G
TCT2MU|GE1/0/4|up|down|eNODOB SALTA_MANUEL_CASTILLA - A21-S250 (520758) NODOB (520885) (520894)
TCT2MU|GE1/0/4.1034|up|up|eNODOB - SALTA_MANUEL_CASTILLA - A21-S250 - (1) (520758) - S1
TCT2MU|GE1/0/4.1035|up|up|eNODOB - SALTA_MANUEL_CASTILLA - A21-S250 - (2) (520758) - S1MME
TCT2MU|GE1/0/4.1036|up|up|eNODOB - SALTA_MANUEL_CASTILLA - A21-S250 - (3) (520758) - GOMRAN
TCT2MU|GE1/0/4.1037|up|up|NODOB - SALTA_MANUEL_CASTILLA - A21-S250 - (1) (520885) - 3G
TCT2MU|GE1/0/4.1038|up|up|NODOB - SALTA_MANUEL_CASTILLA - A21-S250- (1) (520894) - 2G
TCT2MU|GE1/0/5|up|down|eNODOB SAN_LORENZO - A21-S035 (439262) NODOB (523310) (523254)
TCT2MU|GE1/0/5.1015|up|up|eNODOB - SAN_LORENZO - A21-S035 - (1) (439262) - S1
TCT2MU|GE1/0/5.1016|up|up|eNODOB - SAN_LORENZO - A21-S035 - (2) (439262) - S1MME
TCT2MU|GE1/0/5.1017|up|up|eNODOB - SAN_LORENZO - A21-S035 - (3) (439262) - GOMRAN
TCT2MU|GE1/0/5.1059|up|up|NODOB - SAN_LORENZO - A21-S035 - (1) (523310) - 3G
TCT2MU|GE1/0/5.1060|up|up|NODOB - SAN_LORENZO - A21-S035- (1) (523254) - 2G
TCT2MU|GE1/0/6|up|down|eNODOB SALTA_CIUDAD_JUDICIAL - A21-S176 (431993) NODOB (526639) (526421)
TCT2MU|GE1/0/6.1006|up|up|eNODOB - SALTA_CIUDAD_JUDICIAL - A21-S176 - (1) (431993) - S1
TCT2MU|GE1/0/6.1007|up|up|eNODOB - SALTA_CIUDAD_JUDICIAL - A21-S176 - (2) (431993) - S1MME
TCT2MU|GE1/0/6.1008|up|up|eNODOB - SALTA_CIUDAD_JUDICIAL - A21-S176 - (3) (431993) - GOMRAN
TCT2MU|GE1/0/6.1051|up|up|NODOB - SALTA_CIUDAD_JUDICIAL - A21-S176 - (1) (526639) - 3G
TCT2MU|GE1/0/6.1052|up|up|NODOB - SALTA_CIUDAD_JUDICIAL - A21-S176- (1) (526421) - 2G
TCT2MU|GE1/0/7|up|down|eNODOB SALTA_VILLA_BELGRANO - A21-S171 (432029) NODOB (526640) (526422)
TCT2MU|GE1/0/7.1057|up|up|NODOB - SALTA_VILLA_BELGRANO - A21-S171 - (1) (526640) - 3G
TCT2MU|GE1/0/7.1058|up|up|NODOB - SALTA_VILLA_BELGRANO - A21-S171- (1) (526422) - 2G
TCT2MU|GE1/0/7.1070|up|up|eNODOB - SALTA_VILLA_BELGRANO - A21-S171 - (1) (432029) - S1
TCT2MU|GE1/0/7.1071|up|up|eNODOB - SALTA_VILLA_BELGRANO - A21-S171 - (2) (432029) - S1MME
TCT2MU|GE1/0/7.1072|up|up|eNODOB - SALTA_VILLA_BELGRANO - A21-S171 - (3) (432029) - GOMRAN
TCT2MU|GE1/0/8|up|down|eNODOB SALTA_COSMOPOL - A21-S238 (439249) NODOB (752816) (752815)
TCT2MU|GE1/0/8.1009|up|up|eNODOB - SALTA_COSMOPOL - A21-S238 - (1) (439249) - S1
TCT2MU|GE1/0/8.1010|up|up|eNODOB - SALTA_COSMOPOL - A21-S238 - (2) (439249) - S1MME
TCT2MU|GE1/0/8.1011|up|up|eNODOB - SALTA_COSMOPOL - A21-S238 - (3) (439249) - GOMRAN
