shelfname|interface|portoperationalstate|protocol|info1
TZ24MU|Eth-Trunk1|down|down|
TZ24MU|GE0/0/0|down|down|
TZ24MU|GE0/1/0(10G)|up|up|Enlace 10G FO TAE1MU_G3/1/9 Linea:15008967 - UPLINK MSBNG
TZ24MU|GE0/1/1|up|down|ACCESO 7BHG01 MA5603T MORENO Y URIBURU - LINEA 15005063
TZ24MU|GE0/1/1.1|up|up|HSI 7BHG01 - MUN1MB
TZ24MU|GE0/1/1.2|up|up|SIGN NGN 7BHG01 MA5603T MORENO Y URIBURU - LINEA 15005063
TZ24MU|GE0/1/1.3|up|up|RTP NGN 7BHG01 MA5603T MORENO Y URIBURU - LINEA 15005063
TZ24MU|GE0/1/1.4|up|up|GESTION NGN 7BHG01 MA5603T MORENO Y URIBURU - LINEA 15005063
TZ24MU|GE0/1/2|up|down|ACCESO 7BIG01 MA5603T MITRE Y MORENOMORENO Y URIBURU - LINEA 15005064
TZ24MU|GE0/1/2.1|up|up|HSI 7BIG01 - MUN1MB
TZ24MU|GE0/1/2.2|up|up|SIGN NGN 7BIG01 MA5603T MITRE Y MORENOMORENO Y URIBURU - LINEA 15005064
TZ24MU|GE0/1/2.3|up|up|RTP NGN 7BIG01 MA5603T MITRE Y MORENOMORENO Y URIBURU - LINEA 15005064
TZ24MU|GE0/1/2.4|up|up|GESTION NGN 7BIG01 MA5603T MITRE Y MORENOMORENO Y URIBURU - LINEA 15005064
TZ24MU|GE0/1/3|up|down|ACCESO 7BFG01 MA5603T ALBERDI TANDIL - LINEA 15005061
TZ24MU|GE0/1/3.1|up|up|HSI 7BFG01 - MUN1MB
TZ24MU|GE0/1/3.2|up|up|SIGN NGN 7BFG01 MA5603T ALBERDI TANDIL - LINEA 15005061
TZ24MU|GE0/1/3.3|up|up|RTP NGN 7BFG01 MA5603T ALBERDI TANDIL - LINEA 15005061
TZ24MU|GE0/1/3.4|up|up|GESTION NGN 7BFG01 MA5603T ALBERDI TANDIL - LINEA 15005061
TZ24MU|GE0/1/4|up|down|ACCESO 7BGG01 MA5603T MACHADO Y SAN LORENZO - LINEA 15005062
TZ24MU|GE0/1/4.1|up|up|HSI 7BGG01 - MUN1MB
TZ24MU|GE0/1/4.2|up|up|SIGN NGN 7BGG01 MA5603T MACHADO Y SAN LORENZO - LINEA 15005062
TZ24MU|GE0/1/4.3|up|up|RTP NGN 7BGG01 MA5603T MACHADO Y SAN LORENZO - LINEA 15005062
TZ24MU|GE0/1/4.4|up|up|GESTION NGN 7BGG01 MA5603T MACHADO Y SAN LORENZO - LINEA 15005062
TZ24MU|GE0/1/5|up|down|ACCESO NGN TZ2G01 UA5000 - LINEA 60000124
TZ24MU|GE0/1/5.3|up|up|[RTP][SIGN] TZ2G01 HUA 5000 [NGN]
TZ24MU|GE0/1/5.4|up|up|[GESTION][IPMB] TZ2G01 HUA 5000 [NGN]
TZ24MU|GE0/1/5.5|up|up|[GESTION][IPMB] TZ2G01 HUA 5000 [NGN]
TZ24MU|GE0/1/6|up|down|ADSL + VOZ NGN TZ1G01 (TANDIL ZONA 1) - HW_UA5000 - Linea 60000117
TZ24MU|GE0/1/6.1|up|up|NGN TZ1G01 - ADSL - G. - Linea 60000117
TZ24MU|GE0/1/6.3|up|up|[RTP][SIGN] TZ1G01 HUA 5000 [NGN]
TZ24MU|GE0/1/6.4|up|up|[GESTION][IPMB] TZ1G01 HUA 5000 [NGN]
TZ24MU|GE0/1/6.5|up|up|[GESTION][PVM] TZ1G01 HUA 5000 [NGN]
TZ24MU|GE0/1/6.3810|up|up|GESTION PVM - TANDIL (TZ1G01) - Linea 60000117
TZ24MU|GE0/1/7|up|down|
TZ24MU|GE0/1/7.1|up|up|HSI TZ3G01 - MUN1MB
TZ24MU|GE0/1/7.3|up|up|[RTP][SIGN] TZ3G01 HUA 5000 [NGN]
TZ24MU|GE0/1/7.4|up|up|[GESTION][IPMB] TZ3G01 HUA 5000 [NGN]
TZ24MU|GE0/1/7.5|up|up|[GESTION][IPMB] TZ3G01 HUA 5000 [NGN]
TZ24MU|GE0/1/7.3810|up|up|IntegraLight - BULONFER SRL - Ref:584206 - Lin:2770287 Acc:TZ3G01D SHDSL-0-16-002
TZ24MU|GE0/1/8|up|down|NGN TZ4G01 - ADSL - Linea 60000119
TZ24MU|GE0/1/8.1|up|up|HSI TZ4G01 - MUN1MB
TZ24MU|GE0/1/8.3|up|up|RTP Y SIGNALING NGN TANDIL 4 (TZ4G)
TZ24MU|GE0/1/8.4|up|up|GESTION IPMB TANDIL 4 (TZ4G)
TZ24MU|GE0/1/8.5|up|up|GESTION PVM TANDIL 4 (TZ4G)
TZ24MU|GE0/2/0(10G)|up|up|Enlace 10G FO TAE1MU_G8/0/0 Linea:15008968 - UPLINK MSBNG
TZ24MU|GE0/2/2|up|down|NGN TZ7G01 - ADSL - Linea 60000122
TZ24MU|GE0/2/2.1|up|up|NGN TZ7G01 HSI - ADSL - Linea 60000122
TZ24MU|GE0/2/2.3|up|up|RTP Y SIGNALING NGN TANDIL 7 (TZ7G)
TZ24MU|GE0/2/2.4|up|up|GESTION IPMB TANDIL 7 (TZ7G)
