shelfname|interface|portoperationalstate|protocol|info1
USH1MU|Eth-Trunk0|up|down|Enlace 96M SDH 35USH01
USH1MU|Eth-Trunk0.1060|up|up|Enlace 96M a BBL2MU_Eth-Trunk5.1060 - NO tocar costos - enlace de contingencia
USH1MU|Eth-Trunk4|up|down|BSCUSH4 - Abis_A
USH1MU|Eth-Trunk4.367|up|up|VLAN BSCUSH4 - Abis_A
USH1MU|Eth-Trunk5|up|down|BSCUSH4 - Abis_B
USH1MU|Eth-Trunk5.368|up|up|VLAN BSCUSH4 - Abis_B
USH1MU|Eth-Trunk8|up|down|BSCUSH4 - GB
USH1MU|Eth-Trunk8.856|up|up|VLAN BSCUSH4 - GB
USH1MU|Eth-Trunk9|up|down|BSCUSH4 - A_UP/ A_CP
USH1MU|Eth-Trunk9.455|up|up|VLAN BSCUSH4 - A_UP
USH1MU|Eth-Trunk9.456|up|up|VLAN BSCUSH4 - A_CP
USH1MU|Eth-Trunk11|up|down|USHRNC02 - IuPS-UP_A/ IuPS-CP_A
USH1MU|Eth-Trunk11.154|up|up|USHRNC02 - IuPS-CP_A
USH1MU|Eth-Trunk11.894|up|up|USHRNC02 - IuPS-UP_A
USH1MU|Eth-Trunk11.896|up|down|
USH1MU|Eth-Trunk12|up|down|USHRNC02 - Iub3G_A
USH1MU|Eth-Trunk12.323|up|up|USHRNC02 - Iub3G_A
USH1MU|Eth-Trunk13|up|down|USHRNC02 - Iub3G_B
USH1MU|Eth-Trunk13.324|up|up|USHRNC02 - Iub3G_B
USH1MU|Eth-Trunk14|up|down|USHRNC02 - Iub3G_C
USH1MU|Eth-Trunk14.325|up|up|USHRNC02 - Iub3G_C
USH1MU|Eth-Trunk15|up|down|USHRNC02 - IuCS-UP/ IuCS-CP/ Iur_UP/ Iur_CP
USH1MU|Eth-Trunk15.205|up|up|USHRNC02 - IuCS-UP
USH1MU|Eth-Trunk15.255|up|up|USHRNC02 - IuCS-CP
USH1MU|Eth-Trunk15.606|up|up|USHRNC02 - Iur_CP
USH1MU|Eth-Trunk15.656|up|up|USHRNC02 - Iur_UP
USH1MU|GE0/0/0|down|down|
USH1MU|GE0/1/0|up|down|eNODOB BIELKE - A24-V009 (431309) NODOB (693680) (693679)
USH1MU|GE0/1/0.1000|up|up|eNODOB - BIELKE - A24-V009 - (1) (431309) - S1
USH1MU|GE0/1/0.1001|up|up|eNODOB - BIELKE - A24-V009 - (2) (431309) - S1MME
USH1MU|GE0/1/0.1002|up|up|eNODOB - BIELKE - A24-V009 - (3) (431309) - GOMRAN
USH1MU|GE0/1/0.1003|up|up|NODOB - BIELKE - A24-V009 - (1) (693680) - 3G
USH1MU|GE0/1/0.1004|up|up|NODOB - BIELKE - A24-V009- (1) (693679) - 2G
USH1MU|GE0/1/1|up|down|Conexion a USH1MU - Gi0/0/1   (Linea: 9004947)
USH1MU|GE0/1/1.1000|up|up|DCN GESTION - VPLS ELAN_DCN_GESTION_ACCESO_AMBA (Linea: 9004947)
USH1MU|GE0/1/2|up|down|VPN_742213_INTEGRA_778360_SANCOR SEGUROS
USH1MU|GE0/1/2.3|up|up|INTEGRA - SANCOR - REF: 778360 - LINEA: 2844542
USH1MU|GE0/1/2.229|up|up|VPN - SANCOR - REF: 742213 - LINEA: 2836743
USH1MU|GE0/1/3|up|down|A USHRNC02 - Iub3G_B
USH1MU|GE0/1/4|up|down|A USHRNC02 - Iub3G_C
USH1MU|GE0/1/5|up|up|A USHRNC02 - OMU
USH1MU|GE0/1/6|up|up|A USHRNC02 - Nastar_B
USH1MU|GE0/1/7|up|down|A BSCUSH4 - GB
USH1MU|GE0/1/8|down|down|AbisoIP BSCUSH3 NWI-E 1 Port 13
USH1MU|GE0/1/8.352|down|down|AbisoIP BSCUSH3 NWI-E 1 Port 13
USH1MU|GE0/1/9|up|up|A BSCUSH4 - OyM
USH1MU|GE0/2/0|down|down|
USH1MU|GE0/2/1|down|down|AbisoIP BSCUSH3 NWI-E 2 Port 13
USH1MU|GE0/2/1.353|down|down|AbisoIP BSCUSH3 NWI-E 2 Port 13
USH1MU|GE0/2/2|up|down|A USHRNC02 - IuPS-UP_A/ IuPS-CP_A
USH1MU|GE0/2/3|up|up|A USHRNC02 - IuCS-UP/ IuCS-CP/ Iur_UP/ Iur_CP
USH1MU|GE0/2/4|up|down|A USHRNC02 - Iub3G_A
USH1MU|GE0/2/5|up|down|A BSCUSH4 - A_UP/CP
USH1MU|GE0/2/6|up|up|A BSCUSH4 - Abis_A
USH1MU|GE0/2/7|up|down|Enlace 1G PTN BBL2MU_Eth-Trunk5.1089 Linea:15008097 - UPLINK AGN (55RIR01 S3/P1 via TASA)
USH1MU|GE0/2/7.1089|up|up|Enlace 1G PTN BBL2MU_Eth-Trunk5.1089 Linea:15008097 - UPLINK AGN (55RIR01 S3/P1 via TASA)
USH1MU|GE0/2/8|up|up|A BSCUSH4 - Abis_B
USH1MU|GE0/2/9|up|up|A BSCUSH4 - OyM
USH1MU|GE0/3/0(10G)|down|down|
USH1MU|GE0/3/1|up|down|Enlace 1G SDH-PTN BBL2MU_G1/0/1 Linea:15004899 - UPLINK AGN (35USH01_G13/1)
USH1MU|GE0/3/2|down|down|ENLACE-M B2B A VPNSPUSH1 Te1/1 (5642141)
USH1MU|GE0/3/2.11|down|down|CONEXION-M A VPNSPUSH1 Te1/1.11 - VOZ - CVLAN11 (5642141)
USH1MU|GE0/3/2.60|down|down|CONEXION-M  A VPNSPUSH1 Te1/1.60 - IU - CVLAN60 (5640707)
USH1MU|GE0/3/2.75|down|down|CONEXION-M A VPNSPUSH1 G1/1.75 - Iur - CVLAN75
USH1MU|GE0/3/3|up|down|description 1SUSH05/LAN4 - REIP
USH1MU|GE0/3/3.12001000|up|up|eNODOB - USHUAIA_AYELEN - USH1MU  - A24-V010 - (1) (431313) - S1
USH1MU|GE0/3/3.12001001|up|up|eNODOB - USHUAIA_AYELEN - USH1MU  - A24-V010 - (2) (431313) - S1MME
USH1MU|GE0/3/3.12001002|up|up|eNODOB - USHUAIA_AYELEN - USH1MU  - A24-V010 - (3) (431313) - GOMRAN
USH1MU|GE0/3/3.12001003|up|up|NODOB - USHUAIA_AYELEN - USH1MU  - A24-V010 - (1) (693682) - 3G
