shelfname|interface|portoperationalstate|protocol|info1
VBO2MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
VBO2MU|GE0/0/0|down|down|HUAWEI, GigabitEthernet0/0/0 Interface
VBO2MU|GE1/0/0|up|up|Enlace 10G DWDM BAL1MB_Te0/1/1/1Linea:15004422 - UPLINK MSBNG (32VBO01_G2/17/3)
VBO2MU|GE1/0/1|down|down|HUAWEI, GigabitEthernet1/0/1 Interface
VBO2MU|GE1/1/0|down|down|HUAWEI, GigabitEthernet1/1/0 Interface
VBO2MU|GE1/1/1|up|down|INTEGRA - PRINCZ SAICFEI - Ref 664181 - Linea 2808305
VBO2MU|GE1/1/1.8|up|up|INTEGRA - PRINCZ SAICFEI - REF: 664181 - LINEA: 2808305 - GESTION
VBO2MU|GE1/1/1.10|up|up|INTEGRA - PRINCZ SAICFEI - REF: 664181 - LINEA: 2808305 - SERVICIO
VBO2MU|GE1/1/2|up|down|ADSL VBOM01 - 15004063
VBO2MU|GE1/1/2.160|up|up|HSI VBOM01 - BAL1MB
VBO2MU|GE1/1/3|up|down|eNODOB  WICAP_12_TRES_DE_FEBREROOPU343
VBO2MU|GE1/1/3.1000|up|up|eNODOB WICAP_12_TRES_DE_FEBRERO OPU343 VBO2MU 1/0/3 (1) 522939 - S1
VBO2MU|GE1/1/3.1001|up|up|eNODOB WICAP_12_TRES_DE_FEBRERO OPU343 VBO2MU 1/0/3 (2) 522939 - S1MME
VBO2MU|GE1/1/3.1002|up|up|eNODOB WICAP_12_TRES_DE_FEBRERO OPU343 VBO2MU 1/0/3 (3) 522939 - GOMRAN
VBO2MU|GE1/1/3.1003|up|up|eNODOB WICAP_12_TRES_DE_FEBRERO OPU343 VBO2MU 1/0/3 (1) 522745 - 3G
VBO2MU|GE1/1/3.1004|up|up|eNODOB WICAP_12_TRES_DE_FEBRERO OPU343 VBO2MU 1/0/3 (1) 522726 - 2G
VBO2MU|GE1/1/4|up|down|ACCESO ADSL A VBO31D - Ref 9700528
VBO2MU|GE1/1/4.16|up|up|HSI VBO31D - CAS1MB - Ref 9700528
VBO2MU|GE1/1/5|up|down|ACCESO ADSL A VBO61D - VILLA BOSCH - Linea 15006956
VBO2MU|GE1/1/5.1|up|up|HSI VBO61D - CAS1MB
VBO2MU|GE1/1/6|up|down|ADSL VBO21D - 9700461
VBO2MU|GE1/1/6.19|up|up|HSI VBO21D - BAL1MB
VBO2MU|GE1/1/7|up|down|ADSL + G. - VBO41D - 9704155
VBO2MU|GE1/1/7.2|up|up|HSI VBO41D - BAL1MB
VBO2MU|GE1/1/7.3616|up|up|VPN GOLD - AFIP - Ref:646477 Lin:2795051 Acc:VBO41D 0/15 0
VBO2MU|GE1/1/7.3622|up|up|VPN Branch Office - bapro - Ref:577505 Lin:2767982 Acc:VBO41D-15-6
VBO2MU|GE1/1/7.3624|up|up|LDIP_TASA_BAPRO(2795475)VBO41D-15-8Y9
VBO2MU|GE1/1/8|up|down|GHDSL - VBO21D - Linea 9701459
VBO2MU|GE1/1/8.3617|up|up|VPN GOLD - DIA ARGENTINA- Ref:308923 Lin:2738662 Acc:VBO21D 0/00/01
VBO2MU|GE1/1/8.3621|up|up|VPN Head Quarter - BNA - Ref:539720 Lin:2752118 Acc:VBO21D 0/00/05VBO / V21 / H04 / 006
