shelfname|interface|portoperationalstate|protocol|info1
VLU2MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
VLU2MU|Eth-Trunk10|down|down|ACCESO SEGURIZADO UMG8900 VLUT
VLU2MU|Eth-Trunk10.2|down|down|SIGN. UMG8900 VLUT VILLA LUJAN TUCUMAN
VLU2MU|Eth-Trunk10.3|down|down|RTP UMG8900 VLUT VILLA LUJAN TUCUMAN
VLU2MU|Eth-Trunk10.5|down|down|GESTION UMG8900 VLUT VILLA LUJANTUCUMAN
VLU2MU|Eth-Trunk11|up|down|LAG 1+1 VLU201 L 13002566
VLU2MU|Eth-Trunk11.51|up|up|VDSLCORP VLU201 - MUS1MB
VLU2MU|Eth-Trunk11.52|up|up|HSI VLU201 - BUA1MB
VLU2MU|Eth-Trunk12|up|down|LAG 1+1 VLU101 L 13002565
VLU2MU|Eth-Trunk12.10|up|up|HSI VLU101 - MUS1MB
VLU2MU|Eth-Trunk12.50|up|up|VDSLCORP VLU101 - MUS1MB
VLU2MU|Eth-Trunk21|up|down|LAG 1+1 VLU401 13005204
VLU2MU|Eth-Trunk21.6|up|up|IPTV VLU401 IGMP-PIM
VLU2MU|Eth-Trunk21.7|up|up|[DHCP] [IPTV] VLU401 ALC 730 [GPON]
VLU2MU|Eth-Trunk21.10|up|up|QINQ VLU401_01 - BUA1MB
VLU2MU|Eth-Trunk21.11|up|up|QINQ VLU401_02 - BUA1MB
VLU2MU|Eth-Trunk21.12|up|up|QINQ VLU401_03 - BUA1MB
VLU2MU|Eth-Trunk21.600|up|up|VDSLCORP VLU401 - BUA1MB
VLU2MU|Eth-Trunk21.601|up|up|GESTION Y TOIP VLU401 - BUA1MB
VLU2MU|Eth-Trunk22|up|down|LAG 1+1 VLU301 13003396
VLU2MU|Eth-Trunk22.6|up|up|IPTV VLU301 IGMP-PIM
VLU2MU|Eth-Trunk22.7|up|up|[DHCP] [IPTV] VLU301 ALC 730 [GPON]
VLU2MU|Eth-Trunk22.10|up|up|QINQ VLU301_01 - BUA1MB
VLU2MU|Eth-Trunk22.11|up|up|QINQ VLU301_02 - BUA1MB
VLU2MU|Eth-Trunk22.12|up|up|QINQ VLU301_03 - BUA1MB
VLU2MU|Eth-Trunk22.59|up|up|VDSLCORP VLU301 - BUA1MB
VLU2MU|Eth-Trunk22.68|up|up|GESTION Y TOIP VLU301 - BUA1MB
VLU2MU|GE0/0/0|down|down|HUAWEI, GigabitEthernet0/0/0 Interface
VLU2MU|GE1/0/0|up|up|Enlace 10G FO BUA1MB_G0/4/0/16 Linea:13001958 - UPLINK MSBNG
VLU2MU|GE1/0/1|up|up|Enlace 10G FO MUS1MB_G0/1/1/3 Linea:9005063 - UPLINK MSBNG
VLU2MU|GE1/1/1.10014|down|down|HUAWEI, GigabitEthernet1/1/1.10014 Interface
VLU2MU|GE1/1/2.16|down|down|HUAWEI, GigabitEthernet1/1/2.16 Interface
VLU2MU|GE1/1/3.17|down|down|HUAWEI, GigabitEthernet1/1/3.17 Interface
VLU2MU|GE1/1/4.1|down|down|HUAWEI, GigabitEthernet1/1/4.1 Interface
VLU2MU|GE1/1/6|down|down|CONEXION UMG8900 VLUT VILLA LUJANTUCUMAN Linea 13002529
VLU2MU|GE1/1/7.1|down|down|HUAWEI, GigabitEthernet1/1/7.1 Interface
VLU2MU|GE1/1/7.3844|down|down|IntegraLight 2M FORTUNATO FORTINOY CIA SRL 739146 2834747 VLU71D0/16/5-6
VLU2MU|GE1/1/8|up|up|CONEXION 1/2 VLU101 HSI
VLU2MU|GE1/1/11|up|down|L2L GECOMTEL Edificio_Zelaya Lin:9004663 / 9004664
VLU2MU|GE1/1/11.1060|up|up|L2L_Edificio_Zelaya(9004663)GesCliente
VLU2MU|GE1/1/11.1068|up|up|L2L_Edificio_Zelaya(9004664)Sec_GesCliente
VLU2MU|GE1/1/12|up|down|eNODOB - TUC_PARQUE_AVELLANEDA -A11-S311 (5689737) (430265)
VLU2MU|GE1/1/12.1009|up|up|eNODOB - TUC_PARQUE_AVELLANEDA -A11-S311 (5689737) (430265) - S1
VLU2MU|GE1/1/12.1010|up|up|eNODOB - TUC_PARQUE_AVELLANEDA -A11-S311 (5689738) (430265) - S1MME
VLU2MU|GE1/1/12.1011|up|up|eNODOB - TUC_PARQUE_AVELLANEDA -A11-S311 (5689739) (430265) - GOMRAN
VLU2MU|GE1/1/12.1056|up|up|NODOB - TUC_PARQUE_AVELLANEDA - A11-S311 (1) (520929) - 2G
VLU2MU|GE1/1/12.1058|up|up|NODOB - TUC_PARQUE_AVELLANEDA - A11-S311 (1) (521125) - 3G
VLU2MU|GE1/1/13|up|down|eNODOB TUCUMAN_CORONEL_ZELAYA - A11-S081 (422389) NODOB (523420) (523389)
VLU2MU|GE1/1/13.1000|up|up|eNODOB - TUCUMAN_CORONEL_ZELAYA -A11-S081 - (1) (422389) - S1
VLU2MU|GE1/1/13.1001|up|up|eNODOB - TUCUMAN_CORONEL_ZELAYA -A11-S081 - (2) (422389) - S1MME
VLU2MU|GE1/1/13.1002|up|up|eNODOB - TUCUMAN_CORONEL_ZELAYA -A11-S081 - (3) (422389) - GOMRAN
VLU2MU|GE1/1/13.1060|up|up|NODOB - TUCUMAN_CORONEL_ZELAYA -A11-S081 - (1) (523420) - 3G
VLU2MU|GE1/1/13.1061|up|up|NODOB - TUCUMAN_CORONEL_ZELAYA -A11-S081- (1) (523389) - 2G
VLU2MU|GE1/1/14|up|down|eNODOB TUCUMAN_12_DE_OCTUBRE - A11-S115 (431952) NODOB (523413) (523380)
VLU2MU|GE1/1/14.1000|up|up|eNODOB - TUCUMAN_12_DE_OCTUBRE -A11-S115 - (1) (431952) - S1
VLU2MU|GE1/1/14.1001|up|up|eNODOB - TUCUMAN_12_DE_OCTUBRE -A11-S115 - (2) (431952) - S1MME
VLU2MU|GE1/1/14.1002|up|up|eNODOB - TUCUMAN_12_DE_OCTUBRE -A11-S115 - (3) (431952) - GOMRAN
VLU2MU|GE1/1/14.1003|up|up|NODOB - TUCUMAN_12_DE_OCTUBRE - A11-S115 - (3) (523413) - 3G
