shelfname|interface|portoperationalstate|protocol|info1
AVA2MU|BE1|up|up|[ACCESO HSI][BE] BWWG01 
AVA2MU|BE1.2|up|up|[SIGN] BWWG01 ZTE 5200 [NGN]
AVA2MU|BE1.3|up|up|[RTP] BWWG01 ZTE 5200 [NGN]
AVA2MU|BE1.4|up|up|[GESTION] BWWG01 ZTE 5200 [NGN]
AVA2MU|BE1.3101|up|up|[TOIP] BWWG01 ZTE 5200 [ADS2]
AVA2MU|BE1.4101|up|up|[DATOS] BWWG01 ZTE 5200 [ADS2][L3]
AVA2MU|BE2|up|up|[ACCESO HSI][BE] BZSG01 
AVA2MU|BE2.3|up|up|RTP - NGN UA5000 - BZSG01 - BARRIO DON SANTIAGO - linea 11000176
AVA2MU|BE2.4|up|up|Gestion IPMB - NGN UA5000 - BZSG01 - BARRIO DON SANTIAGO - linea 11000176
AVA2MU|BE2.5|up|up|Gestion PVM - NGN UA5000 - BZSG01 - BARRIO DON SANTIAGO - linea 11000176
AVA2MU|BE2.3101|up|up|[TOIP] BZSG01 HUA 5000 [ADS2]
AVA2MU|BE2.3812|admin-down|admin-down|INTERNET EMPRESAS 2M - MOREL VICTOR HUGO A - Ref: 610514 - Lin: 2781946 - Acc: BZSG01 0-15-00/04-5 [GHDSL]
AVA2MU|BE2.3822|up|up|INTERNET EMPRESAS 2M - MOREL VICTOR HUGO A - Ref: 610514 - Lin: 2781946 - Acc: BZSG01 0-15-14-15  [GHDSL]
AVA2MU|BE2.4101|up|up|[DATOS] BZSG01 HUA 5000 [ADS2][L3]
AVA2MU|BE3|up|up|[ACCESO NGN][BE] B7XG01 HUA 5000
AVA2MU|BE3.3|up|up|[RTP][SIGN] B7XG01 HUA 5000 [NGN]
AVA2MU|BE3.4|up|up|[GESTION][IPMB] B7XG01 HUA 5000 [NGN]
AVA2MU|BE3.5|up|up|[GESTION][PVM] B7XG01 HUA 5000 [NGN]
AVA2MU|BE3.3101|up|up|[TOIP] B7XG01 HUA 5000 [ADS2]
AVA2MU|BE3.4101|up|up|[DATOS] B7XG01 HUA 5000 [ADS2]
AVA2MU|BE4|up|up|[ACCESO HSI][BE] 0NO11C 
AVA2MU|BE4.2101|up|up|[GESTION] 0NO11C ALU 7330 [VDS2]
AVA2MU|BE4.3072|up|up|INTEGRA - BERTONCINI HIGINIO Y CIA SC - Ref. 661176 0NO11C 1/1/3/2 [GHDSL]
AVA2MU|BE4.3073|up|up|Integra Light - SUZU SERVICE SA - Ref: 790114- Lin:2850709 Acc:0NO11C 02/19 [GHDSL]
AVA2MU|BE4.3075|up|up|INTEGRA LIGHT - NORTH MOTORS SA - Ref:919411 Lin:2865964 Acc:0NO11C 1/1/6/43
AVA2MU|BE4.3101|up|up|[TOIP] 0NO11C ALU 7330 [VDS2]
