shelfname|interface|portoperationalstate|protocol|info1
BAL1MB|BE1|up|up|HAIRPINNING in
BAL1MB|BE2|up|up|HAIRPINNING in
BAL1MB|BE3|up|up|HAIRPINNING HSI IN
BAL1MB|BE4|down|down| 
BAL1MB|BE100|up|up|HAIRPINNING out
BAL1MB|BE200|up|up|HAIRPINNING out
BAL1MB|BE300|up|up|HAIRPINNING HSI OUT
BAL1MB|Lo0|up|up| 
BAL1MB|Lo1|up|up|IP UNNUMBERED VIRTUAL-TEMPLATE 1
BAL1MB|Lo12|up|up|IP UNNUMBERED vpn-tdata-bcorio - VPN BRONZE INTERCARRIER - TASA - Banco rio
BAL1MB|Lo26|up|up|IP UNNUMBERED VPN-gpba
BAL1MB|Lo64|up|up|IP UNNUMBERED sony1-vpn - VPN BRONZE - SONY ARGENTINA S.A.
BAL1MB|Lo68|up|up|IP UNNUMBERED VPN PRIMA
BAL1MB|Lo73|up|up|IP UNNUMBERED bonesi-vpn - VPN BRONZE - BONESI SOCIEDAD ANONIMA
BAL1MB|Lo75|up|up|IP UNNUMBERED VPN ADVANCE
BAL1MB|Lo77|up|up|IP unnumbered Wpatron
BAL1MB|Lo78|up|up|IP UNNUMBERED vpn-credicoop - VPN BRONZE - BANCO CREDICOOP COOP. LTDO.
BAL1MB|Lo80|up|up|IP UNNUMBERED VPN JOCKEY
BAL1MB|Lo91|up|up|IP UNNUMBERED munisam-vpn - VPN BRONZE - MUNICIPALIDAD DE GRAL. SAN MARTIN SEC. HAC. Y ECONO.
BAL1MB|Lo100|up|up|Interfaz de gestion ADSL
BAL1MB|Lo103|up|up|IP UNNUMBERED ospecom-vpn - VPN BRONZE - OSPECOm
BAL1MB|Lo117|up|up|IP UNNUMBERED cei-vpn - VPN BRONZE - CENTRO DE ESTUDIOS INFECTOLOGICOS S A C E I
BAL1MB|Lo127|up|up|IP UNNUMERED vpn-vestiditos - VPN BRONZE - VESTIDITOS S.A.
BAL1MB|Lo147|up|up|IP UNNUMERED darclibertador-vpn
BAL1MB|Lo149|up|up|IP UNNUMBERED bna-vpn
BAL1MB|Lo157|up|up|IP UNNUMBERED vpn-williner - VPN BRONZE - SUCESORES DE ALFREDO WILLINER S.A.
BAL1MB|Lo162|up|up|IP UNNUMBERED hipodromo-vpn - VPN BRONZE - HIPODROMO ARGENTINO DE PALERMO S.A.
BAL1MB|Lo182|up|up|garbarino-vpn - VPN BRONZE - GARBARINO
BAL1MB|Lo198|up|up|IP UNNUMBERED vpn-gire-1 - VPN BRONZE - GIRE S.A.
BAL1MB|Lo249|up|up|IP UNNUMBERED ncentralarg-vpn - VPN BRONZE - NUEVO CENTRAL ARGENTINO S.A.
BAL1MB|Lo256|up|up|IP UNNUMBERED sepsa-vpn - VPN BRONZE - SERV.ELECTRONICO DE PAGO S.A.
BAL1MB|Lo279|up|up|IP UNNUMBERED hsbc-vpn - VPN BRONZE - HSBC BANK ARGENTINA S.A.
BAL1MB|Lo347|up|up|IP UNNUMBERED bcogalicia-vpn - VPN BRONZE - BANCO DE GALICIA Y BUENOS AIRE S S.A.
BAL1MB|Lo433|up|up|IP UNNUMBERED hipodromo-3-vpn - VPN BRONZE - HIPODROMO ARGENTINO DE PALERMO S.A.
BAL1MB|Lo454|up|up|IP UNNUMBERED poderjudicial-vpn - VPN BRONZE - PODER JUDICIAL DE LA PROVINCIA
BAL1MB|Lo459|up|up|IP UNNUMERED clama-vpn
BAL1MB|Lo479|up|up|IP UNNUMBERED solido-vpn - VPN BRONZE - SOLIDO S.R.L.
BAL1MB|Lo495|up|up|IP UNNUMERED sanatoriocaseros-vpn
BAL1MB|Lo507|up|up|IP UNNUMBERED maxima-vpn - VPN BRONZE - MAXIMA S.A. A.F.J.P.
BAL1MB|Lo509|up|up|IP UNNUMBERED citibank-vpn - VPN BRONZE - CITIBANK N.A.
BAL1MB|Lo541|up|up|IP UNNUMBERED disney-vpn - VPN BRONZE - THE WALT DISNEY COMPANY ARG SA
BAL1MB|Lo546|up|up|IP UNNUMBERED ituran-vpn - VPN BRONZE - ITURAN
BAL1MB|Lo589|up|up|IP UNNUMBERED vpn-pandytoys - VPN BRONZE - PANDY TOYS SRL
BAL1MB|Lo594|up|up|IP UNNUMBERED diaarg-vpn - VPN BRONZE - DIA ARGENTINA S.A.
BAL1MB|Lo601|up|up|IP UNNUMBERED alpargatas-vpn - VPN BRONZE - ALPARGATAS CALZADOS S.A.
