shelfname|interface|portoperationalstate|protocol|info1
BGN1MB|BV111|admin-down|admin-down|Prueba Borrar -> Te olvidaste de borrarla :)
BGN1MB|BV999|down|down|prueba_bvi
BGN1MB|BE1|up|up|[HRP] BGN1MB 1 [L3] [HSI]
BGN1MB|BE1.239|up|up|DSLAM PBA11D
BGN1MB|BE1.240|up|up|DSLAM PBA11D POSICION 1/8 - PRUEBA SONDA-IWAY
BGN1MB|BE1.1004201|admin-down|admin-down| 
BGN1MB|BE1.13003404|up|up|VPN-TDATA-BCORIO - ADSL:3873422710 Acc:TAR12D 1/10/14
BGN1MB|BE1.13003405|admin-down|admin-down| 
BGN1MB|BE1.13129901|up|up|[DATOS] AGAG01  HUA 5000 [ADS2]
BGN1MB|BE1.1203025501|up|up|[TOIP] 26OG01 HUA 5616 [VDS2]
BGN1MB|BE1.1204026401|up|up|[TOIP] 27EG01 HUA 5616 [VDS2]
BGN1MB|BE1.1302025302|up|up|DSLAM ORA42D ZTE9800
BGN1MB|BE1.1303025501|up|up|[DATOS] 26OG01  HUA 5616 [VDS2]
BGN1MB|BE1.1304026401|up|up|DSLAM 27EG01 HUAWEI 5616
BGN1MB|BE2|up|up|[HRP] BGN1MB 2 [L3] [HSI]
BGN1MB|BE2.13002902|up|up|DSLAM BGNB2D HUAWEI5600
BGN1MB|BE2.13002903|up|up|DSLAM BGNB3D HUAWEI5600
BGN1MB|BE2.13002904|up|up|DSLAM BGNB4D HUAWEI5600
BGN1MB|BE2.13005101|up|up|DSLAM TAR61D HW5600
BGN1MB|BE2.1104156411|up|up| 
BGN1MB|BE2.1104156441|up|up| 
BGN1MB|BE2.1301094502|up|up|DSLAM ERU32D ZTE9210
BGN1MB|BE2.1301094503|up|up|DSLAM ERU33D ZTE9210
BGN1MB|BE2.1301094505|up|up|DSLAM ERU35D ZTE9210
BGN1MB|BE2.1302094401|up|up|DATOS SSJ31D HUAWEI5100
BGN1MB|BE2.1302094402|up|up|DATOS SSJ32D HUAWEI5100
BGN1MB|BE2.1302094403|up|up|DATOS SSJ33D HUAWEI5100
BGN1MB|BE2.1302094404|up|up|DATOS SSJ34D HUAWEI5100
BGN1MB|BE2.1302119301|up|up|BVNG01 (UA5000 BAJO LA VIQA - MUS1MC 0/1/4)
BGN1MB|BE2.1302124602|up|up|DSLAM SSJ92D ZTE9800
BGN1MB|BE2.1302124603|up|up|DSLAM SSJ93D ZTE9800
BGN1MB|BE2.1302124604|up|up|DSLAM SSJ94D ZTE9800
BGN1MB|BE2.1302135201|up|up|DSLAM_NGN JSVG01 UA5000
BGN1MB|BE2.1304156402|up|up| 
BGN1MB|BE2.1304156411|up|up| 
BGN1MB|BE2.1304156441|up|up| 
BGN1MB|BE3|up|up|[HRP] BGN1MB 3 [L3] [HSI]
BGN1MB|BE3.1200620|admin-down|admin-down| 
BGN1MB|BE3.12003201|up|down| 
BGN1MB|BE3.1302258901|up|up|DSLAM ACO11D HUAWEI5600
BGN1MB|BE3.1302258902|up|up|DSLAM ACO12D HUAWEI5600
BGN1MB|BE3.1302258903|up|up|DSLAM ACO13D HUAWEI5600
BGN1MB|BE3.1399102302|up|up|DSLAM DER22D
BGN1MB|BE3.1399102303|up|up|DSLAM DER23D
