shelfname|interface|portoperationalstate|protocol|info1
CDI4MU|BV1|down|down| 
CDI4MU|BE1|up|up|[ACCESO HSI][BE] CDIM01 11001796
CDI4MU|BE1.2101|up|up|[GESTION] CDIM01 ALU 7302 [VDS2]
CDI4MU|BE1.3101|up|up|[TOIP] CDIM01 ALU 7302 [VDS2]
CDI4MU|BE1.3617|up|up|VPN GOLD - ASOCIACION MUTUAL SANCOR SALUD - Ref:915901 Lin:2865812 Acc:CDIM01 1/1/6/6
CDI4MU|BE1.4101|up|up|[DATOS] CDIM01 ALU 7302 [VDS2][L3]
CDI4MU|BE1.4101.pppoe3451|up|up| 
CDI4MU|BE1.4101.pppoe3456|up|up| 
CDI4MU|BE1.4101.pppoe3512|up|up| 
CDI4MU|BE1.4101.pppoe3566|up|up| 
CDI4MU|BE1.4101.pppoe3597|up|up| 
CDI4MU|BE1.4101.pppoe3785|up|up| 
CDI4MU|BE1.4101.pppoe3787|up|up| 
CDI4MU|BE1.4101.pppoe3790|up|up| 
CDI4MU|BE1.4101.pppoe3792|up|up| 
CDI4MU|BE1.4101.pppoe3794|up|up| 
CDI4MU|BE1.4101.pppoe3795|up|up| 
CDI4MU|BE1.4101.pppoe3976|up|up| 
CDI4MU|BE1.4101.pppoe4021|up|up| 
CDI4MU|BE1.4101.pppoe4053|up|up| 
CDI4MU|BE1.4101.pppoe4112|up|up| 
CDI4MU|BE1.4101.pppoe4118|up|up| 
CDI4MU|BE1.4101.pppoe4129|up|up| 
CDI4MU|BE1.4101.pppoe4170|up|up| 
CDI4MU|BE1.4101.pppoe4207|up|up| 
CDI4MU|BE1.4101.pppoe4230|up|up| 
CDI4MU|BE1.4101.pppoe4369|up|up| 
CDI4MU|BE1.4101.pppoe4478|up|up| 
CDI4MU|BE1.4101.pppoe4535|up|up| 
CDI4MU|BE1.4101.pppoe4620|up|up| 
CDI4MU|BE1.4101.pppoe4776|up|up| 
CDI4MU|BE1.4101.pppoe4900|up|up| 
CDI4MU|BE1.4101.pppoe4914|up|up| 
CDI4MU|BE1.4101.pppoe4940|up|up| 
CDI4MU|BE1.4101.pppoe4969|up|up| 
CDI4MU|BE1.4101.pppoe5010|up|up| 
CDI4MU|BE1.4101.pppoe5016|up|up| 
CDI4MU|BE1.4101.pppoe5068|up|up| 
CDI4MU|BE1.4101.pppoe5133|up|up| 
CDI4MU|BE1.4101.pppoe5193|up|up| 
CDI4MU|BE1.4101.pppoe5266|up|up| 
CDI4MU|BE1.4101.pppoe5335|up|up| 
CDI4MU|BE1.4101.pppoe5383|up|up| 
CDI4MU|BE1.4101.pppoe5491|up|up| 
CDI4MU|BE1.4101.pppoe5512|up|up| 
CDI4MU|BE1.4101.pppoe5527|up|up| 
CDI4MU|BE1.4101.pppoe5743|up|up| 
CDI4MU|BE1.4101.pppoe5769|up|up| 
CDI4MU|BE1.4101.pppoe5866|up|up| 
CDI4MU|BE1.4101.pppoe5869|up|up| 
CDI4MU|BE1.4101.pppoe6029|up|up| 
CDI4MU|BE1.4101.pppoe6039|up|up| 
CDI4MU|BE1.4101.pppoe6124|up|up| 
CDI4MU|BE1.4101.pppoe6250|up|up| 
CDI4MU|BE1.4101.pppoe6263|up|up| 
CDI4MU|BE1.4101.pppoe6283|up|up| 
CDI4MU|BE1.4101.pppoe6360|up|up| 
CDI4MU|BE1.4101.pppoe6408|up|up| 
CDI4MU|BE1.4101.pppoe6446|up|up| 
CDI4MU|BE1.4101.pppoe6463|up|up| 
CDI4MU|BE1.4101.pppoe6471|up|up| 
CDI4MU|BE1.4101.pppoe6496|up|up| 
CDI4MU|BE1.4101.pppoe6544|up|up| 
CDI4MU|BE1.4101.pppoe6588|up|up| 
CDI4MU|BE1.4101.pppoe6880|up|up| 
CDI4MU|BE1.4101.pppoe6907|up|up| 
CDI4MU|BE1.4101.pppoe6993|up|up| 
CDI4MU|BE1.4101.pppoe7038|up|up| 
CDI4MU|BE1.4101.pppoe7054|up|up| 
CDI4MU|BE1.4101.pppoe7072|up|up| 
CDI4MU|BE1.4101.pppoe7089|up|up| 
CDI4MU|BE1.4101.pppoe7092|up|up| 
CDI4MU|BE1.4101.pppoe7097|up|up| 
