shelfname|interface|portoperationalstate|protocol|info1
COE1MB|BE1|up|up|[HRP] COE1MB 1 [L3] [HSI]
COE1MB|BE1.239|admin-down|admin-down|DSLAM PBA11D
COE1MB|BE1.240|admin-down|admin-down|DSLAM PBA11D POSICION 1/8 - PRUEBA SONDA-IWAY
COE1MB|BE1.332|admin-down|admin-down|GESTION PBA11D ZTE9210
COE1MB|BE1.120302590|up|down| 
COE1MB|BE1.1101028401|admin-down|admin-down|GESTION CDRM01 HW5600T
COE1MB|BE1.1101028501|up|up|GESTION LAC2ME MA5616
COE1MB|BE1.1103015401|admin-down|admin-down|GESTION DSLAM SBM21D VPN-GESTION-ADSL
COE1MB|BE1.1103015801|admin-down|admin-down|GESTION SBM41D ZTE 9210 SBM1MA 2/1/2
COE1MB|BE1.1103017901|admin-down|admin-down|GESTION DSLAM VRE11D - VPN-GESTION-ADSL
COE1MB|BE1.1103018701|admin-down|admin-down|GESTION ZB1C01 MA5616
COE1MB|BE1.1103025301|admin-down|admin-down|GESTION 21M11C ISAM7330
COE1MB|BE1.1103025401|admin-down|admin-down|GESTION 21G11C ISAM7330
COE1MB|BE1.1103025501|admin-down|admin-down|GESTION 20A11C ISAM7330
COE1MB|BE1.1104027701|up|up|GESTION 1ZH11C ISAM7330
COE1MB|BE1.1106027101|admin-down|admin-down|GESTION SAIM01 HW5600T
COE1MB|BE1.1109025201|admin-down|admin-down|GESTION ABD11D HUAWEI5100
COE1MB|BE1.1112260201|admin-down|admin-down|GESTION CDM11D HW5100
COE1MB|BE1.1199173301|admin-down|admin-down| 
COE1MB|BE1.1201028501|up|up|[TOIP] LAC2ME HUA 5616 [ADS2]
COE1MB|BE1.1202029501|up|up|[TOIP] A4RG01 HUA UA5000 [ADS2]
COE1MB|BE1.1203025201|up|up|[TOIP] 21V11C ALC 7330 [ADS2]
COE1MB|BE1.1203026101|up|up|[TOIP] 18JG01 HUA 5603 [ADS2]
COE1MB|BE1.1204015001|admin-down|admin-down| 
COE1MB|BE1.1204027701|up|up|[TOIP] 1ZH11C ALC 7330 [ADS2]
COE1MB|BE1.1212306201|up|up|[TOIP] KO2G01 ZTE 5200 [ADS2]   
COE1MB|BE1.1299173301|admin-down|admin-down| 
COE1MB|BE1.1301028401|admin-down|admin-down|DSLAM CDRM01 HW5600T
COE1MB|BE1.1301028501|up|up|DSLAM LAC2ME MA5616
COE1MB|BE1.1301031102|up|up|DSLAM LAC22D HW5600
COE1MB|BE1.1301031103|up|up|DSLAM LAC23D HW5600
COE1MB|BE1.1302029501|up|up|DSLAM_NGN A4RG01 HUAWEI UA5000
COE1MB|BE1.1302030001|up|up|[DATOS] A4IG01 HUA 5000 [ADS2]
COE1MB|BE1.1303010201|up|up|[DATOS] XVIG01 HUA 5000 [ADS2]
COE1MB|BE1.1303010401|admin-down|admin-down|[DATOS] VB1G01 HUA 5000 [ADS2]
COE1MB|BE1.1303010601|up|up|[DATOS] VB3G01 HUA 5000 [ADS2]
COE1MB|BE1.1303015401|admin-down|admin-down|DSLAM SBM21D
COE1MB|BE1.1303015402|admin-down|admin-down|DSLAM SBM22D
COE1MB|BE1.1303015403|admin-down|admin-down|DSLAM SBM23D
COE1MB|BE1.1303015801|admin-down|admin-down|DSLAM SBM41D
COE1MB|BE1.1303017901|admin-down|admin-down|[DATOS] VRE11D ZTE 9800 [ADS2]
COE1MB|BE1.1303018701|admin-down|admin-down|DSLAM ZB1C01 MA5616
COE1MB|BE1.1303025201|up|up|DSLAM 21V11C ISAM7330
COE1MB|BE1.1303025301|admin-down|admin-down|DSLAM 21M11C ISAM7330
COE1MB|BE1.1303025401|admin-down|admin-down|DSLAM 21G11C ISAM7330
COE1MB|BE1.1303025501|admin-down|admin-down|DSLAM 20A11C ISAM7330
COE1MB|BE1.1304015001|admin-down|admin-down| 
COE1MB|BE1.1304027301|admin-down|admin-down|DSLAM 26RG01 MA5600
COE1MB|BE1.1304027701|up|up|DSLAM 1ZH11C ISAM7330
COE1MB|BE1.1304028001|admin-down|admin-down|DSLAM_NGN EUQG01 UA5000
COE1MB|BE1.1304046201|up|up|[DATOS] KVIG01 HUA 5000 [ADS2]
COE1MB|BE1.1306027101|admin-down|admin-down|DSLAM SAIM01 HW5600T
COE1MB|BE1.1306065401|up|up|[DATOS] EFLG01 ZTE 5200 [ADS2]
COE1MB|BE1.1309025201|admin-down|admin-down|DSLAM ABD11D HUAWEI5100
COE1MB|BE1.1309153401|up|up|[DATOS] RC8G01 HUA 5000 [ADS2]   
COE1MB|BE1.1312259909|admin-down|admin-down| 
COE1MB|BE1.1312260201|admin-down|admin-down|DSLAM CDM11D HW5100
COE1MB|BE1.1312306201|up|up|[DATOS] KO2G01 ZTE 5200 [ADS2]
COE1MB|BE1.1399173301|admin-down|admin-down| 
COE1MB|BE1.1399173302|admin-down|admin-down| 
COE1MB|BE1.1399173303|admin-down|admin-down| 
COE1MB|BE1.1399367601|admin-down|admin-down| 
COE1MB|BE1.2106026701|up|down| 
COE1MB|BE2|up|up|[HRP] COE1MB 2 [L3] [HSI]
COE1MB|BE2.1105055801|admin-down|admin-down|GESTION TRJ71D HUAWEI5600
COE1MB|BE2.1105056901|admin-down|admin-down|GESTION TRJ61D HW5600
COE1MB|BE2.1299210601|admin-down|admin-down| 
COE1MB|BE2.1305055704|admin-down|admin-down| 
COE1MB|BE2.1305055801|up|up|[DATOS] TRJ71D HUA 5600 [ADS2]
COE1MB|BE2.1305055802|up|up|DSLAM TRJ72D HUAWEI5600
COE1MB|BE2.1305055803|up|up|DSLAM TRJ73D HUAWEI5600
COE1MB|BE2.1305056901|up|up|[DATOS] TRJ61D HUA 5600 [ADS2]
COE1MB|BE2.1399173302|admin-down|admin-down|DSLAM ALM12D HW5600
COE1MB|BE2.1399173303|admin-down|admin-down|DSLAM ALM13D HW5600
COE1MB|BE2.1399222801|admin-down|admin-down|SESG01 (ADSL UA5000 COE1MC Gi1/1/3)
COE1MB|BE2.1399230801|up|up|[DATOS] RW1G01 HUA 5000 [ADS2]
COE1MB|BE2.1399231001|up|up|[DATOS] RW2G01 HUA 5000 [ADS2]
COE1MB|BE2.1399231201|up|up|[DATOS] FD4G01 HUA 5000 [ADS2]
COE1MB|BE2.1399240401|up|up|[DATOS] BFVG01 HUA 5000 [ADS2]
COE1MB|BE2.1399262001|up|up|( LN2G01 ) (ADSL UA5000 La Rioja Norte)
COE1MB|BE3|up|up|[HRP] COE1MB 3 [L3] [HSI]
COE1MB|BE3.11001901|up|up|GESTION VJCC01 MA5616
COE1MB|BE3.11003701|admin-down|admin-down|GESTION SAIE1D ZTE9800
COE1MB|BE3.11007501|up|up|GESTION CQU41D HW5600
COE1MB|BE3.12001901|up|up|[TOIP] VJCC01 HUA 5616 [ADS2]
COE1MB|BE3.12007501|up|up|[TOIP] CQU41D HUA 5600 [ADS2]
COE1MB|BE3.13000802|up|up|SFS32D ZTE9210
COE1MB|BE3.13000803|up|up|SFS33D ZTE9210
COE1MB|BE3.13000804|up|up|SFS34D ZTE9210
COE1MB|BE3.13000805|up|up|SFS35D ZTE9210
COE1MB|BE3.13001901|up|up|[DATOS] VJCC01 HUA 5616 [VDS2]
COE1MB|BE3.13003701|admin-down|admin-down|DSLAM SAIE1D ZTE9800
COE1MB|BE3.13007501|up|up|[DATOS] CQU41D HUA 5600 [ADS2]
COE1MB|BE3.13361701|up|up|DSLAM LAJG01 MA5603T
COE1MB|BE3.1109027901|admin-down|admin-down|GESTION CXW11D HUAWEI5600
COE1MB|BE3.1303017802|admin-down|admin-down|DSLAM LIC22D ZTE9210
COE1MB|BE3.1303017803|admin-down|admin-down|DSLAM LIC23D ZTE9210
COE1MB|BE3.1303017804|admin-down|admin-down|DSLAM LIC24D ZTE9210
COE1MB|BE3.1306065203|up|up|DSLAM AVN33D
COE1MB|BE3.1309027901|admin-down|admin-down|[DATOS] CXW11D HUA 5600 [ADS2]
COE1MB|BE3.1399232701|admin-down|admin-down|LEUG01 (MSAN ZTE LA ESTANZUELA COE1MC 13/3/3)
COE1MB|BE4|up|up|[HRP] COE1MB 4 [L3] [HSI]
COE1MB|BE4.11008701|up|up|GESTION 2G011C ALCATEL7330
COE1MB|BE4.11009001|up|up|GESTION PNM21D HW5100
COE1MB|BE4.11009301|up|up|GESTION D1T11C HW5616
COE1MB|BE4.11191701|up|up|GESTION JOS11D ZTE9800
COE1MB|BE4.12004301|up|up|[TOIP] LHAG01 HUA 050 [ADS2]
COE1MB|BE4.12004701|up|up|[TOIP] 72FG01 HUA 5600T [ADS2]
COE1MB|BE4.12008701|up|up|[TOIP] 2G011C ALC 7330 [ADS2]
COE1MB|BE4.12009301|up|up|[TOIP] D1T11C HUA 5616 [ADS2]
COE1MB|BE4.12191701|up|up|[TOIP] JOS11D ZTE 9800 [ADS2]
COE1MB|BE4.13004301|up|up|[DATOS] LHAG01 ZTE 5200 [ADS2]
COE1MB|BE4.13004701|up|up|[DATOS] 72FG01 HUA 5600_T [VDS2]
COE1MB|BE4.13008701|up|up|DSLAM 2G011C ALCATEL7330
COE1MB|BE4.13009001|up|up|[DATOS] PNM21D HUA 5100 [ADSL]
COE1MB|BE4.13009002|up|up|[DATOS] PNM22D HUA 5100 [ADSL]   
COE1MB|BE4.13009301|up|up|D1T11C HW5616
COE1MB|BE4.13191701|up|up|[DATOS] JOS11D ZTE 9800 [ADS2]
COE1MB|BE4.1103016601|admin-down|admin-down|GESTION SBM31D ZTE9210
COE1MB|BE4.1303016601|admin-down|admin-down|DSLAM SBM31D ZTE9210
COE1MB|BE4.1303016602|admin-down|admin-down|DSLAM SBM32D ZTE9210
COE1MB|BE4.1303016603|admin-down|admin-down|DSLAM SBM33D ZTE9210
COE1MB|BE4.1303016604|admin-down|admin-down|DSLAM SBM34D ZTE9210
COE1MB|BE4.1303016605|admin-down|admin-down|DSLAM SBM35D ZTE9210
COE1MB|BE5|up|up| 
COE1MB|BE5.1199005401|up|up|GESTION VIP21D HW5100
COE1MB|BE6|up|up|[HRP] COE1MB 6 [L3] [HSI]
COE1MB|BE6.1101201|up|down| 
COE1MB|BE6.11004101|up|up|GESTION 8ETC01 HUAWEI MA5603T
COE1MB|BE6.11007601|up|up|GESTION CQU51D HW5600
COE1MB|BE6.11007701|up|up|GESTION CQU61D HW5600
COE1MB|BE6.11010401|up|up|GESTION JES31D ZTE9210
COE1MB|BE6.11014601|admin-down|admin-down|GESTION RCU61D ZTE9210
COE1MB|BE6.11018001|up|up|GESTION CZE31D HUAWEI5600
COE1MB|BE6.11223801|up|up|GESTION RIS21D ZTE9210
COE1MB|BE6.12002801|up|up|[TOIP] 5LDG01 HUA 5603T [ADS2]
COE1MB|BE6.12004101|up|up|[TOIP] 8ETC01 HUA 5603T [ADS2]
COE1MB|BE6.12007601|up|up|[TOIP] CQU51D HUA 5600 [ADS2]
COE1MB|BE6.12007701|up|up|[TOIP] CQU61D HUA 6600 [ADS2]
COE1MB|BE6.12010401|up|up|[TOIP] JES31D ZTE 9210 [ADS2]
COE1MB|BE6.12018001|up|up|[TOIP] CZE31D HUA 5600 [ADS2]
COE1MB|BE6.12223801|up|up|[TOIP] RIS21D ZTE 9210 [ADS2]
COE1MB|BE6.13002801|up|up|ADSL 5LDG01 5600T
COE1MB|BE6.13004101|up|up|DSLAM 8ETC01 HUAWEI MA5603T
COE1MB|BE6.13007601|up|up|[DATOS] CQU51D HUA 5600 [ADS2]
COE1MB|BE6.13007701|up|up|[DATOS] CQU61D HUA 5600 [ADS2]
COE1MB|BE6.13010401|up|up|[DATOS] JES31D ZTE 9210 [ADS2]
COE1MB|BE6.13014601|up|up|DSLAM RCU61D ZTE9210
COE1MB|BE6.13014602|up|up|DSLAM RCU62D ZTE9210
COE1MB|BE6.13014603|up|up|DSLAM RCU63D ZTE9210
COE1MB|BE6.13014604|up|up|DSLAM RCU64D ZTE9210
