shelfname|interface|portoperationalstate|protocol|info1
CUC2MU|BE10|up|up|[ACCESO HSI][BE] CUC11D 11000188
CUC2MU|BE10.2101|up|up|[GESTION] CUC11D ZTE 9800 [ADS2]
CUC2MU|BE10.3101|up|up|[TOIP] CUC11D ZTE 9800 [ADS2]
CUC2MU|BE10.3628|up|up|BANCO SANTANDER RIO S.A. - Ref: 634170 Lin: 2788765 Acc: CUC11D-1-17
CUC2MU|BE10.3630|up|up|VPN SILVER - CORREO DE LA REP.ARG. - Ref640834 - Lin2793693 - CUC11D 1/17/15
CUC2MU|BE10.3650|up|up|VPN GOLD - PAMI - Ref:264857 - Linea:2720900 - Acc:CUC11D 1/16/3
CUC2MU|BE10.3656|up|up|VPN Branch Office 2M - SCHEJTER Y SCHEJTER - Ref:561439 Lin:2759786 Acc:CUC11D 1-16-9y10
CUC2MU|BE10.3662|up|up|### VPN Head Quarter - CONMEGA A.C.E. - Ref:676044 - Lin:2816244 - Acc:CUC11D 16/15-16 ###
CUC2MU|BE10.3812|up|up|Integra Light - FRESENIUS CARE - Ref:579198 Lin:2765373 Acc:CUC11D 1-17- 5 Y 6
CUC2MU|BE10.3816|up|up|INTEGRA LIGHT por DSLAM - JUFEC SA - Ref:596027 Lin:2775686 Acc: [CUC] CUC11D, 17, 09 y 08, V04 / HC / 073 y 074
CUC2MU|BE10.3818|up|up|INTEGRA LIGHT - BRAS TEC SA-Ref.657156 - Lin:2802697 - Acc:CUC11D 1-1-17-11/12
CUC2MU|BE10.3840|up|up|IntegraLight - CETROGAR S.A... - Ref:658734 - Lin:2808277 Acc:CUC11D SHDSL-1-1-16-1
CUC2MU|BE10.3850|up|up|INTEGRA LIGHT - MIN. DE MODERNIZACION DE LA NACION - REF:737571 - LIN:2833794 - Acc:CUC11D_1/16/11y12
CUC2MU|BE10.3852|up|up|Integra Light - CORRADINI PATRICIA INES - Ref:879379 - Lin:2858131 - Acc:CUC11D SHDSL-1-16/13-14
CUC2MU|BE10.4101|up|up|[DATOS] CUC11D ZTE 9800 [ADS2][L3]
CUC2MU|BE12|up|up|[ACCESO HSI][BE] CUC31D 11004187
CUC2MU|BE12.2101|up|up|[GESTION] CUC31D ZTE 9800 [ADS2]
CUC2MU|BE12.3101|up|up|[TOIP] CUC31D ZTE 9800 [ADS2]
CUC2MU|BE12.4101|up|up|[DATOS] CUC31D ZTE 9800 [ADS2][L3]
CUC2MU|BE13|up|up|[ACCESO NGN][BE] 10DG01 HUA 5000
CUC2MU|BE13.3|up|up|[RTP][SIGN] 10DG01 HUA 5000 [NGN]
CUC2MU|BE13.4|up|up|[GESTION] [IPMB] 10DG01 HUA 5000[NGN]
CUC2MU|BE13.5|up|up|[GESTION] [PVM] 10DG01 HUA 5000 [NGN]
CUC2MU|BE13.3101|up|up|[TOIP] 10DG01 HUA 5000 [ADS2]
CUC2MU|BE13.4101|up|up|[DATOS] 10DG01 HUA 50000 [ADS2][L3]
CUC2MU|BE15|up|up|[ACCESO HSI][BE] CUC21D 11004186
CUC2MU|BE15.2101|up|up|[GESTION] CUC21D ZTE 9800 [ADS2]
CUC2MU|BE15.3101|up|up|[TOIP] CUC21D ZTE 9800 [ADS2]
CUC2MU|BE15.4101|up|up|[DATOS] CUC21D ZTE 9800 [ADS2][L3]
CUC2MU|BE100|up|up|LAG Frontera PTN HUAWEI 8VCUC01 agrupa Te0/3/0/1 y Te0/4/0/1
CUC2MU|BE100.231|up|down| 
CUC2MU|BE100.2315|up|up|UPLINK 20G PTN A CDI3MU
CUC2MU|Lo0|up|up| 
CUC2MU|Lo1|up|up|IP UNNUMBERED
CUC2MU|Lo12|up|up|IP UNNUMBERED vpn-tdata-bcorio - VPN BRONZE INTERCARRIER - TASA - Banco rio
CUC2MU|Lo26|up|up|IP UNNUMBERED VPN-gpba
CUC2MU|Lo68|up|up|IP UNNUMBERED VPN PRIMA
CUC2MU|Lo73|up|up|IP UNNUMBERED bonesi-vpn - VPN BRONZE - BONESI SOCIEDAD ANONIMA
CUC2MU|Lo77|up|up|VPN WEB PATRON
CUC2MU|Lo78|up|up|IP UNNUMBERED vpn-credicoop - VPN BRONZE - BANCO CREDICOOP COOP. LTDO.
CUC2MU|Lo80|up|up|IP UNNUMBERED VPN JOCKEY
CUC2MU|Lo90|up|up|IP UNNUMBERED munisam-vpn - VPN BRONZE - MUNICIPALIDAD DE GRAL. SAN MARTIN SEC. HAC. Y ECONO.
CUC2MU|Lo100|up|up|Interfaz de gestion ADSL
CUC2MU|Lo103|up|up|IP UNNUMBERED ospecom-vpn - VPN BRONZE - OSPECOM
CUC2MU|Lo127|up|up|IP UNNUMERED vpn-vestiditos - VPN BRONZE - VESTIDITOS S.A.
CUC2MU|Lo147|up|up|IP UNNUMERED darclibertador-vpn
CUC2MU|Lo149|up|up|IP UNNUMBERED bna-vpn
CUC2MU|Lo157|up|up|IP UNNUMBERED vpn-williner - VPN BRONZE - SUCESORES DE ALFREDO WILLINER S.A.
CUC2MU|Lo162|up|up|IP UNNUMBERED hipodromo-vpn - VPN BRONZE - HIPODROMO ARGENTINO DE PALERMO S.A.
CUC2MU|Lo169|up|up|IP UNNUMBERED VPN-TECNOACCION1 - VPN BRONZE - TECNO ACCION 1
CUC2MU|Lo182|up|up|garbarino-vpn - VPN BRONZE - GARBARINO
CUC2MU|Lo198|up|up|IP UNNUMBERED vpn-gire-1 - VPN BRONZE - GIRE S.A.
CUC2MU|Lo249|up|up|IP UNNUMBERED ncentralarg-vpn - VPN BRONZE - NUEVO CENTRAL ARGENTINO S.A.
CUC2MU|Lo256|up|up|IP UNNUMBERED sepsa-vpn - VPN BRONZE - SERV.ELECTRONICO DE PAGO S.A.
CUC2MU|Lo279|up|up|IP UNNUMBERED hsbc-vpn - VPN BRONZE - HSBC BANK ARGENTINA S.A.
CUC2MU|Lo347|up|up|IP UNNUMBERED bcogalicia-vpn - VPN BRONZE - BANCO DE GALICIA Y BUENOS AIRE S S.A.
CUC2MU|Lo433|up|up|IP UNNUMBERED hipodromo-3-vpn - VPN BRONZE - HIPODROMO ARGENTINO DE PALERMO S.A.
CUC2MU|Lo454|up|up|IP UNNUMBERED poderjudicial-vpn - VPN BRONZE - PODER JUDICIAL DE LA PROVINCIA
CUC2MU|Lo459|up|up|IP UNNUMERED clama-vpn
CUC2MU|Lo479|up|up|IP UNNUMBERED solido-vpn - VPN BRONZE - SOLIDO S.R.L.
CUC2MU|Lo507|up|up|IP UNNUMBERED maxima-vpn - VPN BRONZE - MAXIMA S.A. A.F.J.P.
CUC2MU|Lo509|up|up|IP UNNUMBERED citibank-vpn - VPN BRONZE - CITIBANK N.A.
CUC2MU|Lo546|up|up|IP UNNUMBERED ituran-vpn - VPN BRONZE - ITURAN
CUC2MU|Lo594|up|up|IP UNNUMBERED diaarg-vpn - VPN BRONZE - DIA ARGENTINA S.A.
CUC2MU|Lo601|up|up|IP UNNUMBERED alpargatas-vpn - VPN BRONZE - ALPARGATAS CALZADOS S.A.
CUC2MU|Lo653|up|up|IP UNNUMBERED bigbloom-vpn - VPN BRONZE - BIG BLOOM S.A.
CUC2MU|Lo707|up|up|IP UNNUMBERED correo-vpn - VPN BRONZE - CORREO OFICIAL DE LA REP.ARG.
CUC2MU|Lo980|up|up|IP UNNUMBERED cjuleriaque-vpn - VPN BRONZE - CARLOS JULERIAQUE S.R.L.
