shelfname|interface|portoperationalstate|protocol|info1
FOR1MB|BE1|up|up|[HRP] FOR1MB 1 [L3] [HSI]
FOR1MB|BE1.239|admin-down|admin-down|DSLAM PBA11D
FOR1MB|BE1.1139420|up|down| 
FOR1MB|BE1.1239420|up|down| 
FOR1MB|BE1.1339420|up|down| 
FOR1MB|BE1.11299101|up|down| 
FOR1MB|BE1.11394101|admin-down|admin-down|GESTION 0QQ11C ALCATEL7330
FOR1MB|BE1.11395301|admin-down|admin-down|GESTION 1I511C ALCATEL7330
FOR1MB|BE1.11395401|admin-down|admin-down|GESTION 1GH11C ALCATEL7330
FOR1MB|BE1.11395501|admin-down|admin-down|GESTION 1EI11C ALCATEL7330
FOR1MB|BE1.11395601|admin-down|admin-down|GESTION 1ED11C ALCATEL7330
FOR1MB|BE1.11395701|admin-down|admin-down|GESTION 1EB11C ALCATEL7330
FOR1MB|BE1.11395801|admin-down|admin-down|GESTION 1GF11C ALCATEL7330
FOR1MB|BE1.11395901|admin-down|admin-down|GESTION 1GO11C ALCATEL7330
FOR1MB|BE1.11396001|admin-down|admin-down|GESTION 1GK11C ALCATEL7330
FOR1MB|BE1.11396201|up|up|GESTION FOR21D HW5100
FOR1MB|BE1.11397601|admin-down|admin-down|GESTION 1EJ11C ALCATEL7330
FOR1MB|BE1.11397701|admin-down|admin-down|GESTION 1GI11C ALCATEL7330
FOR1MB|BE1.11397801|admin-down|admin-down|GESTION 1EF11C ALCATEL7330
FOR1MB|BE1.11398001|admin-down|admin-down|GESTION 1EA11C ALCATEL7330
FOR1MB|BE1.11398101|admin-down|admin-down|GESTION 1GN11C ALCATEL7330
FOR1MB|BE1.11398201|admin-down|admin-down|GESTION 1G911C ALCATEL7330
FOR1MB|BE1.11398401|admin-down|admin-down|GESTION 1GM11C ALCATEL7330
FOR1MB|BE1.11398501|admin-down|admin-down|GESTION 1E911C ALCATEL7330
FOR1MB|BE1.11398601|admin-down|admin-down|GESTION 1GB11C ALCATEL7330
FOR1MB|BE1.11399001|admin-down|admin-down|GESTION FOR81D ZTE9210
FOR1MB|BE1.11399201|admin-down|admin-down|GESTION 1GC11C ALCATEL7330
