shelfname|interface|portoperationalstate|protocol|info1
GYU4MU|BE1|up|up|[ACCESO HSI][BE] GYUM01 11002117
GYU4MU|BE1.2101|up|up|[GESTION] GYUM01 ALU 7302 [VDS2]
GYU4MU|BE1.3101|up|up|[TOIP] GYUM01 ALU 7302 [VDS2]
GYU4MU|BE1.4101|up|up|[DATOS] GYUM01 ALU 7302 [VDS2][L3]
GYU4MU|BE2|up|up|[ACCESO HSI][BE] 5JAG01 11002380
GYU4MU|BE2.2|up|up|[SIGN] 5JAG01 HUA 5600_T 11002380 [NGN]
GYU4MU|BE2.3|up|up|[RTP] 5JAG01 HUA 5600_T 11002380 [NGN]
GYU4MU|BE2.4|up|up|[GESTION] 5JAG01 HUA 5600_T 11002380 [NGN]
GYU4MU|BE2.3101|up|up|[TOIP] 5JAG01 HUA 5600_T [VDS2]
GYU4MU|BE2.4101|up|up|[DATOS] 5JAG01 HUA 5600_T [VDS2][L3]
GYU4MU|BE2.4101.pppoe4515|up|up| 
GYU4MU|BE2.4101.pppoe4522|up|up| 
GYU4MU|BE2.4101.pppoe4523|up|up| 
GYU4MU|BE2.4101.pppoe4525|up|up| 
GYU4MU|BE2.4101.pppoe4531|up|up| 
GYU4MU|BE2.4101.pppoe4533|up|up| 
GYU4MU|BE2.4101.pppoe4537|up|up| 
GYU4MU|BE2.4101.pppoe4538|up|up| 
GYU4MU|BE2.4101.pppoe4551|up|up| 
GYU4MU|BE2.4101.pppoe4556|up|up| 
GYU4MU|BE2.4101.pppoe4559|up|up| 
GYU4MU|BE2.4101.pppoe4560|up|up| 
GYU4MU|BE2.4101.pppoe4562|up|up| 
GYU4MU|BE2.4101.pppoe4564|up|up| 
GYU4MU|BE2.4101.pppoe4569|up|up| 
GYU4MU|BE2.4101.pppoe4570|up|up| 
GYU4MU|BE2.4101.pppoe4575|up|up| 
GYU4MU|BE2.4101.pppoe4577|up|up| 
GYU4MU|BE2.4101.pppoe4580|up|up| 
GYU4MU|BE2.4101.pppoe4583|up|up| 
GYU4MU|BE2.4101.pppoe4585|up|up| 
GYU4MU|BE2.4101.pppoe4588|up|up| 
GYU4MU|BE2.4101.pppoe4589|up|up| 
GYU4MU|BE2.4101.pppoe4590|up|up| 
GYU4MU|BE2.4101.pppoe4598|up|up| 
GYU4MU|BE2.4101.pppoe4599|up|up| 
GYU4MU|BE2.4101.pppoe4601|up|up| 
GYU4MU|BE2.4101.pppoe4603|up|up| 
GYU4MU|BE2.4101.pppoe4608|up|up| 
GYU4MU|BE2.4101.pppoe4609|up|up| 
GYU4MU|BE2.4101.pppoe4611|up|up| 
GYU4MU|BE2.4101.pppoe4613|up|up| 
GYU4MU|BE2.4101.pppoe4614|up|up| 
GYU4MU|BE2.4101.pppoe4624|up|up| 
GYU4MU|BE2.4101.pppoe4681|up|up| 
GYU4MU|BE2.4101.pppoe4750|up|up| 
GYU4MU|BE2.4101.pppoe4841|up|up| 
GYU4MU|BE2.4101.pppoe4886|up|up| 
GYU4MU|BE2.4101.pppoe4946|up|up| 
GYU4MU|BE2.4101.pppoe5011|up|up| 
GYU4MU|BE2.4101.pppoe5065|up|up| 
GYU4MU|BE2.4101.pppoe5166|up|up| 
GYU4MU|BE2.4101.pppoe5189|up|up| 
GYU4MU|BE2.4101.pppoe5220|up|up| 
GYU4MU|BE2.4101.pppoe5260|up|up| 
GYU4MU|BE2.4101.pppoe5281|up|up| 
GYU4MU|BE2.4101.pppoe5295|up|up| 
GYU4MU|BE2.4101.pppoe5335|up|up| 
GYU4MU|BE2.4101.pppoe5345|up|up| 
GYU4MU|BE2.4101.pppoe5378|up|up| 
GYU4MU|BE2.4101.pppoe5410|up|up| 
GYU4MU|BE2.4101.pppoe5450|up|up| 
GYU4MU|BE2.4101.pppoe5469|up|up| 
GYU4MU|BE2.4101.pppoe5475|up|up| 
GYU4MU|BE2.4101.pppoe5486|up|up| 
GYU4MU|BE2.4101.pppoe5509|up|up| 
GYU4MU|BE2.4101.pppoe5530|up|up| 
GYU4MU|BE2.4101.pppoe5560|up|up| 
GYU4MU|BE2.4101.pppoe5597|up|up| 
GYU4MU|BE2.4101.pppoe5617|up|up| 
GYU4MU|BE2.4101.pppoe5634|up|up| 
GYU4MU|BE2.4101.pppoe5652|up|up| 
GYU4MU|BE2.4101.pppoe5669|up|up| 
GYU4MU|BE2.4101.pppoe5670|up|up| 
GYU4MU|BE2.4101.pppoe5676|up|up| 
GYU4MU|BE2.4101.pppoe5687|up|up| 
GYU4MU|BE2.4101.pppoe5690|up|up| 
GYU4MU|BE2.4101.pppoe5691|up|up| 
GYU4MU|BE2.4101.pppoe5697|up|up| 
GYU4MU|BE2.4101.pppoe5705|up|up| 
GYU4MU|BE2.4101.pppoe5750|up|up| 
GYU4MU|BE2.4101.pppoe5791|up|up| 
GYU4MU|BE2.4101.pppoe5812|up|up| 
GYU4MU|BE2.4101.pppoe5818|up|up| 
GYU4MU|BE2.4101.pppoe5828|up|up| 
GYU4MU|BE2.4101.pppoe5851|up|up| 
GYU4MU|BE2.4101.pppoe5855|up|up| 
GYU4MU|BE2.4101.pppoe5863|up|up| 
GYU4MU|BE2.4101.pppoe5868|up|up| 
GYU4MU|BE2.4101.pppoe5870|up|up| 
GYU4MU|BE2.4101.pppoe5872|up|up| 
GYU4MU|BE2.4101.pppoe5880|up|up| 
GYU4MU|BE2.4101.pppoe5885|up|up| 
GYU4MU|BE2.4101.pppoe5892|up|up| 
GYU4MU|BE2.4101.pppoe5894|up|up| 
GYU4MU|BE2.4101.pppoe5900|up|up| 
GYU4MU|BE2.4101.pppoe5904|up|up| 
GYU4MU|BE2.4101.pppoe5908|up|up| 
GYU4MU|BE2.4101.pppoe5921|up|up| 
GYU4MU|BE2.4101.pppoe5928|up|up| 
GYU4MU|BE2.4101.pppoe5936|up|up| 
GYU4MU|BE2.4101.pppoe5937|up|up| 
GYU4MU|BE2.4101.pppoe5939|up|up| 
GYU4MU|BE2.4101.pppoe5944|up|up| 
GYU4MU|BE2.4101.pppoe5950|up|up| 
GYU4MU|BE2.4101.pppoe5955|up|up| 
GYU4MU|BE2.4101.pppoe5956|up|up| 
GYU4MU|BE2.4101.pppoe5962|up|up| 
GYU4MU|BE2.4101.pppoe5965|up|up| 
GYU4MU|BE2.4101.pppoe5967|up|up| 
GYU4MU|BE2.4101.pppoe5968|up|up| 
GYU4MU|BE2.4101.pppoe5969|up|up| 
GYU4MU|BE2.4101.pppoe5970|up|up| 
GYU4MU|BE2.4101.pppoe5971|up|up| 
GYU4MU|BE2.4101.pppoe5972|up|up| 
GYU4MU|BE2.4101.pppoe5973|up|up| 
GYU4MU|BE2.4101.pppoe5974|up|up| 
GYU4MU|BE2.4101.pppoe5975|up|up| 
GYU4MU|BE2.4101.pppoe5976|up|up| 
GYU4MU|BE2.4101.pppoe5977|up|up| 
GYU4MU|BE4|up|up|[ACCESO HSI][BE] 5JBG01 11002381
GYU4MU|BE4.2|up|up|[SIGN] 5JBG01 HUA 5600_T 11002381 [NGN]
GYU4MU|BE4.3|up|up|[RTP] 5JBG01 HUA 5600_T 11002381 [NGN]
GYU4MU|BE4.4|up|up|[GESTION] 5JBG01 HUA 5600_T 11002381 [NGN]
GYU4MU|BE4.3101|up|up|[TOIP] 5JBG01 HUA 5600_T [VDS2]
GYU4MU|BE4.4101|up|up|[DATOS] 5JBG01 HUA 5600_T [VDS2][L3]
GYU4MU|BE5|up|up|[ACCESO HSI][BE] DGXG01 11002382
GYU4MU|BE5.2|up|up|[SIGN] DGXG01 HUA 5600_T 11002382 [NGN]
GYU4MU|BE5.3|up|up|[RTP] DGXG01 HUA 5600_T 11002382 [NGN]
GYU4MU|BE5.4|up|up|[GESTION] DGXG01 HUA 5600_T 11002382 [NGN]
GYU4MU|BE5.3101|up|up|[TOIP] DGXG01 HUA 5600_T [VDS2]
GYU4MU|BE5.4101|up|up|[DATOS] DGXG01 HUA 5600_T [VDS2][L3]
GYU4MU|BE6|up|up|[ACCESO HSI][BE] DDVG01 11000324
GYU4MU|BE6.3|up|up|[RTP][SIGN] DDVG01 HUA 5000 11000324 [NGN]
GYU4MU|BE6.4|up|up|[GESTION][IPMB] DDVG01 HUA 5000 11000324 [NGN]
GYU4MU|BE6.5|up|up|[GESTION][PVM] DDVG01 HUA 5000 11000324 [NGN]
GYU4MU|BE6.3101|up|up|[TOIP] DDVG01 HUA 5000 [ADS2]
GYU4MU|BE6.4101|up|up|[DATOS] DDVG01 HUA 5000 [ADS2][L3]
GYU4MU|BE7|up|up|[ACCESO HSI][BE] GYUA1D 13004393
GYU4MU|BE7.2101|up|up|[GESTION] GYUA1D HUA 5600 [ADS2]
GYU4MU|BE7.3101|up|up|[TOIP] GYUA1D HUA 5600 [ADS2]
GYU4MU|BE7.4101|up|up|[DATOS] GYUA1D HUA 5600 [ADS2][L3]
GYU4MU|BE8|up|up|[ACCESO HSI][BE] 1RAG01 11001596
GYU4MU|BE8.2|up|up|[SIGN] 1RAG01 HUA 5600_T 11001596 [NGN]
GYU4MU|BE8.3|up|up|[RTP] 1RAG01 HUA 5600_T 11001596 [NGN]
GYU4MU|BE8.4|up|up|[GESTION] 1RAG01 HUA 5600_T 11001596 [NGN]
GYU4MU|BE8.3101|up|up|[TOIP] 1RAG01 HUA 5603_T [VDS2]
GYU4MU|BE8.4101|up|up|[DATOS] 1RAG01 HUA 5603_T [VDS2][L3]
GYU4MU|BE9|up|up|[ACCESO HSI][BE] GH4G01 11000682
GYU4MU|BE9.2|up|up|[SIGN] GH4G01 ZTE5200 11000682 [NGN]
GYU4MU|BE9.3|up|up|[RTP] GH4G01 ZTE5200 11000682 [NGN]
GYU4MU|BE9.4|up|up|[GESTION] GH4G01 ZTE5200 11000682 [NGN]
GYU4MU|BE9.3101|up|up|[TOIP] GH4G01 ZTE 5200 [ADS2]
GYU4MU|BE9.4101|up|up|[DATOS] GH4G01 ZTE 5200 [ADS2][L3]
GYU4MU|BE9.4101.pppoe7964|up|up| 
GYU4MU|BE9.4101.pppoe7983|up|up| 
GYU4MU|BE9.4101.pppoe8000|up|up| 
GYU4MU|BE9.4101.pppoe8016|up|up| 
GYU4MU|BE9.4101.pppoe8031|up|up| 
GYU4MU|BE9.4101.pppoe8034|up|up| 
GYU4MU|BE9.4101.pppoe8063|up|up| 
GYU4MU|BE9.4101.pppoe8204|up|up| 
GYU4MU|BE9.4101.pppoe8395|up|up| 
GYU4MU|BE9.4101.pppoe8794|up|up| 
GYU4MU|BE9.4101.pppoe8965|up|up| 
GYU4MU|BE9.4101.pppoe9070|up|up| 
GYU4MU|BE9.4101.pppoe9164|up|up| 
GYU4MU|BE9.4101.pppoe9167|up|up| 
GYU4MU|BE9.4101.pppoe9168|up|up| 
GYU4MU|BE9.4101.pppoe9170|up|up| 
GYU4MU|BE9.4101.pppoe9171|up|up| 
GYU4MU|BE9.4101.pppoe9172|up|up| 
GYU4MU|BE9.4101.pppoe9175|up|up| 
GYU4MU|BE9.4101.pppoe9176|up|up| 
GYU4MU|BE9.4101.pppoe9181|up|up| 
GYU4MU|BE9.4101.pppoe9183|up|up| 
GYU4MU|BE9.4101.pppoe9184|up|up| 
GYU4MU|BE9.4101.pppoe9185|up|up| 
GYU4MU|BE9.4101.pppoe9187|up|up| 
GYU4MU|BE9.4101.pppoe9188|up|up| 
GYU4MU|BE9.4101.pppoe9189|up|up| 
GYU4MU|BE9.4101.pppoe9191|up|up| 
GYU4MU|BE9.4101.pppoe9193|up|up| 
GYU4MU|BE9.4101.pppoe9194|up|up| 
GYU4MU|BE9.4101.pppoe9195|up|up| 
GYU4MU|BE9.4101.pppoe9196|up|up| 
GYU4MU|BE9.4101.pppoe9197|up|up| 
GYU4MU|BE9.4101.pppoe9198|up|up| 
GYU4MU|BE9.4101.pppoe9200|up|up| 
GYU4MU|BE9.4101.pppoe9201|up|up| 
GYU4MU|BE9.4101.pppoe9203|up|up| 
GYU4MU|BE9.4101.pppoe9204|up|up| 
GYU4MU|BE9.4101.pppoe9205|up|up| 
GYU4MU|BE9.4101.pppoe9207|up|up| 
GYU4MU|BE9.4101.pppoe9208|up|up| 
GYU4MU|BE9.4101.pppoe9209|up|up| 
GYU4MU|BE9.4101.pppoe9211|up|up| 
GYU4MU|BE9.4101.pppoe9212|up|up| 
GYU4MU|BE9.4101.pppoe9213|up|up| 
GYU4MU|BE9.4101.pppoe9216|up|up| 
GYU4MU|BE9.4101.pppoe9222|up|up| 
GYU4MU|BE9.4101.pppoe9223|up|up| 
GYU4MU|BE9.4101.pppoe9226|up|up| 
GYU4MU|BE9.4101.pppoe9234|up|up| 
GYU4MU|BE9.4101.pppoe9236|up|up| 
GYU4MU|BE9.4101.pppoe9244|up|up| 
GYU4MU|BE9.4101.pppoe9246|up|up| 
GYU4MU|BE9.4101.pppoe9248|up|up| 
GYU4MU|BE9.4101.pppoe9249|up|up| 
GYU4MU|BE9.4101.pppoe9252|up|up| 
GYU4MU|BE9.4101.pppoe9253|up|up| 
GYU4MU|BE9.4101.pppoe9254|up|up| 
GYU4MU|BE9.4101.pppoe9255|up|up| 
GYU4MU|BE9.4101.pppoe9256|up|up| 
GYU4MU|BE9.4101.pppoe9258|up|up| 
GYU4MU|BE9.4101.pppoe9262|up|up| 
GYU4MU|BE9.4101.pppoe9266|up|up| 
GYU4MU|BE9.4101.pppoe9267|up|up| 
GYU4MU|BE9.4101.pppoe9268|up|up| 
GYU4MU|BE9.4101.pppoe9269|up|up| 
GYU4MU|BE9.4101.pppoe9271|up|up| 
GYU4MU|BE9.4101.pppoe9274|up|up| 
GYU4MU|BE9.4101.pppoe9276|up|up| 
GYU4MU|BE9.4101.pppoe9277|up|up| 
GYU4MU|BE9.4101.pppoe9278|up|up| 
GYU4MU|BE9.4101.pppoe9280|up|up| 
GYU4MU|BE9.4101.pppoe9283|up|up| 
GYU4MU|BE9.4101.pppoe9287|up|up| 
GYU4MU|BE9.4101.pppoe9289|up|up| 
GYU4MU|BE9.4101.pppoe9290|up|up| 
GYU4MU|BE9.4101.pppoe9294|up|up| 
GYU4MU|BE9.4101.pppoe9295|up|up| 
GYU4MU|BE9.4101.pppoe9298|up|up| 
GYU4MU|BE9.4101.pppoe9299|up|up| 
GYU4MU|BE9.4101.pppoe9303|up|up| 
GYU4MU|BE9.4101.pppoe9305|up|up| 
GYU4MU|BE9.4101.pppoe9307|up|up| 
GYU4MU|BE9.4101.pppoe9309|up|up| 
GYU4MU|BE9.4101.pppoe9312|up|up| 
GYU4MU|BE9.4101.pppoe9313|up|up| 
GYU4MU|BE9.4101.pppoe9314|up|up| 
GYU4MU|BE9.4101.pppoe9316|up|up| 
GYU4MU|BE9.4101.pppoe9317|up|up| 
GYU4MU|BE9.4101.pppoe9319|up|up| 
GYU4MU|BE9.4101.pppoe9321|up|up| 
GYU4MU|BE9.4101.pppoe9324|up|up| 
GYU4MU|BE9.4101.pppoe9325|up|up| 
GYU4MU|BE9.4101.pppoe9326|up|up| 
GYU4MU|BE9.4101.pppoe9327|up|up| 
GYU4MU|BE9.4101.pppoe9328|up|up| 
GYU4MU|BE9.4101.pppoe9329|up|up| 
GYU4MU|BE9.4101.pppoe9332|up|up| 
GYU4MU|BE9.4101.pppoe9336|up|up| 
GYU4MU|BE9.4101.pppoe9340|up|up| 
GYU4MU|BE9.4101.pppoe9341|up|up| 
GYU4MU|BE9.4101.pppoe9342|up|up| 
GYU4MU|BE9.4101.pppoe9344|up|up| 
GYU4MU|BE9.4101.pppoe9347|up|up| 
GYU4MU|BE9.4101.pppoe9354|up|up| 
GYU4MU|BE9.4101.pppoe9355|up|up| 
GYU4MU|BE9.4101.pppoe9357|up|up| 
GYU4MU|BE9.4101.pppoe9359|up|up| 
