shelfname|interface|portoperationalstate|protocol|info1
MAN2MU|BE1|up|up|[ACCESO HSI][BE] MANN01 
MAN2MU|BE1.6|up|up|IPTV MANN01 IGMP-PIM
MAN2MU|BE1.7|up|up|[DHCP] [IPTV] MANN01 HUA 5600T [GPON]
MAN2MU|BE1.14|up|up|[DATOS] MANN01 14 HUA5600T [GPON][L3]
MAN2MU|BE1.15|up|up|[DATOS] MANN01 15 HUA5600T [GPON][L3]
MAN2MU|BE1.16|up|up|[DATOS] MANN01 16 HUA5600T [GPON][L3]
MAN2MU|BE1.16.pppoe14184|up|up| 
MAN2MU|BE1.16.pppoe14185|up|up| 
MAN2MU|BE1.16.pppoe14186|up|up| 
MAN2MU|BE1.16.pppoe14188|up|up| 
MAN2MU|BE1.16.pppoe14189|up|up| 
MAN2MU|BE1.16.pppoe14190|up|up| 
MAN2MU|BE1.16.pppoe14191|up|up| 
MAN2MU|BE1.16.pppoe14192|up|up| 
MAN2MU|BE1.16.pppoe14194|up|up| 
MAN2MU|BE1.16.pppoe14195|up|up| 
MAN2MU|BE1.16.pppoe14196|up|up| 
MAN2MU|BE1.16.pppoe14197|up|up| 
MAN2MU|BE1.16.pppoe14198|up|up| 
MAN2MU|BE1.16.pppoe14199|up|up| 
MAN2MU|BE1.16.pppoe14200|up|up| 
MAN2MU|BE1.16.pppoe14201|up|up| 
MAN2MU|BE1.16.pppoe14202|up|up| 
MAN2MU|BE1.16.pppoe14207|up|up| 
MAN2MU|BE1.16.pppoe14208|up|up| 
MAN2MU|BE1.16.pppoe14209|up|up| 
MAN2MU|BE1.16.pppoe14210|up|up| 
MAN2MU|BE1.16.pppoe14211|up|up| 
MAN2MU|BE1.16.pppoe14212|up|up| 
MAN2MU|BE1.16.pppoe14213|up|up| 
MAN2MU|BE1.16.pppoe14215|up|up| 
MAN2MU|BE1.16.pppoe14216|up|up| 
MAN2MU|BE1.16.pppoe14217|up|up| 
MAN2MU|BE1.16.pppoe14219|up|up| 
MAN2MU|BE1.16.pppoe14220|up|up| 
MAN2MU|BE1.16.pppoe14222|up|up| 
MAN2MU|BE1.16.pppoe14223|up|up| 
MAN2MU|BE1.16.pppoe14224|up|up| 
MAN2MU|BE1.16.pppoe14225|up|up| 
MAN2MU|BE1.16.pppoe14227|up|up| 
MAN2MU|BE1.16.pppoe14228|up|up| 
MAN2MU|BE1.16.pppoe14229|up|up| 
MAN2MU|BE1.16.pppoe14230|up|up| 
