shelfname|interface|portoperationalstate|protocol|info1
MUN1MB|BV458|down|down| 
MUN1MB|BE1|admin-down|admin-down|CDN CISCO - Enlace 20G a MUN-SE-1
MUN1MB|BE2|up|up|[HRP] MUN1MB 2 [L3] [HSI]
MUN1MB|BE2.13002102|up|up|[DATOS] SPU22D HUA 5100 [ADSL]   
MUN1MB|BE2.13080876|up|up|[DATOS] VP2G01 HUA 5000 [ADS2]
MUN1MB|BE2.1103039002|up|up| 
MUN1MB|BE2.1103039003|up|up| 
MUN1MB|BE2.1103039004|up|up| 
MUN1MB|BE2.1108047601|up|up|GESTION 7YN11C ECI
MUN1MB|BE2.1199230101|admin-down|admin-down|GESTION TZ211D ZTE9800
MUN1MB|BE2.1208047601|up|up|[TOIP] 7YN11C ECI V41 [VDSL]
MUN1MB|BE2.1299228401|up|up|[TOIP] TZ1G01 HUA UA5000 [ADS2]
MUN1MB|BE2.1303039001|up|up|[DATOS] URQ21D HUA 5100 [ADSL]   
MUN1MB|BE2.1303039002|up|up|[DATOS] URQ22D HUA 5100 [ADSL]   
MUN1MB|BE2.1303039003|up|up|[DATOS] URQ23D HUA 5100 [ADSL]   
MUN1MB|BE2.1303039004|up|up|[DATOS] URQ24D HUA 5100 [ADSL]   
MUN1MB|BE2.1303039005|up|up|[DATOS] URQ25D HUA 5100 [ADSL]   
MUN1MB|BE2.1303039011|up|up| 
MUN1MB|BE2.1303039031|up|up| 
MUN1MB|BE2.1303039041|up|up| 
MUN1MB|BE2.1305059401|admin-down|admin-down|[DATOS] BALD1D ZTE 9800 [ADS2]   
MUN1MB|BE2.1305059402|up|up|[DATOS] BALD2D ZTE 9800 [ADS2]   
MUN1MB|BE2.1305059403|up|up|[DATOS] BALD3D ZTE 9800 [ADS2]   
MUN1MB|BE2.1305059404|up|up|[DATOS] BALD4D ZTE 9800 [ADS2]   
MUN1MB|BE2.1306066601|up|up|[DATOS] TH1G01 ZTE 5200 [ADS2]   
MUN1MB|BE2.1308047601|up|up|DSLAM 7YN11C ECI
MUN1MB|BE2.1313104102|up|up|[DATOS] DEV32D HUA 5100 [ADSL]   
MUN1MB|BE2.1313104103|up|up|[DATOS] DEV33D HUA 5100 [ADSL]   
MUN1MB|BE2.1313104104|up|up|[DATOS] DEV34D HUA 5100 [ADSL]   
MUN1MB|BE2.1313104105|up|up|[DATOS] DEV35D HUA 5100 [ADSL]   
MUN1MB|BE2.1399228401|admin-down|admin-down|[DATOS] TZ1G01 HUA 5000 [ADS2]   
MUN1MB|BE2.1399228601|admin-down|admin-down|[DATOS] TZ3G01 HUA 5000 [ADS2]   
MUN1MB|BE2.1399228801|admin-down|admin-down|[DATOS] TZ4G01 HUA 5000 [ADS2]   
