shelfname|interface|portoperationalstate|protocol|info1
RES1MB|BE1|up|up|[HRP] RES1MB 1 [L3] [HSI]
RES1MB|BE1.239|up|down|pepe
RES1MB|BE1.240|up|down|PEPE
RES1MB|BE1.241|admin-down|admin-down|DSLAM PBA11D
RES1MB|BE1.1153072|admin-down|admin-down|INTEGRA LIGHT AGRO CHACO SRL ref:711167 LIN:2819334 ACC:RR011C 03 PF_48
RES1MB|BE1.1290401|up|down| 
RES1MB|BE1.1390401|up|down| 
RES1MB|BE1.11082601|up|up|GESTION PZAM01 ALU7302
RES1MB|BE1.11082701|admin-down|admin-down|GESTION PZUM01 ALU7302
RES1MB|BE1.11288901|admin-down|admin-down|GESTION 0OZ11C ALCATEL7330
RES1MB|BE1.11289201|admin-down|admin-down|GESTION PTL11D ZTE9800
RES1MB|BE1.11289301|admin-down|admin-down|GESTION 0Q311C ALCATEL7330
RES1MB|BE1.11289401|admin-down|admin-down|GESTION 0P911C ALCATEL7330
RES1MB|BE1.11289501|admin-down|admin-down|GESTION 0P811C ALCATEL7330
RES1MB|BE1.11289601|admin-down|admin-down|GESTION 0P611C ALCATEL7330
RES1MB|BE1.11289801|admin-down|admin-down|GESTION 0OY11C ALCATEL7330
RES1MB|BE1.11289901|admin-down|admin-down|GESTION 0Q211C ALCATEL7330
RES1MB|BE1.11290001|admin-down|admin-down|GESTION 0OX11C ALCATEL7330
RES1MB|BE1.11290101|admin-down|admin-down|GESTION 0OW11C ALCATEL7330
RES1MB|BE1.11290301|admin-down|admin-down|GESTION 0OV11C ALCATEL7330
RES1MB|BE1.11290401|admin-down|admin-down|GESTION 0OU11C ALCATEL7330
RES1MB|BE1.11290501|admin-down|admin-down|GESTION 0OT11C ALCATEL7330
RES1MB|BE1.11290601|admin-down|admin-down|GESTION 0OS11C ALCATEL7330
RES1MB|BE1.11290701|admin-down|admin-down|GESTION 0OO11C ALCATEL7330
RES1MB|BE1.11291101|admin-down|admin-down|GESTION 0Q111C ALCATEL7330
RES1MB|BE1.11291301|admin-down|admin-down|GESTION 0PP11C ALCATEL7330
RES1MB|BE1.11291401|admin-down|admin-down|GESTION 0PN11C ALCATEL7330
RES1MB|BE1.11291501|admin-down|admin-down|GESTION 0PS11C ALCATEL7330
RES1MB|BE1.11291701|admin-down|admin-down|GESTION 0PV11C ALCATEL7330
RES1MB|BE1.11291801|admin-down|admin-down|GESTION 0PU11C ALCATEL7330
RES1MB|BE1.11291901|admin-down|admin-down|GESTION 0PR11C ALCATEL7330
RES1MB|BE1.11292101|admin-down|admin-down|GESTION 0PT11C ALCATEL7330
RES1MB|BE1.11292201|admin-down|admin-down|GESTION 0PO11C ALCATEL7330
RES1MB|BE1.11292401|admin-down|admin-down|GESTION 0PK11C ALCATEL7330
RES1MB|BE1.11292501|up|up|GESTION 0PQ11C ALCATEL7330
RES1MB|BE1.11293001|admin-down|admin-down|GESTION RESC1D HUAWEI5600
RES1MB|BE1.11293510|up|up| 
RES1MB|BE1.11293601|up|up|GESTION RES31D HUAWEI5100
RES1MB|BE1.11294001|admin-down|admin-down|GESTION 0PX11C ALCATEL7330
RES1MB|BE1.11294401|admin-down|admin-down|GESTION 0Q011C ALCATEL7330
RES1MB|BE1.11294501|admin-down|admin-down|GESTION 0OJ11C ALCATEL7330
RES1MB|BE1.11294601|admin-down|admin-down|GESTION 0OH11C ALCATEL7330
RES1MB|BE1.11295401|admin-down|admin-down|GESTION 0PW11C ALCATEL7330
RES1MB|BE1.11295501|admin-down|admin-down|GESTION 0PF11C ALCATEL7330
RES1MB|BE1.11295601|admin-down|admin-down|GESTION 0Q611C ALCATEL7330
RES1MB|BE1.11295701|admin-down|admin-down|GESTION 0OQ11C ALCATEL7330
RES1MB|BE1.11295801|admin-down|admin-down|GESTION 0PE11C ALCATEL7330
RES1MB|BE1.11295901|admin-down|admin-down|GESTION 0Q511C ALCATEL7330
RES1MB|BE1.11296001|admin-down|admin-down|GESTION 0PH11C ALCATEL7330
RES1MB|BE1.11296101|admin-down|admin-down|GESTION 0PD11C ALCATEL7330
RES1MB|BE1.11296201|admin-down|admin-down|GESTION 0OP11C ALCATEL7330
RES1MB|BE1.11296401|admin-down|admin-down|GESTION 0PG11C ALCATEL7330
RES1MB|BE1.11296501|admin-down|admin-down|GESTION 0PY11C ALCATEL7330
RES1MB|BE1.11296601|admin-down|admin-down|GESTION 0OI11C ALCATEL7330
RES1MB|BE1.11296701|admin-down|admin-down|GESTION 0OG11C ALCATEL7330
RES1MB|BE1.11297201|admin-down|admin-down|GESTION 0NY11C ALCATEL7330
RES1MB|BE1.11297401|admin-down|admin-down|GESTION 0PZ11C ALCATEL7330
RES1MB|BE1.11297501|admin-down|admin-down|GESTION 0OL11C ALCATEL7330
RES1MB|BE1.11297801|admin-down|admin-down|GESTION 0Q811C ALCATEL7330
RES1MB|BE1.11298001|admin-down|admin-down|GESTION 0Q711C ALCATEL7330
RES1MB|BE1.11298101|admin-down|admin-down|GESTION 0PB11C ALCATEL7330
RES1MB|BE1.11298301|admin-down|admin-down|GESTION 0Q411C ALCATEL7330
RES1MB|BE1.11299801|up|up|GESTION RESD1D HUAWEI5600
RES1MB|BE1.12010101|up|up|[TOIP] LVDG01 HUA 5616 [ADS2]
RES1MB|BE1.12063601|up|up|[TOIP] 2EHG01 HUA 5603T [ADS2]
RES1MB|BE1.12063801|up|up|[TOIP] 13FG01 HUA 5616 [ADS2]
RES1MB|BE1.12082601|up|up|[TOIP] PZAM01 ALC 7302 [ADS2]
RES1MB|BE1.12292501|up|up|[TOIP] 0PQ11C ALC 7330 [ADS2]
RES1MB|BE1.12299801|up|up|[TOIP] RESD1D HUA 5600 [ADS2]
RES1MB|BE1.13000201|up|up|DSLAM_NGN EDCG01 ZTE OUT40
RES1MB|BE1.13010101|up|up|[DATOS] LVDG01 HUA 5603_T [VDS2] 
RES1MB|BE1.13063601|up|up|[DATOS] 2EHG01 HUA 5603_T [VDS2] 
