shelfname|interface|portoperationalstate|protocol|info1
RSC2MB|BE1|up|up|[HRP] RSC2MB 1 [L3] [HSI]
RSC2MB|BE1.18|admin-down|admin-down| 
RSC2MB|BE1.239|up|up|DSLAM PBA11D
RSC2MB|BE1.332|admin-down|admin-down|GESTION PBA11D ZTE9210
RSC2MB|BE1.13000101|admin-down|admin-down|[DATOS] EMPH01 HUA 5600_T [VDS2] 
RSC2MB|BE1.13001101|admin-down|admin-down|[DATOS] SN7G01 HUA 5000 [ADS2]
RSC2MB|BE1.13001201|up|up|ADSL HRRG01 ZTE
RSC2MB|BE1.119901290|up|down| 
RSC2MB|BE1.131011901|admin-down|admin-down|[DATOS]  ATEG01  ZTE 5200  [ADS2]
RSC2MB|BE1.1010121201|up|up|VPN-TDATA-BCORIO - ADSL:3471429554 Acc:CNG33D
RSC2MB|BE1.1102020201|admin-down|admin-down|GESTION SRT61D HUAWEI5600
RSC2MB|BE1.1110011701|admin-down|admin-down|GESTION SRT51D HUAWEI5600
RSC2MB|BE1.1110058901|admin-down|admin-down|GESTION SEQ11D ZTE9800
RSC2MB|BE1.1201010201|up|up|[TOIP] LG6G01 HUA 5000 [ADS2]
RSC2MB|BE1.1205271501|admin-down|admin-down| 
RSC2MB|BE1.1206063201|up|up|[TOIP] 1QQG01 HUA 5600_T [VDS2]
RSC2MB|BE1.1301010201|up|up|[DATOS]  LG6G01  HUA 5000  [ADS2]
RSC2MB|BE1.1302020201|admin-down|admin-down|[DATOS] SRT61D HUA 5600 [ADS2]   
RSC2MB|BE1.1302020901|admin-down|admin-down|[DATOS] BVBG01 HUA 5000 [ADS2]
RSC2MB|BE1.1304346901|up|up|[DATOS] VHYG01 HUA 5600_T [VDS2]
RSC2MB|BE1.1306010101|admin-down|admin-down|[DATOS] DDWG01 ZTE 5200 [ADS2]
RSC2MB|BE1.1306041901|admin-down|admin-down|[DATOS]  VQ2G01  HUA 5600_T  [VDS2]
RSC2MB|BE1.1306063201|up|up|[DATOS] 1QQG01 HUA 5600_T [VDS2]
RSC2MB|BE1.1308022601|admin-down|admin-down|[DATOS] TYVG01 HUA 5600_T [VDS2]
RSC2MB|BE1.1308182401|admin-down|admin-down|[DATOS] 0YVG01 ZTE 5200 [ADS2]   
RSC2MB|BE1.1310011701|up|up|DSLAM SRT51D HUAWEI5600
RSC2MB|BE1.1310058901|up|up|DSLAM SEQ11D ZTE9800
RSC2MB|BE1.1310062701|admin-down|admin-down|[DATOS] 1QTG01 HUA 5600_T [VDS2]
RSC2MB|BE1.1310063602|up|up|[DATOS] CNG22D HUA 5100 [ADSL]   
RSC2MB|BE1.1310361601|admin-down|admin-down|[DATOS]  1VFG01  HUA 5600_T  [VDS2]
RSC2MB|BE1.1399134901|admin-down|admin-down|[DATOS] LV1G01 HUA 5000 [ADS2]
RSC2MB|BE2|up|up|[HRP] RSC2MB 2 [L3] [HSI]
RSC2MB|BE2.11000101|admin-down|admin-down|GESTION 2AX11C ALCATEL7330
RSC2MB|BE2.11000201|admin-down|admin-down|GESTION 2AW11C ALCATEL7330
RSC2MB|BE2.11000301|admin-down|admin-down|GESTION 2AY11C ALCATEL7330
RSC2MB|BE2.11000401|admin-down|admin-down|GESTION 2B011C ALCATEL7330
RSC2MB|BE2.11000501|admin-down|admin-down|GESTION 2B211C ALCATEL7330
RSC2MB|BE2.11000601|admin-down|admin-down|GESTION 2B311C ALCATEL7330
RSC2MB|BE2.11000701|admin-down|admin-down|GESTION 2B411C ALCATEL7330
RSC2MB|BE2.11000801|admin-down|admin-down|GESTION 2B611C ALCATEL7330
