shelfname|interface|portoperationalstate|protocol|info1
SUR2MU|BE1|up|up|[ACCESO HSI][BE] SUR11D HUA 5100 -  9701399
SUR2MU|BE1.2101|up|up|[GESTION] SUR11D HUA 5100 -  9701399 [ADS2]
SUR2MU|BE1.3101|up|down| 
SUR2MU|BE1.4101|up|up|[DATOS] SUR11D HUA 5100 -  9701399 [ADS2][L3]
SUR2MU|BE2|up|up|[ACCESO HSI][BE] SURN01 13005151
SUR2MU|BE2.6|up|up|IPTV SURN01 IGMP-PIM
SUR2MU|BE2.7|up|up|[DHCP] [IPTV] SURN01 HUA 5600T [GPON]
SUR2MU|BE2.11|up|up|[DATOS] SURN01 11 HUA5600T [GPON][L3]
SUR2MU|BE2.13|up|up|[DATOS] SURN01 13 HUA5600T [GPON][L3]
SUR2MU|BE2.14|up|up|[DATOS] SURN01 14 HUA5600T [GPON][L3]
SUR2MU|BE2.14.pppoe28804|up|up| 
SUR2MU|BE2.14.pppoe28805|up|up| 
SUR2MU|BE2.14.pppoe28806|up|up| 
SUR2MU|BE2.14.pppoe28807|up|up| 
SUR2MU|BE2.14.pppoe28808|up|up| 
SUR2MU|BE2.14.pppoe28809|up|up| 
SUR2MU|BE2.14.pppoe28810|up|up| 
SUR2MU|BE2.14.pppoe28811|up|up| 
SUR2MU|BE2.14.pppoe28812|up|up| 
SUR2MU|BE2.14.pppoe28813|up|up| 
SUR2MU|BE2.14.pppoe28815|up|up| 
SUR2MU|BE2.14.pppoe28816|up|up| 
SUR2MU|BE2.14.pppoe28817|up|up| 
SUR2MU|BE2.14.pppoe28818|up|up| 
SUR2MU|BE2.14.pppoe28819|up|up| 
SUR2MU|BE2.14.pppoe28820|up|up| 
SUR2MU|BE2.14.pppoe28821|up|up| 
SUR2MU|BE2.14.pppoe28822|up|up| 
SUR2MU|BE2.14.pppoe28823|up|up| 
SUR2MU|BE2.14.pppoe28824|up|up| 
SUR2MU|BE2.14.pppoe28825|up|up| 
SUR2MU|BE2.14.pppoe28826|up|up| 
SUR2MU|BE2.14.pppoe28827|up|up| 
SUR2MU|BE2.14.pppoe28829|up|up| 
SUR2MU|BE2.14.pppoe28830|up|up| 
SUR2MU|BE2.14.pppoe28831|up|up| 
SUR2MU|BE2.14.pppoe28833|up|up| 
SUR2MU|BE2.14.pppoe28834|up|up| 
SUR2MU|BE2.14.pppoe28835|up|up| 
SUR2MU|BE2.14.pppoe28836|up|up| 
SUR2MU|BE2.14.pppoe28838|up|up| 
SUR2MU|BE2.14.pppoe28840|up|up| 
SUR2MU|BE2.14.pppoe28841|up|up| 
SUR2MU|BE2.14.pppoe28842|up|up| 
SUR2MU|BE2.14.pppoe28843|up|up| 
SUR2MU|BE2.14.pppoe28845|up|up| 
SUR2MU|BE2.14.pppoe28846|up|up| 
SUR2MU|BE2.14.pppoe28847|up|up| 
