shelfname|interface|portoperationalstate|protocol|info1
TRJ3MU|BV291|admin-down|admin-down| 
TRJ3MU|BE1|up|up|[ACCESO HSI][BE] TRJ51D
TRJ3MU|BE1.2101|up|up|[GESTION] TRJ51D ZTE 9210 [ADS2]
TRJ3MU|BE1.3101|up|up|[TOIP] TRJ51D ZTE 9210 [ADS2]
TRJ3MU|BE1.4101|up|up|[DATOS] TRJ51D ZTE 9210 [ADS2][L3]
TRJ3MU|BE1.4101.pppoe5042|up|up| 
TRJ3MU|BE1.4101.pppoe5043|up|up| 
TRJ3MU|BE1.4101.pppoe5044|up|up| 
TRJ3MU|BE1.4101.pppoe5045|up|up| 
TRJ3MU|BE1.4101.pppoe5046|up|up| 
TRJ3MU|BE1.4101.pppoe5047|up|up| 
TRJ3MU|BE1.4101.pppoe5048|up|up| 
TRJ3MU|BE1.4101.pppoe5050|up|up| 
TRJ3MU|BE1.4101.pppoe5051|up|up| 
TRJ3MU|BE1.4101.pppoe5052|up|up| 
TRJ3MU|BE1.4101.pppoe5053|up|up| 
TRJ3MU|BE1.4101.pppoe5054|up|up| 
TRJ3MU|BE1.4101.pppoe5055|up|up| 
TRJ3MU|BE1.4101.pppoe5056|up|up| 
TRJ3MU|BE1.4101.pppoe5057|up|up| 
TRJ3MU|BE1.4101.pppoe5058|up|up| 
TRJ3MU|BE1.4101.pppoe5059|up|up| 
TRJ3MU|BE1.4101.pppoe5060|up|up| 
TRJ3MU|BE1.4101.pppoe5061|up|up| 
TRJ3MU|BE1.4101.pppoe5062|up|up| 
TRJ3MU|BE1.4101.pppoe5063|up|up| 
TRJ3MU|BE1.4101.pppoe5064|up|up| 
TRJ3MU|BE1.4101.pppoe5065|up|up| 
TRJ3MU|BE1.4101.pppoe5068|up|up| 
TRJ3MU|BE1.4101.pppoe5070|up|up| 
TRJ3MU|BE1.4101.pppoe5071|up|up| 
TRJ3MU|BE1.4101.pppoe5073|up|up| 
TRJ3MU|BE1.4101.pppoe5074|up|up| 
TRJ3MU|BE1.4101.pppoe5075|up|up| 
TRJ3MU|BE1.4101.pppoe5076|up|up| 
TRJ3MU|BE1.4101.pppoe5077|up|up| 
TRJ3MU|BE1.4101.pppoe5078|up|up| 
TRJ3MU|BE1.4101.pppoe5079|up|up| 
TRJ3MU|BE1.4101.pppoe5080|up|up| 
TRJ3MU|BE1.4101.pppoe5081|up|up| 
TRJ3MU|BE1.4101.pppoe5082|up|up| 
TRJ3MU|BE1.4101.pppoe5083|up|up| 
TRJ3MU|BE1.4101.pppoe5084|up|up| 
TRJ3MU|BE1.4101.pppoe5085|up|up| 
TRJ3MU|BE1.4101.pppoe5086|up|up| 
TRJ3MU|BE1.4101.pppoe5087|up|up| 
TRJ3MU|BE1.4101.pppoe5089|up|up| 
TRJ3MU|BE1.4101.pppoe5090|up|up| 
TRJ3MU|BE1.4101.pppoe5091|up|up| 
TRJ3MU|BE1.4101.pppoe5092|up|up| 
TRJ3MU|BE1.4101.pppoe5093|up|up| 
TRJ3MU|BE1.4101.pppoe5094|up|up| 
TRJ3MU|BE1.4101.pppoe5095|up|up| 
TRJ3MU|BE1.4101.pppoe5096|up|up| 
TRJ3MU|BE1.4101.pppoe5097|up|up| 
TRJ3MU|BE1.4101.pppoe5098|up|up| 
TRJ3MU|BE1.4101.pppoe5099|up|up| 
TRJ3MU|BE1.4101.pppoe5100|up|up| 
TRJ3MU|BE1.4101.pppoe5101|up|up| 
TRJ3MU|BE1.4101.pppoe5102|up|up| 
TRJ3MU|BE1.4101.pppoe5103|up|up| 
TRJ3MU|BE1.4101.pppoe5104|up|up| 
TRJ3MU|BE1.4101.pppoe5106|up|up| 
TRJ3MU|BE1.4101.pppoe5107|up|up| 
TRJ3MU|BE1.4101.pppoe5109|up|up| 
TRJ3MU|BE1.4101.pppoe5110|up|up| 
TRJ3MU|BE1.4101.pppoe5111|up|up| 
TRJ3MU|BE1.4101.pppoe5112|up|up| 
TRJ3MU|BE1.4101.pppoe5114|up|up| 
TRJ3MU|BE1.4101.pppoe5115|up|up| 
TRJ3MU|BE1.4101.pppoe5116|up|up| 
TRJ3MU|BE1.4101.pppoe5117|up|up| 
TRJ3MU|BE1.4101.pppoe5119|up|up| 
TRJ3MU|BE1.4101.pppoe5120|up|up| 
TRJ3MU|BE1.4101.pppoe5121|up|up| 
TRJ3MU|BE1.4101.pppoe5122|up|up| 
TRJ3MU|BE1.4101.pppoe5123|up|up| 
TRJ3MU|BE1.4101.pppoe5125|up|up| 
TRJ3MU|BE1.4101.pppoe5126|up|up| 
TRJ3MU|BE1.4101.pppoe5127|up|up| 
TRJ3MU|BE1.4101.pppoe5128|up|up| 
TRJ3MU|BE1.4101.pppoe5129|up|up| 
TRJ3MU|BE1.4101.pppoe5130|up|up| 
TRJ3MU|BE1.4101.pppoe5131|up|up| 
TRJ3MU|BE1.4101.pppoe5132|up|up| 
TRJ3MU|BE1.4101.pppoe5133|up|up| 
TRJ3MU|BE1.4101.pppoe5134|up|up| 
TRJ3MU|BE1.4101.pppoe5135|up|up| 
TRJ3MU|BE1.4101.pppoe5136|up|up| 
TRJ3MU|BE1.4101.pppoe5137|up|up| 
TRJ3MU|BE1.4101.pppoe5138|up|up| 
TRJ3MU|BE1.4101.pppoe5139|up|up| 
TRJ3MU|BE1.4101.pppoe5140|up|up| 
TRJ3MU|BE1.4101.pppoe5141|up|up| 
TRJ3MU|BE1.4101.pppoe5144|up|up| 
TRJ3MU|BE1.4101.pppoe5145|up|up| 
TRJ3MU|BE1.4101.pppoe5146|up|up| 
TRJ3MU|BE1.4101.pppoe5147|up|up| 
TRJ3MU|BE1.4101.pppoe5148|up|up| 
TRJ3MU|BE1.4101.pppoe5149|up|up| 
TRJ3MU|BE1.4101.pppoe5150|up|up| 
TRJ3MU|BE1.4101.pppoe5151|up|up| 
TRJ3MU|BE1.4101.pppoe5152|up|up| 
TRJ3MU|BE1.4101.pppoe5153|up|up| 
TRJ3MU|BE1.4101.pppoe5154|up|up| 
TRJ3MU|BE1.4101.pppoe5155|up|up| 
TRJ3MU|BE1.4101.pppoe5156|up|up| 
TRJ3MU|BE1.4101.pppoe5157|up|up| 
TRJ3MU|BE1.4101.pppoe5158|up|up| 
TRJ3MU|BE1.4101.pppoe5159|up|up| 
TRJ3MU|BE1.4101.pppoe5160|up|up| 
TRJ3MU|BE1.4101.pppoe5161|up|up| 
TRJ3MU|BE1.4101.pppoe5162|up|up| 
TRJ3MU|BE1.4101.pppoe5163|up|up| 
TRJ3MU|BE1.4101.pppoe5164|up|up| 
TRJ3MU|BE1.4101.pppoe5168|up|up| 
TRJ3MU|BE1.4101.pppoe5169|up|up| 
