shelfname|interface|portoperationalstate|protocol|info1
TVJ2MU|BE1|up|up|[ACCESO HSI][BE] TVJ31
TVJ2MU|BE1.2101|up|up|[GESTION] TVJ31D HUA 5600 [ADS2]
TVJ2MU|BE1.3101|up|up|[TOIP] TVJ31D HUA 5600 [ADS2]
TVJ2MU|BE1.4101|up|up|[DATOS] TVJ31D HUA 5600 [ADS2][L3]
TVJ2MU|BE1.4101.pppoe910|up|up| 
TVJ2MU|BE1.4101.pppoe916|up|up| 
TVJ2MU|BE1.4101.pppoe917|up|up| 
TVJ2MU|BE1.4101.pppoe921|up|up| 
TVJ2MU|BE1.4101.pppoe923|up|up| 
TVJ2MU|BE1.4101.pppoe925|up|up| 
TVJ2MU|BE1.4101.pppoe927|up|up| 
TVJ2MU|BE1.4101.pppoe928|up|up| 
TVJ2MU|BE1.4101.pppoe931|up|up| 
TVJ2MU|BE1.4101.pppoe932|up|up| 
TVJ2MU|BE1.4101.pppoe934|up|up| 
TVJ2MU|BE1.4101.pppoe937|up|up| 
TVJ2MU|BE1.4101.pppoe939|up|up| 
TVJ2MU|BE1.4101.pppoe941|up|up| 
TVJ2MU|BE1.4101.pppoe944|up|up| 
TVJ2MU|BE1.4101.pppoe947|up|up| 
TVJ2MU|BE1.4101.pppoe950|up|up| 
TVJ2MU|BE1.4101.pppoe951|up|up| 
TVJ2MU|BE1.4101.pppoe953|up|up| 
TVJ2MU|BE1.4101.pppoe954|up|up| 
TVJ2MU|BE1.4101.pppoe955|up|up| 
TVJ2MU|BE1.4101.pppoe957|up|up| 
TVJ2MU|BE1.4101.pppoe962|up|up| 
TVJ2MU|BE1.4101.pppoe966|up|up| 
TVJ2MU|BE1.4101.pppoe967|up|up| 
TVJ2MU|BE1.4101.pppoe969|up|up| 
TVJ2MU|BE1.4101.pppoe970|up|up| 
TVJ2MU|BE1.4101.pppoe971|up|up| 
TVJ2MU|BE1.4101.pppoe972|up|up| 
TVJ2MU|BE1.4101.pppoe974|up|up| 
TVJ2MU|BE1.4101.pppoe979|up|up| 
TVJ2MU|BE1.4101.pppoe980|up|up| 
