shelfname|interface|portoperationalstate|protocol|info1
ADL1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
ADL1MU|GE0/1/0|up|down|CONEXION A RE 1NADL01 - Linea.700
ADL1MU|GE0/1/0.1251|up|up|UPLINK A RCU3MU Eth-trunk5.1251 R
ADL1MU|GE0/1/0.1252|up|up|UPLINK A RCU3MU Eth-trunk5.1252 R
ADL1MU|GE0/1/0.1253|up|up|UPLINK A RCU3MU Eth-trunk5.1253 R
ADL1MU|GE0/1/0.1254|up|up|UPLINK A RCU3MU Eth-trunk5.1254 R
ADL1MU|GE0/1/0.1255|up|up|UPLINK A RCU3MU Eth-trunk5.1255 R
ADL1MU|GE0/1/0.1256|up|up|UPLINK A RCU3MU Eth-trunk5.1256 R
ADL1MU|GE0/1/0.1257|up|up|UPLINK A RCU3MU Eth-trunk5.1257 R
ADL1MU|GE0/1/0.1258|up|up|UPLINK A RCU3MU Eth-trunk5.1258 R
ADL1MU|GE0/1/0.1259|up|up|UPLINK A RCU3MU Eth-trunk5.1259 R
ADL1MU|GE0/1/0.1260|up|up|ATN950 ADELIA MARIA LIN.: 7000146
ADL1MU|GE0/1/1|up|down|eNODOB ADELIA MARIA COOP - A01-S0
ADL1MU|GE0/1/1.1000|up|up|eNODOB - ADELIA MARIA COOP - A01-
ADL1MU|GE0/1/1.1001|up|up|eNODOB - ADELIA MARIA COOP - A01-
ADL1MU|GE0/1/1.1002|up|up|eNODOB - ADELIA MARIA COOP - A01-
ADL1MU|GE0/1/1.1003|up|up|NODOB - ADELIA MARIA COOP - A01-S
ADL1MU|GE0/1/1.1004|up|up|NODOB - ADELIA MARIA COOP - A01-S
ADL1MU|GE0/1/2|*down|down|HUAWEI, GigabitEthernet0/1/2 Inte
ADL1MU|GE0/1/3|down|down|HUAWEI, GigabitEthernet0/1/3 Inte
ADL1MU|GE0/1/4|down|down|HUAWEI, GigabitEthernet0/1/4 Inte
ADL1MU|GE0/1/5|down|down|HUAWEI, GigabitEthernet0/1/5 Inte
ADL1MU|GE0/1/6|down|down|HUAWEI, GigabitEthernet0/1/6 Inte
ADL1MU|GE0/1/7|down|down|HUAWEI, GigabitEthernet0/1/7 Inte
ADL1MU|GE0/2/0|down|down|HUAWEI, GigabitEthernet0/2/0 Inte
ADL1MU|GE0/2/1|down|down|HUAWEI, GigabitEthernet0/2/1 Inte
ADL1MU|GE0/2/2|down|down|HUAWEI, GigabitEthernet0/2/2 Inte
ADL1MU|GE0/2/3|down|down|HUAWEI, GigabitEthernet0/2/3 Inte
ADL1MU|GE0/2/4|down|down|HUAWEI, GigabitEthernet0/2/4 Inte
ADL1MU|GE0/2/5|down|down|HUAWEI, GigabitEthernet0/2/5 Inte
ADL1MU|GE0/2/6|down|down|HUAWEI, GigabitEthernet0/2/6 Inte
ADL1MU|GE0/2/7|down|down|HUAWEI, GigabitEthernet0/2/7 Inte
ADL1MU|GE0/3/0|up|up|GESTION Tx – ADELIA MARIA - Lin
ADL1MU|GE0/3/1|down|down|HUAWEI, GigabitEthernet0/3/1 Inte
ADL1MU|GE0/3/2|down|down|HUAWEI, GigabitEthernet0/3/2 Inte
ADL1MU|GE0/3/3|down|down|HUAWEI, GigabitEthernet0/3/3 Inte


