shelfname|interface|portoperationalstate|protocol|info1
CLE1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
CLE1MU|GE0/1/0|up|down|CONEXION A 1LCLE01_IDU - Linea.80
CLE1MU|GE0/1/0.1219|up|up|UPLINK A RES4MU Eth-Trunk29.1219
CLE1MU|GE0/1/0.1220|up|up|UPLINK A RES4MU Eth-Trunk29.1220
CLE1MU|GE0/1/0.1235|up|up|UPLINK A RES1MB Bundle-Ether1000.
CLE1MU|GE0/1/0.1236|up|up|UPLINK A RES1MB Bundle-Ether1000.
CLE1MU|GE0/1/0.1244|up|up|UPLINK A RES1MB Bundle-Ether1000.
CLE1MU|GE0/1/0.1245|up|up|UPLINK A RES1MB Bundle-Ether1000.
CLE1MU|GE0/1/0.1246|up|up|UPLINK A RES1MB Bundle-Ether1000.
CLE1MU|GE0/1/0.1247|up|up|UPLINK A RES1MB Bundle-Ether1000.
CLE1MU|GE0/1/0.1248|up|up|UPLINK A RES1MB Bundle-Ether1000.
CLE1MU|GE0/1/0.1249|up|up|UPLINK A RES1MB Bundle-Ether1000.
CLE1MU|GE0/1/0.1250|up|up|UPLINK A RES1MB Bundle-Ether1000.
CLE1MU|GE0/1/0.1251|up|up|GESTION  - RES1MB Bundle-Ether100
CLE1MU|GE0/1/1|up|down|eNODOB COLONIA_ELISA - A17-S057 (
CLE1MU|GE0/1/1.1000|up|up|eNODOB - COLONIA_ELISA - A17-S057
CLE1MU|GE0/1/1.1001|up|up|eNODOB - COLONIA_ELISA - A17-S057
CLE1MU|GE0/1/1.1002|up|up|eNODOB - COLONIA_ELISA - A17-S057
CLE1MU|GE0/1/1.1003|up|up|NODOB - COLONIA_ELISA - A17-S057
CLE1MU|GE0/1/1.1004|up|up|NODOB - COLONIA_ELISA - A17-S057
CLE1MU|GE0/1/2|up|down|1PCLE01_IDU/01/18
CLE1MU|GE0/1/2.1000|up|up|eNODOB - CAPITAN_SOLARI - PORT ME
CLE1MU|GE0/1/2.1001|up|up|eNODOB - CAPITAN_SOLARI - PORT ME
CLE1MU|GE0/1/2.1002|up|up|eNODOB - CAPITAN_SOLARI - PORT ME
CLE1MU|GE0/1/2.1003|up|up|eNODOB - CAPITAN_SOLARI - PORT ME
CLE1MU|GE0/1/2.1004|up|up|eNODOB - CAPITAN_SOLARI - PORT ME
CLE1MU|GE0/1/2.1005|up|up|eNODOB - CAPITAN_SOLARI - PORT ME
CLE1MU|GE0/1/2.1006|up|up|eNODOB - CAPITAN_SOLARI - PORT ME
CLE1MU|GE0/1/2.1007|up|up|eNODOB - CAPITAN_SOLARI - PORT ME
CLE1MU|GE0/1/2.1008|up|up|eNODOB - CAPITAN_SOLARI - PORT ME
CLE1MU|GE0/1/2.2345|up|up|VPN PLATINUM - INTA - Ref:717272
CLE1MU|GE0/1/3|up|down|### VPN HIGH OFFICE - NUEVO BANCO
CLE1MU|GE0/1/3.1272|up|up|### VPN HIGH OFFICE - NUEVO BANCO
CLE1MU|GE0/1/4|up|down|INTEGRA - MENDOZA HECTOR FABIAN -
CLE1MU|GE0/1/4.4|up|up|INTEGRA - MENDOZA HECTOR FABIAN -
CLE1MU|GE0/1/5|down|down|HUAWEI, GigabitEthernet0/1/5 Inte
CLE1MU|GE0/1/6|down|down|HUAWEI, GigabitEthernet0/1/6 Inte
CLE1MU|GE0/1/7|up|up|HUAWEI, GigabitEthernet0/1/7 Inte
CLE1MU|GE0/2/0|down|down|HUAWEI, GigabitEthernet0/2/0 Inte
CLE1MU|GE0/2/1|down|down|HUAWEI, GigabitEthernet0/2/1 Inte
CLE1MU|GE0/2/2|down|down|HUAWEI, GigabitEthernet0/2/2 Inte
CLE1MU|GE0/2/3|down|down|HUAWEI, GigabitEthernet0/2/3 Inte
CLE1MU|GE0/2/4|down|down|HUAWEI, GigabitEthernet0/2/4 Inte
CLE1MU|GE0/2/5|down|down|HUAWEI, GigabitEthernet0/2/5 Inte
CLE1MU|GE0/2/6|down|down|HUAWEI, GigabitEthernet0/2/6 Inte
CLE1MU|GE0/2/7|down|down|HUAWEI, GigabitEthernet0/2/7 Inte
CLE1MU|GE0/3/0|down|down|HUAWEI, GigabitEthernet0/3/0 Inte
CLE1MU|GE0/3/1|down|down|HUAWEI, GigabitEthernet0/3/1 Inte
CLE1MU|GE0/3/2|down|down|HUAWEI, GigabitEthernet0/3/2 Inte
CLE1MU|GE0/3/3|down|down|HUAWEI, GigabitEthernet0/3/3 Inte


