shelfname|interface|portoperationalstate|protocol|info1
ETD1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
ETD1MU|GE0/1/0|up|down|CONEXION A 1NETD01 - Linea:700013
ETD1MU|GE0/1/0.1231|up|up|GESTION VMI3MU Eth-Trunk1.1231 -
ETD1MU|GE0/1/0.1232|up|up|UPLINK A VMI3MU Eth-Trunk1.1232 1
ETD1MU|GE0/1/0.1233|up|up|UPLINK A VMI3MU Eth-Trunk1.1233 1
ETD1MU|GE0/1/0.1234|up|up|UPLINK A VMI3MU Eth-Trunk1.1234 1
ETD1MU|GE0/1/0.1235|up|up|UPLINK A VMI3MU Eth-Trunk1.1235 1
ETD1MU|GE0/1/0.1236|up|up|UPLINK A VMI3MU Eth-Trunk1.1236 1
ETD1MU|GE0/1/0.1237|up|up|UPLINK A VMI3MU Eth-Trunk1.1237 1
ETD1MU|GE0/1/0.1238|up|up|UPLINK A VMI3MU Eth-Trunk1.1238 1
ETD1MU|GE0/1/0.1239|up|up|UPLINK A VMI3MU Eth-Trunk1.1239 1
ETD1MU|GE0/1/0.1240|up|up|UPLINK A VMI3MU Eth-Trunk1.1240 1
ETD1MU|GE0/1/1|up|down|eNODOB CHAZON - ETD1MU 0/1/1 - A0
ETD1MU|GE0/1/1.1005|up|up|eNODOB - CHAZON - ETD1MU 0/1/1 -
ETD1MU|GE0/1/1.1006|up|up|eNODOB - CHAZON - ETD1MU 0/1/1 -
ETD1MU|GE0/1/1.1007|up|up|eNODOB - CHAZON - ETD1MU 0/1/1 -
ETD1MU|GE0/1/1.1008|up|up|NODOB - CHAZON - ETD1MU 0/1/1 - A
ETD1MU|GE0/1/1.1009|up|up|NODOB - CHAZON - ETD1MU 0/1/1 - A
ETD1MU|GE0/1/2|up|down|eNODOB ETRURIA - A02-S001 (756011
ETD1MU|GE0/1/2.1000|up|up|eNODOB - ETRURIA - A02-S001 - (1)
ETD1MU|GE0/1/2.1001|up|up|eNODOB - ETRURIA - A02-S001 - (2)
ETD1MU|GE0/1/2.1002|up|up|eNODOB - ETRURIA - A02-S001 - (3)
ETD1MU|GE0/1/2.1003|up|up|NODOB - ETRURIA - A02-S001 - (1)
ETD1MU|GE0/1/2.1004|up|up|NODOB - ETRURIA - A02-S001- (1) (
ETD1MU|GE0/1/3|up|down|ACCESO ETR11D - Linea 9704961
ETD1MU|GE0/1/3.1|up|up|HSI ETR11D - Linea 9704961 - CEN2
ETD1MU|GE0/1/3.2|up|up|GHDSL ETR11D - Linea 9704961 - CE
ETD1MU|GE0/1/4|up|down|FRONTERA RE 1WETD02_IDU/06/02
ETD1MU|GE0/1/4.1000|up|up|eNODOB - A02-S067 - LA LAGUNA - (
ETD1MU|GE0/1/4.1001|up|up|eNODOB - A02-S067 - LA LAGUNA - (
ETD1MU|GE0/1/4.1002|up|up|eNODOB - A02-S067 - LA LAGUNA - (
ETD1MU|GE0/1/4.1003|up|up|eNODOB - A02-S067 - LA LAGUNA - (
ETD1MU|GE0/1/4.1004|up|up|eNODOB - A02-S067 - LA LAGUNA - (
ETD1MU|GE0/1/5|down|down|HUAWEI, GigabitEthernet0/1/5 Inte
ETD1MU|GE0/1/6|down|down|HUAWEI, GigabitEthernet0/1/6 Inte
ETD1MU|GE0/1/7|down|down|HUAWEI, GigabitEthernet0/1/7 Inte
ETD1MU|GE0/2/0|down|down|HUAWEI, GigabitEthernet0/2/0 Inte
ETD1MU|GE0/2/1|down|down|HUAWEI, GigabitEthernet0/2/1 Inte
ETD1MU|GE0/2/2|down|down|HUAWEI, GigabitEthernet0/2/2 Inte
ETD1MU|GE0/2/3|down|down|HUAWEI, GigabitEthernet0/2/3 Inte
ETD1MU|GE0/2/4|down|down|HUAWEI, GigabitEthernet0/2/4 Inte
ETD1MU|GE0/2/5|down|down|HUAWEI, GigabitEthernet0/2/5 Inte
ETD1MU|GE0/2/6|down|down|HUAWEI, GigabitEthernet0/2/6 Inte
ETD1MU|GE0/2/7|down|down|HUAWEI, GigabitEthernet0/2/7 Inte
ETD1MU|GE0/3/0|down|down|HUAWEI, GigabitEthernet0/3/0 Inte
ETD1MU|GE0/3/1|down|down|HUAWEI, GigabitEthernet0/3/1 Inte
ETD1MU|GE0/3/2|down|down|HUAWEI, GigabitEthernet0/3/2 Inte
ETD1MU|GE0/3/3|down|down|HUAWEI, GigabitEthernet0/3/3 Inte


