shelfname|interface|portoperationalstate|protocol|info1
JUG2MU|Eth-Trunk1|up|down|LAG PTN ALU 18SJU01 18/02-19/01
JUG2MU|Eth-Trunk1.1020|*down|down|GESTION TX REIP SAN JUAN HIPODROMO - Linea 70001810
JUG2MU|Eth-Trunk1.1023138|up|up|NODOB - SAN_JUAN_VILLA_SAN_MARTIN A34-J059 (1) (518399) - 3G
JUG2MU|Eth-Trunk1.1023188|up|up|NODOB - SAN_JUAN_VILLA_SAN_MARTIN A34-J059 (2) (518399) - GOMRAN
JUG2MU|Eth-Trunk1.10221000|up|up|eNODOB - ESTACION_DESAMPARADOS - Eth-Trunk1 - A34-J066 (1) (690010) - S1
JUG2MU|Eth-Trunk1.10221001|up|up|eNODOB - ESTACION_DESAMPARADOS - Eth-Trunk1 - A34-J066 (2) (690010) - S1MME
JUG2MU|Eth-Trunk1.10221002|up|up|eNODOB - ESTACION_DESAMPARADOS - Eth-Trunk1 - A34-J066 (3) (690010) - GOMRAN
JUG2MU|Eth-Trunk1.10221003|up|up|NODOB - SAN_JUAN_ESTACION_DESAMPARADOS - Eth-Trunk1 - A34-J066 - (1) (695812) - 3G
JUG2MU|Eth-Trunk1.10221004|up|up|NODOB - SAN_JUAN_ESTACIN_DESAMPARADOS - Eth-Trunk1 - A34-J066 - (1) (695770) - 2G
JUG2MU|Eth-Trunk1.10231036|up|up|eNODOB - SAN_JUAN_VILLA_SAN_MARTIN A34-J059 (1) (449686) - S1
JUG2MU|Eth-Trunk1.10231037|up|up|eNODOB - SAN_JUAN_VILLA_SAN_MARTIN A34-J059 (2) (449686) - S1MME
JUG2MU|Eth-Trunk1.10231038|up|up|eNODOB - SAN_JUAN_VILLA_SAN_MARTIN A34-J059 (3) (449686) - GOMRAN
JUG2MU|Eth-Trunk1.10241000|up|up|eNODOB - CARPINTERIA - JUG2MU  - A34-J046 - (1) (439786) - S1
JUG2MU|Eth-Trunk1.10241001|up|up|eNODOB - CARPINTERIA - JUG2MU  - A34-J046 - (2) (439786) - S1MME
JUG2MU|Eth-Trunk1.10241002|up|up|NODOB - CARPINTERIA - Eth-Trunk1 - A34-J046 - (2) (694229) - GOMRAN
JUG2MU|Eth-Trunk1.10241003|up|up|NODOB - CARPINTERIA - Eth-Trunk1 - A34-J046 - (1) (694229) - 3G
JUG2MU|Eth-Trunk1.10241004|up|up|NODOB - CARPINTERIA - JUG2MU  - A34-J046 - (1) (752850) - 2G
JUG2MU|Eth-Trunk1.10251004|up|up|NODOB - SAN_JUAN_RAWSON_V.S.DAMIAN - Eth-Trunk1 - A34-J088 - (1) (695769) - 2G
JUG2MU|Eth-Trunk1.10261000|up|up|eNODOB - SAN_JUAN_GOMEZ - JUG2MU Eth-Trunk1 - A34-J048 - (1) (430435) - S1
JUG2MU|Eth-Trunk1.10261001|up|up|eNODOB - SAN_JUAN_GOMEZ - JUG2MU Eth-Trunk1 - A34-J048 - (2) (430435) - S1MME
JUG2MU|Eth-Trunk1.10261002|up|up|eNODOB - SAN_JUAN_GOMEZ - JUG2MU Eth-Trunk1 - A34-J048 - (3) (430435) - GOMRAN
JUG2MU|Eth-Trunk1.10261003|up|up|NODOB - SAN_JUAN_GOMEZ - JUG2MU Eth-Trunk1 - A34-J048 - (1) (509448) - 3G
JUG2MU|Eth-Trunk1.10261004|up|up|NODOB - SAN_JUAN_GOMEZ - JUG2MU Eth-Trunk1 - A34-J048 - (1) (695707) - 2G
JUG2MU|Eth-Trunk1.10271000|up|up|eNODOB - RAWSON_VILLA_DON_PABLO - Eth-Trunk1 - A34-J071 - (1) (449684) - S1
JUG2MU|Eth-Trunk1.10271001|up|up|eNODOB - RAWSON_VILLA_DON_PABLO - Eth-Trunk1 - A34-J071 - (2) (449684) - S1MME
JUG2MU|Eth-Trunk1.10271002|up|up|eNODOB - RAWSON_VILLA_DON_PABLO - Eth-Trunk1 - A34-J071 - (3) (449684) - GOMRAN
