shelfname|interface|portoperationalstate|protocol|info1
MEZ4MU|100GE2/0/0|up|up|Enlace 100G DWDM CEN1NA_G0/15/0/6 Linea:70001831 - UPLINK NA
MEZ4MU|100GE4/0/0|up|up|Enlace 100G FO MEZ5MU_G5/0/0 Linea:13007420 - UPLINK MU
MEZ4MU|100GE7/0/0|up|up|Enlace 100G DWDM IRD1NA_G0/15/0/7 Linea:70001832 - UPLINK NA
MEZ4MU|Eth-Trunk1|up|up|ENLACE-M 20G B2B A MEZ3MU Eth-Trunk11 - Level2 - NO TOCAR
MEZ4MU|Eth-Trunk10|up|down|ACCESO SEGURIZADO MINIUMG MEZB-MEZX
MEZ4MU|Eth-Trunk10.2|up|up|SIGN. MINIUMG MEZB-MEZX MENDOZA
MEZ4MU|Eth-Trunk10.3|up|up|RTP MINIUMG MEZB-MEZX MENDOZA
MEZ4MU|Eth-Trunk10.5|up|up|GESTION MINIUMG MEZB-MEZX MENDOZA
MEZ4MU|Eth-Trunk13|down|down|LAG BSCMDZ4 - A_UP/A_CP
MEZ4MU|Eth-Trunk14|down|down|LAG BSCMDZ4 - Gb
MEZ4MU|Eth-Trunk15|down|down|LAG BSCMDZ4 - Abis_A
MEZ4MU|Eth-Trunk16|down|down|LAG BSCMDZ4 - Abis_B
MEZ4MU|Eth-Trunk17|down|down|LAG BSCMDZ4 - Abis_C
MEZ4MU|Eth-Trunk19|down|down|A MDZRNC05 - IuPS-CP / IuPS-UP A
MEZ4MU|Eth-Trunk20|down|down|A MDZRNC05 - IuPS-CP / IuPS-UP B
MEZ4MU|Eth-Trunk21|down|down|A MDZRNC05 - IuPS-CP / IuPS-UP C
MEZ4MU|Eth-Trunk22|down|down|A MDZRNC05 - IuCS-CP / IuCS-UP / Iur-CP / IuCS-UP
MEZ4MU|Eth-Trunk23|down|down|A MDZRNC05 - Iub-3G_A
MEZ4MU|Eth-Trunk24|down|down|A MDZRNC05 - Iub-3G_B
MEZ4MU|Eth-Trunk25|down|down|A MDZRNC05 - Iub-3G_C
MEZ4MU|Eth-Trunk26|down|down|A MDZRNC05 - Iub-3G_D
MEZ4MU|Eth-Trunk28|down|down|MDZRNC04 - BACKUP (IUPS-UP A IUPS-CP A)
MEZ4MU|Eth-Trunk29|down|down|MDZRNC04 - BACKUP (IUPS-UP B IUPS-CP B)
MEZ4MU|Eth-Trunk30|down|down|MDZRNC04 - BACKUP (IUPS-UP B IUPS-CP C)
MEZ4MU|Eth-Trunk31|down|down|MDZRNC04 - BACKUP (IUCS-UP  IUCS-CP IUR)
MEZ4MU|Eth-Trunk32|down|down|MDZRNC04 - BACKUP (iub3GA)
MEZ4MU|Eth-Trunk33|down|down|MDZRNC04 - BACKUP (iub3GB)
MEZ4MU|Eth-Trunk34|down|down|MDZRNC04 - BACKUP (iub3GC)
MEZ4MU|Eth-Trunk35|down|down|MDZRNC04 - BACKUP (iub3GD)
MEZ4MU|Eth-Trunk50|up|down|ENLACE-M 40G B2B A MZA1LSUP Eth-Trunk9 (agrupa GE4/0/5 GE5/0/1 GE5/0/6 GE5/0/9) - SHELF2 - UPLINK MOVIL-Etch
MEZ4MU|Eth-Trunk50.2|up|up|CONEXION-M A MZA1LSUP Eth9.2 - GESTION
MEZ4MU|Eth-Trunk50.11|up|up|CONEXION-M A MZA1LSUP Eth9.11 - VOZ
MEZ4MU|Eth-Trunk50.17|up|up|CONEXION-M A MZA1LSUP Eth9.17 - INTERNET
MEZ4MU|Eth-Trunk50.18|up|up|CONEXION-M A MZA1LSUP Eth9.18 - NAT
MEZ4MU|Eth-Trunk50.19|up|up|CONEXION-M A MZA1LSUP Eth9.19 - APROXY
MEZ4MU|Eth-Trunk50.20|up|up|CONEXION-M A MZA1LSUP Eth9.20 - IMSSUR
