shelfname|interface|portoperationalstate|protocol|info1
OBE3MU|100GE3/0/0|up|up|Enlace 100G DWDM RES1NA_G0/16/0/7 Linea:11004733 - UPLINK NA
OBE3MU|100GE5/0/0|up|up|Enlace 100G DWDM CTE1NA_G0/18/0/2 Linea:11004732 - UPLINK NA
OBE3MU|Eth-Trunk1|down|down|LAG PTN HWI 55OBE01_G5/2-G6/2
OBE3MU|Eth-Trunk1.1799|*down|down|
OBE3MU|Eth-Trunk1.1821000|*down|down|eNODOB - ARISTOBULO_DEL_VALLE - PORT METRO - A18-S006 - (1) (439961) - S1
OBE3MU|Eth-Trunk1.1821001|*down|down|eNODOB - ARISTOBULO_DEL_VALLE - PORT METRO - A18-S006 - (2) (439961) - S1MME
OBE3MU|Eth-Trunk1.1821002|*down|down|eNODOB - ARISTOBULO_DEL_VALLE - PORT METRO - A18-S006 - (3) (439961) - GOMRAN
OBE3MU|Eth-Trunk1.1821003|*down|down|eNODOB - ARISTOBULO_DEL_VALLE - PORT METRO - A18-S006 - (1) (526956) - 3G
OBE3MU|Eth-Trunk1.1821004|*down|down|eNODOB - ARISTOBULO_DEL_VALLE - PORT METRO - A18-S006 - (1) (526931) - 2G
OBE3MU|Eth-Trunk1.1841000|*down|down|eNODOB - ARISTOBULO_DEL_VALLE_ACCESO_RUTA_14 - PORT METRO - A18-S097 - (1) (439901) - S1
OBE3MU|Eth-Trunk1.1841001|*down|down|eNODOB - ARISTOBULO_DEL_VALLE_ACCESO_RUTA_14 - PORT METRO - A18-S097 - (2) (439901) - S1MME
OBE3MU|Eth-Trunk1.1841002|*down|down|eNODOB - ARISTOBULO_DEL_VALLE_ACCESO_RUTA_14 - PORT METRO - A18-S097 - (3) (439901) - GOMRAN
OBE3MU|Eth-Trunk1.1841003|*down|down|eNODOB - ARISTOBULO_DEL_VALLE_ACCESO_RUTA_14 - PORT METRO - A18-S097 - (1) (526953) - 3G
OBE3MU|Eth-Trunk1.1841004|*down|down|eNODOB - ARISTOBULO_DEL_VALLE_ACCESO_RUTA_14 - PORT METRO - A18-S097 - (1) (526981) - 2G
OBE3MU|Eth-Trunk2|down|down|LAG PTN HWI 55OBE01_G5/3-G6/3
OBE3MU|Eth-Trunk3|down|down|LAG_55OBE01_G9/1-G10/1
OBE3MU|Eth-Trunk3.13010002|*down|down|INTEGRA - DIEGO GARAY - REF:871341  LIN:2818335
OBE3MU|Eth-Trunk4|up|down|Eth-Trunk-TIPCOOBERA_Linea:5623118-2836214_REF:355718
OBE3MU|Eth-Trunk4.4|up|up|Eth-Trunk-TIPCOOBERA_Linea:5623118-2836214_REF:355718
OBE3MU|Eth-Trunk4.5|up|up|L2L_TIPTRANSAMERICANLOP(2836214)REFE:355718_Gestion
OBE3MU|Eth-Trunk5|up|down|LAG PTN HWI 98OBE01_G2/4-G13/3
OBE3MU|Eth-Trunk5.1202|up|up|Gestion ATN910I SAN_JAVIER - SAJ1MS - Linea 80002541 - 1QSAJ01_IDU
OBE3MU|Eth-Trunk5.1223|up|up|A ATN950B 25_DE_MAYO - VEB1MU Gi0/1/0 - Linea 80002208  - UPLINK - DCN GESTION
OBE3MU|Eth-Trunk5.1224|up|up|A ATN950B 25_DE_MAYO - VEB1MU Gi0/1/0 - Linea 80002208  - UPLINK - GESTION SDH
OBE3MU|Eth-Trunk5.1225|up|up|A ATN950B 25_DE_MAYO - VEB1MU Gi0/1/0 - Linea 80002208  - UPLINK - NGN
OBE3MU|Eth-Trunk5.1226|up|up|A ATN950B 25_DE_MAYO - VEB1MU Gi0/1/0 - Linea 80002208  - UPLINK - SSPOPUSA
OBE3MU|Eth-Trunk5.1227|up|up|A ATN950B 25_DE_MAYO - VEB1MU Gi0/1/0 - Linea 80002208  - UPLINK - GOMRAN
OBE3MU|Eth-Trunk5.1228|up|up|A ATN950B 25_DE_MAYO - VEB1MU Gi0/1/0 - Linea 80002208  - UPLINK - S1MME
OBE3MU|Eth-Trunk5.1229|up|up|A ATN950B 25_DE_MAYO - VEB1MU Gi0/1/0 - Linea 80002208 - UPLINK - S1
OBE3MU|Eth-Trunk5.1230|up|up|A ATN950B 25_DE_MAYO - VEB1MU Gi0/1/0 - Linea 80002208  - UPLINK - 3G
OBE3MU|Eth-Trunk5.1231|up|up|A ATN950B 25_DE_MAYO - VEB1MU Gi0/1/0 - Linea 80002208  - UPLINK - 2G
OBE3MU|Eth-Trunk5.1232|up|up|Gestion ATN950B 25_DE_MAYO_REP - VEB1MU - Linea 80002208 - DWVEB01 19/1
OBE3MU|Eth-Trunk5.1234|up|up|A ATN950B MOJON_GRANDE - MOJ1MU Gi0/1/0 - Linea 80002209  - UPLINK - DCN GESTION
OBE3MU|Eth-Trunk5.1235|up|up|A ATN950B MOJON_GRANDE - MOJ1MU Gi0/1/0 - Linea 80002209  - UPLINK - GESTION SDH
OBE3MU|Eth-Trunk5.1236|up|up|A ATN950B MOJON_GRANDE - MOJ1MU Gi0/1/0 - Linea 80002209  - UPLINK - NGN
OBE3MU|Eth-Trunk5.1237|up|up|A ATN950B MOJON_GRANDE - MOJ1MU Gi0/1/0 - Linea 80002209  - UPLINK - SSPOPUSA
OBE3MU|Eth-Trunk5.1238|up|up|A ATN950B MOJON_GRANDE - MOJ1MU Gi0/1/0 - Linea 80002209  - UPLINK - GOMRAN
OBE3MU|Eth-Trunk5.1239|up|up|A ATN950B MOJON_GRANDE - MOJ1MU Gi0/1/0 - Linea 80002209  - UPLINK - S1MME
OBE3MU|Eth-Trunk5.1240|up|up|A ATN950B MOJON_GRANDE - MOJ1MU Gi0/1/0 - Linea 80002209 - UPLINK - S1
OBE3MU|Eth-Trunk5.1241|up|up|A ATN950B MOJON_GRANDE - MOJ1MU Gi0/1/0 - Linea 80002209  - UPLINK - 3G
OBE3MU|Eth-Trunk5.1242|up|up|A ATN950B MOJON_GRANDE - MOJ1MU Gi0/1/0 - Linea 80002209  - UPLINK - 2G
OBE3MU|Eth-Trunk5.1243|up|up|Gestion ATN950B MOJON_GRANDE - MOJ1MU - Linea 80002209 - DWMOJ01 19/1
OBE3MU|Eth-Trunk5.1244|up|up|A ATN950B 25_DE_MAYO - VEB1MU Gi0/1/0 - Linea 80002208 - UPLINK - S1 RS_MOVISTAR
OBE3MU|Eth-Trunk5.2001|up|up|L2L_L2LORANGELEN(2819368)REFE:711869_Ges.TECO
OBE3MU|Eth-Trunk5.2077|*down|down|TIP_TIPCLIPOTENCIALSRI(2833695)REFE:737166_Ges.TECO
OBE3MU|Eth-Trunk5.11102|up|up|LAN TO LAN - RELEVAMIENTOS Y AUDITORIAS FISCALES SA - REF: 914925 - LINEA: 2769307 - ACC: LENT1
OBE3MU|Eth-Trunk5.12573|up|up|HSI NBGG - CTE1MB
OBE3MU|Eth-Trunk5.13102|up|up|INTEGRA - LA CACHUERA SA - REF: 947940 - LINEA: 2869867 - ACC: 55ARV01-03-GE_05
OBE3MU|Eth-Trunk5.13616|up|up|HSI ARVG01 ARISTOBULO DEL VALLE MISIONES - LINEA 11005321
OBE3MU|Eth-Trunk5.13618|up|up|HSI CGRG01 CAMPO GRANDE MISIONES - LINEA 11005323
OBE3MU|Eth-Trunk5.13620|up|up|HSI CVIG01 CAMPO VIERA MISIONES - LINEA 11005325
OBE3MU|Eth-Trunk5.20022|up|up|LAN TO LAN - RELEVAMIENTOS Y AUDITORIAS FISCALES SA - REF: 914924 - LINEA: 2867846 - ACC: 55ARV01
OBE3MU|Eth-Trunk5.20023|up|up|GESTION LAN TO LAN - RELEVAMIENTOS Y AUDITORIAS FISCALES SA - REF: 914924 - LINEA: 2867846 - ACC: 55ARV01
OBE3MU|Eth-Trunk5.36222|up|up|SIGN. MA5616 VIBG01 VILLA BONITA MISIONES - LINEA 11001985
OBE3MU|Eth-Trunk5.36223|up|up|RTP MA5616 VIBG01 VILLA BONITA MISIONES - LINEA 11001985
OBE3MU|Eth-Trunk5.36224|up|up|GESTION MA5616 VIBG01 VILLA BONITA MISIONES - LINEA 11001985
OBE3MU|Eth-Trunk5.142130|up|up|GESTION TX REIP Leandro N Alem - Cerro Azul - Linea: 80000416
OBE3MU|Eth-Trunk5.200120|up|up|TIP - ORANGE - REF: 939358 - LINEA: 2867929 - ACC: 55LEN01/03/GE_01
OBE3MU|Eth-Trunk5.320463|up|up|[RTP][SIGN] JCPG01 HUA 5000 [NGN]
OBE3MU|Eth-Trunk5.320464|up|up|[GESTION][IPMB] JCPG01 HUA 5000 [NGN]
OBE3MU|Eth-Trunk5.320465|up|up|[GESTION][PVM] JCPG01 HUA 5000 [NGN]
OBE3MU|Eth-Trunk5.324003|up|up|[RTP][SIGN] CAZG01 HUA 5000 [NGN]
OBE3MU|Eth-Trunk5.324004|up|up|[GESTION][IPMB] CAZG01 HUA 5000 [NGN]
OBE3MU|Eth-Trunk5.324005|up|up|[GESTION][PVM] CAZG01 HUA 5000 [NGN]
OBE3MU|Eth-Trunk5.325733|up|up|[RTP][SIGN] NBGG01 HUA 5000 [NGN]
OBE3MU|Eth-Trunk5.325734|up|up|GESTION UA5000 NBGG BARRIO BELGRANO - LINEA 9703828
OBE3MU|Eth-Trunk5.325735|up|up|GESTION UA5000 NBGG BARRIO BELGRANO - LINEA 9703828
OBE3MU|Eth-Trunk5.336162|up|up|SIGN NGN ARVG01 ARISTOBULO DEL VALLE MISIONES - LINEA 11005321
OBE3MU|Eth-Trunk5.336163|up|up|RTP NGN ARVG01 ARISTOBULO DEL VALLE MISIONES - LINEA 11005321
OBE3MU|Eth-Trunk5.336164|up|up|GESTION IPMB ARVG01 ARISTOBULO DEL VALLE MISIONES - LINEA 11005321
