shelfname|interface|portoperationalstate|protocol|info1
OMB2MU|GE0/0/0|down|down|
OMB2MU|GE1/0/0(10G)|up|up|Enlace 10G FO ESH1MB_Te0/0/0/12 Linea: 15004385 - UPLINK MSBNG
OMB2MU|GE1/0/1(10G)|up|up|Enlace 10G DWDM LOP1MB_G0/0/0/17 Linea:15008209 - UPLINK MSBNG
OMB2MU|GE1/1/0|down|down|INTEGRA -ERSA URBANO S.A. - Ref.581371 - Linea.2767530
OMB2MU|GE1/1/0.2|down|down|INTEGRA - ERSA URBANO S.A. - REF: .581371 - LINEA: 2767530 - ACC: OMB2MU 1/1/0
OMB2MU|GE1/1/1|down|down|TOTAL ESPECIALIDADES ARGENTINA SA - INTEGRA REF:230299 L:2706991 + INTEGRA R:175422 + VPN R:230299
OMB2MU|GE1/1/1.2|down|down|INTEGRA - TOTAL ESPECIALIDADES ARGENTINA SA - REF:230299 - LINEA:2706991
OMB2MU|GE1/1/1.3|down|down|INTEGRA - TOTAL ESPECIALIDADES ARGENTINA SA - REF:175422 - LINEA:2597001
OMB2MU|GE1/1/1.10|down|down|VPN - TOTAL ESPECIALIDADES ARGENTINA SA - REF:230299 - LINEA:2706991
OMB2MU|GE1/1/2|down|down|
OMB2MU|GE1/1/2.374|down|down|
OMB2MU|GE1/1/3|up|down|L2L_INTEGRA_VPN PLATINUM - ITURAN ROAD TRACK ARG SA - REF:902275_671208_710502 - LINEA: 2814178_2864300
OMB2MU|GE1/1/3.4|up|up|L2L - ITURAN ARG SA - REF:902275 LIN:2864300
OMB2MU|GE1/1/3.11|up|up|INTEGRA - ITURAN ROAD TRACK ARGENTINA S.A. - REF: 671208 - LINEA: 2814178
OMB2MU|GE1/1/3.51|up|up|VPN PLATINUM - ITURAN ROAD TRACK ARG SA - REF: 710502 - LINEA: 2814178 - ACC: OMB2MU 1/1/3 ##CAMINO 1##
OMB2MU|GE1/1/4|up|down|ACCESO VY5G01 VILLA MARTELLI BS AS - LINEA 15003339
OMB2MU|GE1/1/4.2|up|up|[SIGN] VY5G01 HUA 5600_T [NGN]
OMB2MU|GE1/1/4.3|up|up|[RTP] VY5G01 HUA 5600_T [NGN]
OMB2MU|GE1/1/4.4|up|up|[GESTION] VY5G01 HUA 5600_T [NGN]
OMB2MU|GE1/1/4.5|up|up|HSI VY5G01 - ESH1MB
OMB2MU|GE1/1/5|up|down|ACCESO VY9G01 VILLA MARTELLI BS AS - LINEA 15003341
OMB2MU|GE1/1/5.2|up|up|[SIGN] VY9G01 HUA 5600_T [NGN]
OMB2MU|GE1/1/5.3|up|up|[RTP] VY9G01 HUA 5600_T [NGN]
OMB2MU|GE1/1/5.4|up|up|[GESTION] VY9G01 HUA 5600_T [NGN]
OMB2MU|GE1/1/5.5|up|up|HSI VY9G01 - ESH1MB
OMB2MU|GE1/1/6|up|down|NGN+ADSL - 5600T VY8G01 LAVALLE L15003984
OMB2MU|GE1/1/6.1|up|up|HSI VY8G01 - ESH1MB
OMB2MU|GE1/1/6.2|up|up|[SIGN] VY8G01 HUA 5600_T [NGN]
OMB2MU|GE1/1/6.3|up|up|[RTP] VY8G01 HUA 5600_T [NGN]
OMB2MU|GE1/1/6.4|up|up|[GESTION] VY8G01 HUA 5600_T [NGN]
OMB2MU|GE1/1/7|up|down|COTO - Ref:679123 - Lin:2814449
OMB2MU|GE1/1/7.41|up|up|VPN Platinum - COTO - Ref:679123 - Lin:2814449 - Acc: OMB2MU - 1/1/7.41
OMB2MU|GE1/1/8|up|down|ACCESO - NGN+ADSL OM8H01 Villa Martelli BSAS 15005274
OMB2MU|GE1/1/8.2|up|up|[SIGN] OM8H01 HUA 5600_T [NGN]
OMB2MU|GE1/1/8.3|up|up|[RTP] OM8H01 HUA 5600_T [NGN]
OMB2MU|GE1/1/8.4|up|up|[GESTION] OM8H01 HUA 5600_T [NGN]
OMB2MU|GE1/1/8.100013|up|up|HSI OM8H01 - ESH1MB
OMB2MU|GE1/1/9|up|down|LAN-TO-LAN- LABORATORIOS HIDALGO S.A. - Ref: 710685 - ACC:LOP1MB 0/1/0/23
OMB2MU|GE1/1/9.2|up|up|LAN-TO-LAN- LABORATORIOS HIDALGO S.A. - Ref: 710685 - ACC:LOP1MB 0/1/0/23.45
OMB2MU|GE1/1/10|up|down|ADSL 1NA11C - 15003013
OMB2MU|GE1/1/10.15|up|up|HSI 1NA11C - LOP1MB
OMB2MU|GE1/1/11|up|down|ADSL 1NC11C - 15003014
OMB2MU|GE1/1/11.16|up|up|HSI 1NC11C - ESH1MB
OMB2MU|GE1/1/12|up|down|ADSL 1ND11C - 15003015
OMB2MU|GE1/1/12.17|up|up|HSI 1ND11C - ESH1MB
OMB2MU|GE1/1/13|up|down|ADSL 1NE11C - 15003016
OMB2MU|GE1/1/13.18|up|up|HSI 1NE11C - ESH1MB
OMB2MU|GE1/1/14|up|down|ADSL 1NF11C - 15003017
OMB2MU|GE1/1/14.19|up|up|HSI 1NF11C - ESH1MB
OMB2MU|GE1/1/15|down|down|DDE IP - FV S A - REF: 941620 - LINEA: 2869602 - ACC: 1/1/15
OMB2MU|GE1/1/15.15|down|down|DDE IP - FV S A - REF: 941620 - LINEA: 2869602 - ACC: 1/1/15
OMB2MU|GE1/1/16|up|down|ADSL 1NI11C - 15003020
OMB2MU|GE1/1/16.21|up|up|HSI 1NI11C - ESH1MB
OMB2MU|GE1/1/17|up|down|ADSL 1NJ11C - 15003021
OMB2MU|GE1/1/17.22|up|up|HSI 1NJ11C - ESH1MB
OMB2MU|GE1/1/18|up|down|ADSL 1NK11C - 15003022
OMB2MU|GE1/1/18.23|up|up|HSI 1NK11C - ESH1MB
OMB2MU|GE1/1/19|up|down|ADSL 1NL11C - 15003023
OMB2MU|GE1/1/19.24|up|up|HSI 1NL11C - ESH1MB
OMB2MU|GE1/1/20|up|down|ADSL 1NM11C - 15003024
OMB2MU|GE1/1/20.25|up|up|HSI 1NM11C - ESH1MB
OMB2MU|GE1/1/21|up|down|ADSL 1NN11C - 15003025
OMB2MU|GE1/1/21.26|up|up|HSI 1NN11C - ESH1MB
OMB2MU|GE1/1/22|up|down|### Integra - GRUPO BASICOS S.A - ref:722127 - Lin:2827844 ###
OMB2MU|GE1/1/22.10|up|up|### Integra - GRUPO BASICOS S.A - ref:722127 - Lin:2827844 ###
OMB2MU|GE1/1/23|down|down|
OMB2MU|GE3/0/0(10G)|down|down|
OMB2MU|GE3/0/1(10G)|down|down|
OMB2MU|GE3/0/2(10G)|down|down|
OMB2MU|GE3/0/3(10G)|down|down|
OMB2MU|GE3/0/4(10G)|down|down|
OMB2MU|GE3/0/5(10G)|down|down|
OMB2MU|GE3/0/6(10G)|down|down|
OMB2MU|GE3/0/7(10G)|down|down|
OMB2MU|GE3/0/8(10G)|down|down|
OMB2MU|GE3/0/9(10G)|down|down|
OMB2MU|GE4/0/0(100M)|up|up|Gestion Central OMB30.Lin_15006288
OMB2MU|GE4/0/1|*down|down|VPN PLATINUM - NU SKIN ARGENTINA INC SUCURSAL ARGENTINA - REF:742072 LIN:2839086
OMB2MU|GE4/0/1.95|down|down|VPN PLATINUM - NU SKIN ARGENTINA INC SUCURSAL ARGENTINA - REF:742072 LIN:2839086
OMB2MU|GE4/0/2|down|down|NGN - MA5616 OM7H0101 - L15006189
OMB2MU|GE4/0/2.2|down|down|SIGNALING NGN - MA5616 OM7H01  L 15006189
OMB2MU|GE4/0/2.3|down|down|RTP NGN - MA5616 OM7H01 - L 15006189
OMB2MU|GE4/0/2.4|down|down|GESTION IPMB MA5616 OM7H01 - 15006189
OMB2MU|GE4/0/2.67|down|down|HSI MA5616 OM7H01 - L 15006189
OMB2MU|GE4/0/3|up|down|eNODOB ACE_FLORIDA - NPU052 (434638) NODOB (436421) (436423)
OMB2MU|GE4/0/3.1073|up|up|eNODOB - ACE_FLORIDA - NPU052 - (1) (434638) - S1
OMB2MU|GE4/0/3.1074|up|up|eNODOB - ACE_FLORIDA - NPU052 - (2) (434638) - S1MME
OMB2MU|GE4/0/3.1075|up|up|eNODOB - ACE_FLORIDA - NPU052 - (3) (434638) - GOMRAN
OMB2MU|GE4/0/3.1076|up|up|NODOB - ACE_FLORIDA - NPU052 - (1) (436421) - 3G
OMB2MU|GE4/0/3.1077|up|up|NODOB - ACE_FLORIDA - NPU052- (1) (436423) - 2G
OMB2MU|GE4/0/4|up|down|eNODOB PADILLA_NORTE - NPU232 (434654) NODOB (436662) (436663)
