shelfname|interface|portoperationalstate|protocol|info1
PLR3MU|GE0/0/0|down|down|
PLR3MU|GE1/0/0(10G)|up|up|Enlace 10G DWDM CLI1MB_G0/0/0/3 Linea:15004117 - UPLINK MSBNG (32PLR01_1/17/1)
PLR3MU|GE1/0/1(10G)|down|down|GCBA (JJOO 2018) - VPN Refe 771753 - L2L Refe 771752 - 10G IBC - #4003vta 131y132
PLR3MU|GE1/1/0(100M)|up|up|CONEXION a  Central PLR32- Linea: 15005908
PLR3MU|GE1/1/1|*down|down|INTEGRA - COVER SALUD S.A. - Ref.667468 - Linea.2808450
PLR3MU|GE1/1/1.2|down|down|INTEGRA - COVER SALUD S.A. - Ref.667468 - Linea.2808450
PLR3MU|GE1/1/2|down|down|
PLR3MU|GE1/1/2.11|down|down|
PLR3MU|GE1/1/3|up|down|eNODOB GURRUCHAGA CPU445 (644360) NODOB (644362) (644371)
PLR3MU|GE1/1/3.1000|up|up|eNODOB GURRUCHAGA CPU445 (1) (644360) - S1
PLR3MU|GE1/1/3.1001|up|up|eNODOB GURRUCHAGA CPU445 (2) (644360) - S1MME
PLR3MU|GE1/1/3.1002|up|up|eNODOB GURRUCHAGA CPU445 (3) (644360) - GOMRAN
PLR3MU|GE1/1/3.1003|up|up|NODOB GURRUCHAGA CPU445 (5703013) (644362) - 3G
PLR3MU|GE1/1/3.1004|up|up|NODOB GURRUCHAGA CPU445 (5703015) (644371) - 2G
PLR3MU|GE1/1/4|up|down|
PLR3MU|GE1/1/5|*down|down|
PLR3MU|GE1/1/6|up|down|[ACCESO HSI][VI] P7L11C 15001378
PLR3MU|GE1/1/6.2101|up|up|[GESTION] P7L11C ECI HIFS [VDS2]
PLR3MU|GE1/1/6.3101|up|up|[TOIP] P7L11C ECI HIFS [VDS2]
PLR3MU|GE1/1/6.4101|up|up|[DATOS] P7L11C ECI HIFS [VDS2][L2]
PLR3MU|GE1/1/7|up|down|[ACCESO HSI][VI] P7Q11C 15001379
PLR3MU|GE1/1/7.2101|up|up|[GESTION] P7Q11C ECI HIFS [VDS2]
PLR3MU|GE1/1/7.3101|up|up|[TOIP] P7Q11C ECI HIFS [VDS2]
PLR3MU|GE1/1/7.4101|up|up|[DATOS] P7Q11C ECI HIFS [VDS2][L2]
PLR3MU|GE1/1/8|up|down|[ACCESO HSI][VI] P7N11C 15001380
PLR3MU|GE1/1/8.2101|up|up|[GESTION] P7N11C ECI HIFS [VDS2]
PLR3MU|GE1/1/8.3101|up|up|[TOIP] P7N11C ECI HIFS [VDS2]
PLR3MU|GE1/1/8.4101|up|up|[DATOS] P7N11C ECI HIFS [VDS2][L2]
PLR3MU|GE1/1/9|up|down|[ACCESO HSI][VI] 3MG11C 15002142
PLR3MU|GE1/1/9.2101|up|up|[GESTION] 3MG11C ECI HIFS [VDS2]
PLR3MU|GE1/1/9.3101|up|up|[TOIP] 3MG11C ECI HIFS [VDS2]
PLR3MU|GE1/1/9.4101|up|up|[DATOS] 3MG11C ECI HIFS [VDS2][L2]
PLR3MU|GE1/1/10|up|down|[ACCESO HSI][VI] 3MH11C 15002143
PLR3MU|GE1/1/10.2101|up|up|[GESTION] 3MH11C ECI HIFS [VDS2]
PLR3MU|GE1/1/10.3101|up|up|[TOIP] 3MH11C ECI HIFS [VDS2]
PLR3MU|GE1/1/10.4101|up|up|[DATOS] 3MH11C ECI HIFS [VDS2][L2]
PLR3MU|GE1/1/11|up|down|[ACCESO HSI][VI] 3MI11C 15002144
PLR3MU|GE1/1/11.2101|up|up|[GESTION] 3MI11C ECI HIFS [VDS2]
PLR3MU|GE1/1/11.3101|up|up|[TOIP] 3MI11C ECI HIFS [VDS2]
PLR3MU|GE1/1/11.4101|up|up|[DATOS] 3MI11C ECI HIFS [VDS2][L2]
PLR3MU|GE1/1/12|up|down|
PLR3MU|GE1/1/13|up|down|[ACCESO HSI][VI] 3MJ11C 15002145
PLR3MU|GE1/1/13.2101|up|up|[GESTION] 3MJ11C ECI HIFS [VDS2]
PLR3MU|GE1/1/13.3101|up|up|[TOIP] 3MJ11C ECI HIFS [VDS2]
PLR3MU|GE1/1/13.4101|up|up|[DATOS] 3MJ11C ECI HIFS [VDS2][L2]
PLR3MU|GE1/1/14|up|down|
PLR3MU|GE1/1/15|up|down|[ACCESO HSI][VI] PLR21D 9701213
PLR3MU|GE1/1/15.2101|up|up|[GESTION] PLR21D HUA 5100 [ADSL]
PLR3MU|GE1/1/15.4101|up|up|[DATOS] PLR21D HUA 5100 [ADSL][L2]
PLR3MU|GE1/1/16|up|down|[ACCESO HSI][VI] 3NW11C 15002882
PLR3MU|GE1/1/16.2101|up|up|[GESTION] 3NW11C ECI HIFS [VDS2]
PLR3MU|GE1/1/16.3101|up|up|[TOIP] 3NW11C ECI HIFS [VDS2]
PLR3MU|GE1/1/16.4101|up|up|[DATOS] 3NW11C ECI HIFS [VDS2][L2]
PLR3MU|GE1/1/17|up|down|[ACCESO HSI][VI] 3NX11C 15002883
PLR3MU|GE1/1/17.2101|up|up|[GESTION] 3NX11C ECI HIFS [VDS2]


