shelfname|interface|portoperationalstate|protocol|info1
REC3MU|100GE2/0/0|up|up|Enlace 100G DWDM IRD1NA_G0/14/0/7 Linea:11004939 - UPLINK NA
REC3MU|100GE6/0/0|up|up|Enlace 100G DWDM RES1NA_G0/18/0/6 Linea:11004938 - UPLINK NA
REC3MU|Eth-Trunk1|up|down|LAG PTN HWI 75RCC01_G17/1-18/1
REC3MU|Eth-Trunk1.725|up|up|Enlace a IRD1MN_T0/0/0/3.725
REC3MU|Eth-Trunk1.1161|up|up|Enlace a RSC1MN_T0/0/0/2.1161
REC3MU|Eth-Trunk4|up|down|LAG PTN HWI 75RCC01_G17/3-18/3
REC3MU|Eth-Trunk4.1011700|*down|down|BSCREC2 SFP-21y22 modulo-0
REC3MU|Eth-Trunk4.1011701|*down|down|BSCREC2 SFP-21y22 modulo-1
REC3MU|Eth-Trunk4.1021000|*down|down|RECROU01 TELLABS RECRNC (441590) (5694694) - 3G
REC3MU|Eth-Trunk4.1021001|*down|down|RECROU01 TELLABS RECRNC (441590) (5694694) - S1MME
REC3MU|Eth-Trunk4.13010002|up|down|
REC3MU|Eth-Trunk5|up|down|LAG PTN HWI 75RCC01_G17/2-18/2
REC3MU|Eth-Trunk5.1018|up|up|GESTION ATN910I SAN_JAVIER - SJV1MS - Linea 80002172 (RE DragonWave San Javier - La Brava - Gobernador Crespo)
REC3MU|Eth-Trunk5.1019|*down|down|GESTION ATN910I LA_BRAVA - LBW1MS - Linea 80002173 (RE DragonWave San Javier - La Brava - Gobernador Crespo)
REC3MU|Eth-Trunk5.1282|up|down|
REC3MU|Eth-Trunk5.1283|up|down|
REC3MU|Eth-Trunk5.10702|up|up|ACCESO DSLAM SJV11G - Linea 9703915
REC3MU|Eth-Trunk5.12113|up|up|VPN PLATINUM - PODER JUDICIAL DE SANTA FE - REF: 734872 - LINEA: 2832419 - ACC: TRZ41340
REC3MU|Eth-Trunk5.20003|up|up|[RTP][SIGN] TJMG01 HUA 5000 [NGN]
