shelfname|interface|portoperationalstate|protocol|info1
SR11MU|GE0/0/0|down|down|
SR11MU|GE1/0/0(10G)|*down|down|Enlace 10G DWDM RSC1NA_G0/11/0/8 Linea:13007030 - UPLINK NA
SR11MU|GE1/0/1(10G)|up|up|Enlace 10G DWDM NJU1MU_G7/0/3 Linea:13007031 - UPLINK MU
SR11MU|GE1/1/0|*down|down|
SR11MU|GE1/1/1|down|down|
SR11MU|GE1/1/2|up|down|Sincronismo DCSR102 TP5000 (70001602)
SR11MU|GE1/1/2.1000|up|up|Sincronismo DCSR102 TP5000 (70001602) - S1MME
SR11MU|GE1/1/3|up|down|eNODOB SANTA_ROSA_CENTRO - A36-F041 (432095) NODOB (764316) (764315)
SR11MU|GE1/1/3.1000|up|up|eNODOB - SANTA_ROSA_CENTRO - A36-F041 - (1) (432095) - S1
SR11MU|GE1/1/3.1001|up|up|eNODOB - SANTA_ROSA_CENTRO - A36-F041 - (2) (432095) - S1MME
SR11MU|GE1/1/3.1002|up|up|eNODOB - SANTA_ROSA_CENTRO - A36-F041 - (3) (432095) - GOMRAN
SR11MU|GE1/1/3.1003|up|up|NODOB - SANTA_ROSA_CENTRO - A36-F041 - (1) (764316) - 3G
SR11MU|GE1/1/3.1004|up|up|NODOB - SANTA_ROSA_CENTRO - A36-F041- (1) (764315) - 2G
SR11MU|GE1/1/4|down|down|
SR11MU|GE1/1/5|up|down|BSCSRS2 NWI-E 1 Port 13 - Abis_A
SR11MU|GE1/1/5.352|up|up|BSCSRS2 NWI-E 1 Port 13 - Abis_A
SR11MU|GE1/1/6|down|down|
SR11MU|GE1/1/7|down|down|
SR11MU|GE1/1/8|down|down|
SR11MU|GE1/1/9|down|down|
SR11MU|GE1/1/10|up|down|eNODOB SANTA_ROSA_ULTRACAN - A36-F071 (764288) NODOB (764287) (764286)
SR11MU|GE1/1/10.1000|up|up|eNODOB - SANTA_ROSA_ULTRACAN - A36-F071 - (1) (764288) - S1
