shelfname|interface|portoperationalstate|protocol|info1
SSJ4MU|100GE2/0/0|up|up|Enlace 100G NN A MUS1NA G0/7/0/1 (Linea:13005188) - UPLINK BBIP
SSJ4MU|100GE2/0/1|*down|down|
SSJ4MU|100GE6/0/0|up|up|Enlace 100G NN A RES1NA G0/7/0/1 (Linea:13005189) - UPLINK BBIP
SSJ4MU|100GE6/0/1|*down|down|
SSJ4MU|100GE11/0/0|*down|down|
SSJ4MU|100GE12/0/0|*down|down|
SSJ4MU|Eth-Trunk1|up|down|TIP_TIPTELESISTEMASSSJ3(2812804)REFE:402893_SEGURIZACION
SSJ4MU|Eth-Trunk1.3|up|up|TIP_TIPTELESISTEMASSSJ3(2812804)REFE:402893_SEGURIZACION
SSJ4MU|Eth-Trunk1.4|up|up|TIP_TIPTELESISTEMASSSJ3(2812804)REFE:402893_SEGURIZACION BACKUP
SSJ4MU|Eth-Trunk2|up|down|[TAT] LAG SDH 35SSJ01_G13/2_G2/2 - Lineas:9004543/9004544 - REF:9004543
SSJ4MU|Eth-Trunk2.2305|up|up|[TAT] Gestion Tx 35ABP01-29-02 ABRA PAMPA JUJUY - Linea:70001085
SSJ4MU|Eth-Trunk3|up|down|LAG PTN ALU 18SSJ01_G14/01_G15/01
SSJ4MU|Eth-Trunk3.123|up|down|GHDSL - ECH11D  - Linea 13000371
SSJ4MU|Eth-Trunk3.1237|up|up|GESTION_IP_URUNDEL_REFINOR_URUNDEL-L:70001553
SSJ4MU|Eth-Trunk3.1244|up|up|GESTION ATN910I COLONIA_SANTA_ROSA - CSR1MS - Linea 13004588 (1DCSR01_IDU_LAN6)
SSJ4MU|Eth-Trunk3.1537|up|up|Gestion CAIMANCITO - GW 17CNM01 - Linea 70000682
SSJ4MU|Eth-Trunk3.1552|up|up|Gestion PICHANAL - GW 17PIC01 - Linea 70000683
SSJ4MU|Eth-Trunk3.10100|up|up|ADSL ACO21D CONEXION 1/2 - 13003736 - MUS1MB
SSJ4MU|Eth-Trunk3.10102|up|up|ADSL ACO21D CONEXION 2/2 - 13007116 - MUS1MB
SSJ4MU|Eth-Trunk3.10103|up|down|CONEXION 2/2 FRA11D HSI 13007125
SSJ4MU|Eth-Trunk3.11511|up|down|CONEXION 1/2 FRA11D HSI 13000303
SSJ4MU|Eth-Trunk3.15202|up|up|INTEGRA SA - AUTOSOL SRL - REF: 550317 - LINEA: 2869972 - ACC: 5RACO01/08/GE_1
SSJ4MU|Eth-Trunk3.311413|up|up|[RTP][SIGN] PICG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.311414|up|up|[GESTION][IPMB] PICG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.311415|up|up|[GESTION][PVM] PICG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.312503|up|up|[RTP][SIGN] CNMG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.312504|up|up|[GESTION][IPMB] CNMG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.312505|up|up|[GESTION][PVM] CNMG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.312562|up|up|[SIGN] ACOG01 ZTE 5200 [NGN]
SSJ4MU|Eth-Trunk3.312563|up|up|[RTP] ACOG01 ZTE 5200 [NGN]
SSJ4MU|Eth-Trunk3.312564|up|up|[GESTION] ACOG01 ZTE 5200 [NGN]
SSJ4MU|Eth-Trunk3.312673|up|up|[RTP][SIGN] BJJG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.312674|up|up|[GESTION][IPMB] BJJG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.312675|up|up|[GESTION][PVM] BJJG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.336162|*down|down|SIGNALING NGN MA5616 PRRG01 PURMAMARCA JUJUY L:13002361
SSJ4MU|Eth-Trunk3.336163|*down|down|RTP NGN MA5616 PRRG01 PURMAMARCA JUJUY L:13002361
SSJ4MU|Eth-Trunk3.336164|*down|down|GESTION IPMB MA5616 PRRG01 PURMAMARCA JUJUY L:13002361
SSJ4MU|Eth-Trunk3.336183|up|up|[RTP][SIGN] PRKG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.336184|up|up|[GESTION][IPMB] PRKG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.336185|up|up|[GESTION][PVM] PRKG01 HUA 5000 [NGN]
SSJ4MU|Eth-Trunk3.1012101|up|up|[GESTION] ACO31D HUA 5600 [ADS2] 13003737
SSJ4MU|Eth-Trunk3.1013101|up|up|[TOIP] ACO31D HUA 5600 [ADS2]
SSJ4MU|Eth-Trunk3.1014101|up|up|[DATOS] ACO31D HUA 5600 [ADS2][L2] 13003737
SSJ4MU|Eth-Trunk3.1034101|up|up|[DATOS] 2/2 FRA11D ZTE9800 [ADS2]
SSJ4MU|Eth-Trunk3.1503002|up|up|INTEGRA - EDUC.AR SOCIEDAD DEL ESTADO - Ref:872906 Lin:2854448 Acc:5RACO01/7/5
SSJ4MU|Eth-Trunk3.1604101|up|down|[DATOS] ECH11D 1/2 ZTE9800 [ADS2][L2]
SSJ4MU|Eth-Trunk3.1614101|up|down|[DATOS] ECH11D 2/2 ZTE9800 [ADS2][L2] L 13007232
SSJ4MU|Eth-Trunk3.11413101|up|up|[TOIP] PICG01 HUA 5000 [ADS2]
SSJ4MU|Eth-Trunk3.11414101|up|up|[DATOS] PICG01 UA5000 [ADS2][L2] 9703842
SSJ4MU|Eth-Trunk3.12021000|up|up|eNODOB - PALPALA_4 - SSJ4MU 2/1/10 - A21-S214 - (1) (447580) - S1
SSJ4MU|Eth-Trunk3.12021001|up|up|eNODOB - PALPALA_4 - SSJ4MU 2/1/10 - A21-S214 - (2) (447580) - S1MME
SSJ4MU|Eth-Trunk3.12021002|up|up|eNODOB - PALPALA_4 - SSJ4MU 2/1/10 - A21-S214 - (3) (447580) - GOMRAN
SSJ4MU|Eth-Trunk3.12021003|up|up|NODOB - PALPALA_4 - SSJ4MU 2/1/10 - A21-S214 - (1) (756717) - 3G
SSJ4MU|Eth-Trunk3.12021004|up|up|NODOB - PALPALA_4 - SSJ4MU 2/1/10 - A21-S214 - (1) (756739) - 2G
SSJ4MU|Eth-Trunk3.12040002|up|up|VPNTASARIOTABAC_Ref:877300_GesTECO
SSJ4MU|Eth-Trunk3.12052101|up|up|[GESTION] ACO11D HUA 5600 [ADS2] 9703371
SSJ4MU|Eth-Trunk3.12053616|up|up|VPN GOLD - DIA ARGENTINA S A - Ref:878544 Lin:2857635 Acc:ACO11D 0/15/0
SSJ4MU|Eth-Trunk3.12053618|up|up|VPN GOLD - RIBEIRO - Ref:319326 Lin:2739741
SSJ4MU|Eth-Trunk3.12053626|up|up|VPN Head Quarter - BANCO MACRO - Ref:309299 Lin:2738315 Acc:ACO11D 15/10
SSJ4MU|Eth-Trunk3.12053814|up|up|Integra Light - Gob Ctm - Ref:561726 Lin:2759222 Acc:ACO11D 0/15 6-7
SSJ4MU|Eth-Trunk3.12053816|up|up|Integra Light - Gob. Jujuy - Ref:561725 Lin:2759221 Acc:ACO11D 0/15 8-9
SSJ4MU|Eth-Trunk3.12053818|up|up|VPN Head Quarter - BANCO MACRO - Ref:309299 Lin:2738315 Acc:ACO11D 15/10
SSJ4MU|Eth-Trunk3.12053819|up|up|REF 670251 DIESEL JUJUY SRL LIN 2809373 ACC: ACO11D PLACA 15 PORT 11
SSJ4MU|Eth-Trunk3.12053839|up|up|IntLight - A.LUZ HORIZONTES SRL - Ref:655540 - Lin:2800697 - Acc:ACO11D 0-15-31
SSJ4MU|Eth-Trunk3.12054101|up|up|[DATOS] ACO11D 1/2 HUA 5600 [ADS2][L2] 9703371
SSJ4MU|Eth-Trunk3.12061000|up|up|eNODOB - PALPAL_8 - SSJ4MU 2/1/10 - A21-S366 - (1) (701284) - S1
SSJ4MU|Eth-Trunk3.12061001|up|up|eNODOB - PALPAL_8 - SSJ4MU 2/1/10 - A21-S366 - (2) (701284) - S1MME
SSJ4MU|Eth-Trunk3.12061002|up|up|eNODOB - PALPAL_8 - SSJ4MU 2/1/10 - A21-S366 - (3) (701284) - GOMRAN
SSJ4MU|Eth-Trunk3.12061003|up|up|NODOB - PALPAL_8 - SSJ4MU 2/1/10 - A21-S366 - (1) (701285) - 3G
SSJ4MU|Eth-Trunk3.12061004|up|up|NODOB - PALPAL_8 - SSJ4MU 2/1/10 - A21-S366 - (1) (701286) - 2G
SSJ4MU|Eth-Trunk3.12090005|up|up|VPN - INTA - REF:785195 - LINEA:2751071 - ACC:1PIO301_IDU/01/19ETH
SSJ4MU|Eth-Trunk3.12110002|up|up|VPN PLATINUM (GESTION ) - BANCO MACRO S.A - REF: 943280 - LINEA:  - ACC: 5RMRR01/05/GE_4
SSJ4MU|Eth-Trunk3.12110003|up|up|VPN PLATINUM - BANCO MACRO S.A - REF: 943280 - LINEA:  - ACC: 5RMRR01/05/GE_4
SSJ4MU|Eth-Trunk3.12470002|up|up|VPN PLATINUM - BANCO MACRO - REF: 949878 - LINEA: 2870707 - ACC: Eth-Trunk 3.12470002
SSJ4MU|Eth-Trunk3.12480002|*down|down|VPN PLATINUM - BANCO MACRO S.A. - REF: 944485 - LINEA:  - ACC: 5RPRK01/07/GE_5
SSJ4MU|Eth-Trunk3.12504101|up|up|[DATOS] CNMG01 HUA 5000 [ADS2]
SSJ4MU|Eth-Trunk3.12673101|up|up|[TOIP] BJJG01 HUA 5000 [ADS2]
SSJ4MU|Eth-Trunk3.12674101|up|up|[DATOS] BJJG01 HUA 5000 [ADS2]
SSJ4MU|Eth-Trunk3.13054101|up|up|[DATOS] 2/2 ACO11D HUA 5600 [ADS2][L2] 9703371
SSJ4MU|Eth-Trunk3.13770002|up|up|VPN - FONDO FIDUSIARIO - REF: 280406 - LINEA: 2730199 - ACC: 5RFRA01/05/GE_4
SSJ4MU|Eth-Trunk3.15020008|up|up|TIP_NORTECOMUNICACIONESMMR(2837388)REFE:743497_Ges.TECO
SSJ4MU|Eth-Trunk3.15040002|up|up|INTEGRA - EDUC.AR SOCIEDAD DEL ESTADO - Ref:875935 Lin:2768328 Acc:5RACO01/7/7
SSJ4MU|Eth-Trunk3.15050002|up|up|INTEGRA - TARJETA NARANJA SA - Ref:878028 Lin:2857358 Acc:5RPRK01/07/GE_1
SSJ4MU|Eth-Trunk3.15060002|up|up|### Integra - DIRECCION NACIONAL DEL SERVICIO PENITENCIARIO FEDERAL - ref:923420 - Lin:2869153 ###
SSJ4MU|Eth-Trunk3.15060003|up|up|### Integra - DIRECCION NACIONAL DEL SERVICIO PENITENCIARIO FEDERAL - ref:923420 - Lin:2869153 - Gestion CPE ###
SSJ4MU|Eth-Trunk3.15100002|up|up|INTEGRA - EDUC.AR SOCIEDAD DEL ESTADO - REF: 922794 - LINEA: 2384640 - ACC: 5RACO01/06/GE_8
SSJ4MU|Eth-Trunk3.15100003|up|up|GESTION - EDUC.AR SOCIEDAD DEL ESTADO - REF: 922794 - LINEA: 2384640 - ACC: 5RACO01/06/GE_8
SSJ4MU|Eth-Trunk3.15112101|up|up|[GESTION] FRA11D ZTE9800 [ADS2]
SSJ4MU|Eth-Trunk3.15113101|up|up|[TOIP] FRA11D ZTE 9800 [ADS2]
SSJ4MU|Eth-Trunk3.15113608|*down|down|
SSJ4MU|Eth-Trunk3.15113618|*down|down|
SSJ4MU|Eth-Trunk3.15113626|up|up|VPN - MACRO - Ref:712389 - Lin:2819658 - Acc:FRA11D 1/17/11
SSJ4MU|Eth-Trunk3.15113808|up|up|INTEGRA LIGHT - GUTIERREZ JORGE JAVIER - REF.681076 - LIN:2815900 - ACC:FRA11D 1-1-17 1/2
SSJ4MU|Eth-Trunk3.15113818|up|up|VPN - GEST - MACRO - Ref:712389 - Lin:2819658 - Acc:FRA11D1/17/11
SSJ4MU|Eth-Trunk3.15114101|up|up|[DATOS] 1/2 FRA11D ZTE9800 [ADS2]
SSJ4MU|Eth-Trunk3.15120002|up|up|INTEGRA - EDUC.AR SOCIEDAD DEL ESTADO - REF:875934 - Lin:2856162
SSJ4MU|Eth-Trunk3.15140002|up|up|TIP PROVIDER SA (2869117)REFE:944910_Ges.TECO-SERVICIO acc:5RMRR01 5/5
SSJ4MU|Eth-Trunk3.15410002|up|up|INTEGRA - EDUC.AR SOCIEDAD DEL ESTADO - REF:872905 - Lin:2854447
SSJ4MU|Eth-Trunk3.15500002|up|up|TIPKARANICOLASSCR(2862529) REFE891312 acc:CSR1MS 0/2/1
SSJ4MU|Eth-Trunk3.16150002|up|up|### Integra - EDUC.AR - ref:872900 - Lin:2854442 ###
SSJ4MU|Eth-Trunk3.23430002|up|up|VPN PLATINUM - BANCO MACRO S.A - REF: 938642 - ACC: 5RLGS01/07/GE_3
SSJ4MU|Eth-Trunk3.36164101|*down|down|[DATOS] PRRG01 HUA 5616 [VDS2]
SSJ4MU|Eth-Trunk3.36184101|up|up|[DATOS] PRKG01 HUA 5000 [ADS2]
SSJ4MU|Eth-Trunk3.36192101|up|up|[GESTION] PRK11D ZTE 9800 [ADSL] 9704086
SSJ4MU|Eth-Trunk3.36193101|up|up|[TOIP] PRK11D ZTE 9800 [ADSL]
SSJ4MU|Eth-Trunk3.36194101|up|up|[DATOS] PRK11D ZTE 9800 [ADS2] 9704086
SSJ4MU|Eth-Trunk4|up|down|LAG PTN ALU 18SSJ01_G15/01-G12/02
SSJ4MU|Eth-Trunk4.36164|up|up|[GESTION] MRRG01 HUA MA5600T [NGN]  13006258
SSJ4MU|Eth-Trunk4.336162|up|up|[SIGN] MRRG01 HUA MA5600T [NGN] 13006258
SSJ4MU|Eth-Trunk4.336163|up|up|[RTP] MRRG01 HUA MA5600T [NGN]  13006258
SSJ4MU|Eth-Trunk4.1602101|up|up|[GESTION] ECH11D ZTE9800 [ADS2]
SSJ4MU|Eth-Trunk4.1603101|up|up|[TOIP] ECH11D ZTE 9800 [ADS2]
SSJ4MU|Eth-Trunk4.1604101|up|up|[DATOS] ECH11D 1/2 ZTE9800 [ADS2][L2]
SSJ4MU|Eth-Trunk4.1614101|up|up|[DATOS] ECH11D 2/2 ZTE9800 [ADS2][L2] L 13007232
SSJ4MU|Eth-Trunk4.12031000|up|up|eNODOB - PALPALA_5 - SSJ4MU 2/1/10 - A21-S215 - (1) (453762) - S1
SSJ4MU|Eth-Trunk4.12031001|up|up|eNODOB - PALPALA_5 - SSJ4MU 2/1/10 - A21-S215 - (2) (453762) - S1MME
SSJ4MU|Eth-Trunk4.12031002|up|up|eNODOB - PALPALA_5 - SSJ4MU 2/1/10 - A21-S215 - (3) (453762) - GOMRAN
SSJ4MU|Eth-Trunk4.12031003|up|up|NODOB - PALPALA_5 - SSJ4MU 2/1/10 - A21-S215 - (1) (509819) - 3G
SSJ4MU|Eth-Trunk4.12031004|up|up|NODOB - PALPALA_5 - SSJ4MU 2/1/10 - A21-S215 - (1) (511102) - 2G
SSJ4MU|Eth-Trunk4.12071000|up|up|eNODOB - PALPALA - SSJ4MU 6/1/6 - A21-S043 - (1) (447603) - S1
SSJ4MU|Eth-Trunk4.12071001|up|up|eNODOB - PALPALA - SSJ4MU 6/1/6 - A21-S043 - (2) (447603) - S1MME
SSJ4MU|Eth-Trunk4.12071002|up|up|eNODOB - PALPALA - SSJ4MU 6/1/6 - A21-S043 - (3) (447603) - GOMRAN
SSJ4MU|Eth-Trunk4.12071003|up|up|NODOB - PALPALA - SSJ4MU 6/1/6 - A21-S043 - (1) (520582) - 3G
SSJ4MU|Eth-Trunk4.12071004|up|up|NODOB - PALPALA - SSJ4MU 6/1/6 - A21-S043 - (1) (520563) - 2G
SSJ4MU|Eth-Trunk4.12091000|up|up|eNODOB - EL_CARMEN - SSJ4MU 2/1/10 - A21-S064 - (1) (447602) - S1
SSJ4MU|Eth-Trunk4.12091001|up|up|eNODOB - EL_CARMEN - SSJ4MU 2/1/10 - A21-S064 - (2) (447602) - S1MME
SSJ4MU|Eth-Trunk4.12091002|up|up|eNODOB - EL_CARMEN - SSJ4MU 2/1/10 - A21-S064 - (3) (447602) - GOMRAN
