shelfname|interface|portoperationalstate|protocol|info1
SST2MU|Eth-Trunk1|up|down|LAG PTN HWI 8VSST01_G3/4-G10/4
SST2MU|Eth-Trunk1.1019|up|up|GESTION ATN910I LA_BRAVA - LBW1MS - Linea 80002173 (RE DragonWave San Javier - La Brava - Gobernador Crespo)
SST2MU|Eth-Trunk1.338122|up|up|[SIGN] CQQG01 HUA5616 -11002069 [NGN]
SST2MU|Eth-Trunk1.338123|up|up|[RTP] CQQG01 HUA5616 -11002069 [NGN]
SST2MU|Eth-Trunk1.338124|up|up|[GESTION] CQQG01 HUA5616 -11002069 [NGN]
SST2MU|Eth-Trunk1.2991000|up|up|eNODOB - EMILIA - A07-S126 - (1) (684660) - S1
SST2MU|Eth-Trunk1.2991001|up|up|eNODOB - EMILIA - A07-S126 - (2) (684660) - S1MME
SST2MU|Eth-Trunk1.2991002|up|up|eNODOB - EMILIA - A07-S126 - (3) (684660) - GOMRAN
SST2MU|Eth-Trunk1.2991003|up|up|NODOB - EMILIA - A07-S126 - (1) (684661) - 3G
SST2MU|Eth-Trunk1.2991004|up|up|NODOB - EMILIA - A07-S126 - (1) (684607) - 2G
SST2MU|Eth-Trunk1.4171000|up|up|eNODOB - SANTO_DOMINGO - A07-S317 (1) (683521) - S1
SST2MU|Eth-Trunk1.4171001|up|up|eNODOB - SANTO_DOMINGO - A07-S317 (2) (683521) - S1MME
SST2MU|Eth-Trunk1.4171002|up|up|eNODOB - SANTO_DOMINGO - A07-S317 (3) (683521) - GOMRAN
SST2MU|Eth-Trunk1.4171003|up|up|NODOB - SANTO_DOMINGO - A07-S317 (1) (683520) - 3G
SST2MU|Eth-Trunk1.4171004|up|up|NODOB - SANTO_DOMINGO - A07-S317 (1) (683506) - 2G
SST2MU|Eth-Trunk1.7910002|up|up|TIPCOTEVERYPIN(5674841)_REFE:406270Ges.Teco
SST2MU|Eth-Trunk1.8801005|up|up|eNODOB - SAN_JAVIER - A07-S019_RSCLR - (945141) - RS CLARO S1
SST2MU|Eth-Trunk1.8801006|up|up|eNODOB - SAN_JAVIER - A07-S019_RSCLR - (945141) - RS CLARO S1MME
SST2MU|Eth-Trunk1.8801010|up|up|eNODOB - SAN_JAVIER - A07-S019 - (1) (439921) - S1
SST2MU|Eth-Trunk1.8801011|up|up|eNODOB - SAN_JAVIER - A07-S019 - (2) (439921) - S1MME
SST2MU|Eth-Trunk1.8801012|up|up|eNODOB - SAN_JAVIER - A07-S019 - (3) (439921) - GOMRAN
SST2MU|Eth-Trunk1.8801014|up|up|NODOB - SAN_JAVIER - A07-S019 - (1) (505370) - 3G
SST2MU|Eth-Trunk1.8801015|up|up|NODOB - SAN_JAVIER - A07-S019 - (1) (505664) - 2G
SST2MU|Eth-Trunk1.8841000|up|up|eNODOB - SAN_JAVIER_2 - A07-S328 - (1) (682896) - S1
SST2MU|Eth-Trunk1.8841001|up|up|eNODOB - SAN_JAVIER_2 -- A07-S328 - (2) (682896) - S1MME
SST2MU|Eth-Trunk1.8841002|up|up|eNODOB - SAN_JAVIER_2- A07-S328 - (3) (682896) - GOMRAN
SST2MU|Eth-Trunk1.8841003|up|up|NODOB - SAN_JAVIER_2 - A07-S328 - (1) (682895) - 3G
SST2MU|Eth-Trunk1.8841004|up|up|NODOB - SAN_JAVIER_2 - A07-S328 - (1) (682894) - 2G
SST2MU|Eth-Trunk1.9061050|up|up|eNODOB - LLAMBI_CAMPBELL - A07-S026 (1) (505047) - S1
SST2MU|Eth-Trunk1.9061051|up|up|eNODOB - LLAMBI_CAMPBELL - A07-S026 (2) (505047) - S1MME
SST2MU|Eth-Trunk1.9061052|up|up|eNODOB - LLAMBI_CAMPBELL - A07-S026 (3) (505047) - GOMRAN
SST2MU|Eth-Trunk1.9061053|up|up|NODOB - LLAMBI_CAMPBELL - A07-S026 (1) (505121) - 3G
SST2MU|Eth-Trunk1.9061054|up|up|NODOB - LLAMBI_CAMPBELL -  A07-S026 (2) (505103) - 2G
SST2MU|Eth-Trunk1.9561000|up|up|eNODOB - CAMPO_ANDINO - A07-S200 - (1) (685186) - S1
SST2MU|Eth-Trunk1.9561001|up|up|eNODOB - CAMPO_ANDINO - A07-S200 - (2) (685186) - S1MME
SST2MU|Eth-Trunk1.9561002|up|up|eNODOB - CAMPO_ANDINO - A07-S200 - (3) (685186) - GOMRAN
SST2MU|Eth-Trunk1.9561003|up|up|NODOB - CAMPO_ANDINO - A07-S200 - (1) (685181) - 3G
SST2MU|Eth-Trunk1.9561004|up|up|NODOB - CAMPO_ANDINO - A07-S200 - (1) (685184) - 2G
SST2MU|Eth-Trunk1.9761000|up|up|eNODOB - SARMIENTO - PORT METRO - A07-S040 - (1) (692024) - S1
SST2MU|Eth-Trunk1.9761001|up|up|eNODOB - SARMIENTO - PORT METRO - A07-S040 - (2) (692024) - S1MME
SST2MU|Eth-Trunk1.9761002|up|up|eNODOB - SARMIENTO - PORT METRO - A07-S040 - (3) (692024) - GOMRAN
SST2MU|Eth-Trunk1.9761003|up|up|eNODOB - SARMIENTO - PORT METRO - A07-S040 - (1) (692002) - 3G
SST2MU|Eth-Trunk1.9761004|up|up|eNODOB - SARMIENTO - PORT METRO - A07-S040 - (1) (691978) - 2G
SST2MU|Eth-Trunk1.10181000|up|up|eNODOB - PROVIDENCIA - A07-S014 - (1) (755547) - S1
SST2MU|Eth-Trunk1.10181001|up|up|eNODOB - PROVIDENCIA - A07-S014 - (2) (755547) - S1MME
SST2MU|Eth-Trunk1.10181002|up|up|eNODOB - PROVIDENCIA - A07-S014 - (3) (755547) - GOMRAN
SST2MU|Eth-Trunk1.10181003|up|up|NODOB - PROVIDENCIA - A07-S014 - (1) (755548) - 3G
SST2MU|Eth-Trunk1.10181004|up|up|NODOB - PROVIDENCIA - A07-S014 - (1) (755549) - 2G
SST2MU|Eth-Trunk1.10381000|up|up|eNODOB - MARA_LUISA - A07-S136 - (1) (752024) - S1
SST2MU|Eth-Trunk1.10381001|up|up|eNODOB - MARA_LUISA - A07-S136 - (2) (752024) - S1MME
SST2MU|Eth-Trunk1.10381002|up|up|eNODOB - MARA_LUISA - A07-S136 - (3) (752024) - GOMRAN
SST2MU|Eth-Trunk1.10381003|up|up|NODOB - MARA_LUISA - A07-S136 - (1) (752023) - 3G
SST2MU|Eth-Trunk1.10381004|up|up|NODOB - MARA_LUISA - A07-S136 - (1) (752022) - 2G
SST2MU|Eth-Trunk1.12021000|up|up|eNODOB - GOBERNADOR_CRESPO - A07-S023 - (1) (684665) - S1
SST2MU|Eth-Trunk1.12021001|up|up|eNODOB - GOBERNADOR_CRESPO - A07-S023 - (2) (684665) - S1MME
SST2MU|Eth-Trunk1.12021002|up|up|eNODOB - GOBERNADOR_CRESPO - A07-S023 - (3) (684665) - GOMRAN
SST2MU|Eth-Trunk1.12021003|up|up|eNODOB - GOBERNADOR_CRESPO - A07-S023 - (1) (684664) - 3G
SST2MU|Eth-Trunk1.12021004|up|up|eNODOB - GOBERNADOR_CRESPO - A07-S023 - (1) (684609) - 2G
SST2MU|Eth-Trunk1.12051000|up|up|eNODOB - CACIQUE_ARIACAIQUIN - A07-S199 - (1) (752027) - S1
SST2MU|Eth-Trunk1.12051001|up|up|eNODOB - CACIQUE_ARIACAIQUIN - A07-S199 - (2) (752027) - S1MME
SST2MU|Eth-Trunk1.12051002|up|up|eNODOB - CACIQUE_ARIACAIQUIN - A07-S199 - (3) (752027) - GOMRAN
SST2MU|Eth-Trunk1.12051003|up|up|NODOB - CACIQUE_ARIACAIQUIN - A07-S199 - (1) (752026) - 3G
SST2MU|Eth-Trunk1.12051004|up|up|NODOB - CACIQUE_ARIACAIQUIN - A07-S199 - (1) (752025) - 2G
SST2MU|Eth-Trunk1.12061000|up|up|eNODOB - COLONIA_TERESA -- A07-S064 - (1) (752018) - S1
SST2MU|Eth-Trunk1.12061001|up|up|eNODOB - COLONIA_TERESA - A07-S064 - (2) (752018) - S1MME
