shelfname|interface|portoperationalstate|protocol|info1
STI2MU|Eth-Trunk1|up|down|ASV1ME Eth-Trunk1
STI2MU|Eth-Trunk1.34|up|up|
STI2MU|Eth-Trunk1.2703101|*down|down|[TOIP] 0JVG01 HUA 5600_T [VDS2]
STI2MU|Eth-Trunk1.2704101|up|up|[DATOS] 0JVG01 HUA 5600_T [ADS2][L2]
STI2MU|Eth-Trunk1.10200002|*down|down|### VPN - AEROLINEAS ARGENTINAS - ref:941982 (ex296916) - Lin:2868405 - ACC:ASV1ME 5/0/5 ###
STI2MU|Eth-Trunk1.12010002|up|up|VPN PLATINUM - EMPRESA ARGENTINA DE NAVEGACION AEREA - REF: 944965 - LINEA: 2869470 - ACC: ASV1ME 5/0/4
STI2MU|Eth-Trunk1.16100002|up|up|INTEGRA - SIDERCON S.R.L. - REF:887591 LIN:2861357
STI2MU|Eth-Trunk1.38090002|up|up|[SIGN]SAUCE VIEJO - STA FE -0JVG01-L:11001930- [NGN]
STI2MU|Eth-Trunk1.38090003|up|up|[RTP] SAUCE VIEJO-STA FE -0JVG01-L:11001930[NGN]
STI2MU|Eth-Trunk1.38090004|up|up|[GESTION][IPMB] SAUCE VIEJO - STA FE -0JVG01-L:11001930- [NGN]
STI2MU|Eth-Trunk12|up|down|LAG 10+10 EQUIPO-OLT STIN01
STI2MU|Eth-Trunk12.6|up|up|IPTV STIN01 IGMP-PIM
STI2MU|Eth-Trunk12.7|up|up|[DHCP] [IPTV] STIN01 HUA 5800_T [GPON]
STI2MU|Eth-Trunk12.29|up|up|[TOIP] STIN01 HUA 5800_T [GPON]
STI2MU|Eth-Trunk12.30|up|up|[DATOS] STIN01 HUA 5800_T [GPON]
STI2MU|Eth-Trunk12.2101|up|up|[GESTION] STIN01 HUA 5800_T [GPON] L:11005609
STI2MU|Eth-Trunk15|up|down|LAG 1+1 49SG01
STI2MU|Eth-Trunk15.2|up|up|[SIGN] 49SG01 HUA 5600_T [NGN]
STI2MU|Eth-Trunk15.3|up|up|[RTP] 49SG01 HUA 5600_T [NGN]
STI2MU|Eth-Trunk15.4|up|up|[GESTION] 49SG01 HUA 5600_T [NGN]
STI2MU|Eth-Trunk15.18|up|up|GHDSL 49SG01 - HIP1MB
STI2MU|Eth-Trunk15.3101|up|up|[TOIP] 49SG01 HUA 5600_T [VDS2]
STI2MU|Eth-Trunk15.4101|up|up|[DATOS] 49SG01 HUA 5600_T [VDS2][L2]
STI2MU|GE0/0/0|down|down|
STI2MU|GE1/0/0(10G)|up|up|Enlace 10G FO SFE1MB_G0/2/0/2 Linea:11002026 - UPLINK MSBNG
STI2MU|GE1/0/1(10G)|up|up|Enlace 10G FO HIP1MB_G0/2/1/0 Linea:11003287 - UPLINK MSBNG
STI2MU|GE1/1/0|*down|down|
STI2MU|GE1/1/1|up|up|CONEXION 1/2 49SG01 NGN  HUA 5000
STI2MU|GE1/1/2|up|down|[ACCESO HSI][VI] 3XBG01 XXXXXXX
STI2MU|GE1/1/2.2|up|up|[SIGN] 3XBG01 HUA 5603_T [NGN]
STI2MU|GE1/1/2.3|up|up|[RTP] 3XBG01 HUA 5603_T [NGN]
STI2MU|GE1/1/2.4|up|up|[GESTION] 3XBG01 HUA 5603_T [NGN]
STI2MU|GE1/1/2.19|up|up|GHDSL 3XBG01 - HIP1MB
STI2MU|GE1/1/2.2101|up|down|[GESTION] 3XBG01 HUA 5603_T [VDS2]
STI2MU|GE1/1/2.3101|up|up|[TOIP] 3XBG01 HUA 5603_T [VDS2]
STI2MU|GE1/1/2.4101|up|up|[DATOS] 3XBG01 HUA 5603_T [VDS2][L2]
STI2MU|GE1/1/3|up|down|VPN PLATINIUM - POMACO - Ref:672873 - 2810994 - Acc: SFE1MB Te0/0/0/1.130013
STI2MU|GE1/1/3.48|up|up|VPN - RIOMAT - REF: 672873 - LINEA: 2810994
STI2MU|GE1/1/4|up|down|[ACCESO HSI][VI] STI41D 9701877
STI2MU|GE1/1/4.2101|up|up|[GESTION] STI41D ZTE 9210 [ADS2]
STI2MU|GE1/1/4.3101|up|up|[TOIP] STI41D ZTE 9210 [ADS2]
STI2MU|GE1/1/4.4101|up|up|[DATOS] STI41D ZTE 9210 [ADS2][L2]
STI2MU|GE1/1/5|up|down|[ACCESO HSI][VI] STI51D 11000014
STI2MU|GE1/1/5.2101|up|up|[GESTION] STI51D ZTE 9800 [ADS2]
STI2MU|GE1/1/5.3101|up|up|[TOIP] STI51D ZTE 9800 [ADS2]
STI2MU|GE1/1/5.3616|up|up|VPN GOLD CNM - MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO SANTA FE - REF:785443 LIN:2848262 ACC:STI51D 1-17-01/02
STI2MU|GE1/1/5.3622|up|up|VPN Head Quarter - Cliente - Ref:227787 Lin:2705808 Acc:STI51D 0/17/7-8
STI2MU|GE1/1/5.3624|up|up|VPN BO 1M - DILFER SA - Ref:646596 Lin:2795214 Acc:STI51D 1/17/9
STI2MU|GE1/1/5.3626|up|up|VPN - BNA - Ref 608047 - Linea 2785646 - STI51D 17/11
STI2MU|GE1/1/5.3628|up|up|BANCO BICA SOCIEDAD ANONIMA Ref:649812 Lin:279733
STI2MU|GE1/1/5.3630|up|up|** CORREO OFICIAL - Ref 616740 - Li 2793283 - Aces STI51D-1-17-15 **
STI2MU|GE1/1/5.3632|up|up|VPN-SANTANDER-LINEA2793117-REFE642787-ACC:STI51D 1/17/17 y 18
STI2MU|GE1/1/5.3636|up|up|VPNSPTILUJ(2798020)
STI2MU|GE1/1/5.3638|up|up|VPN - NUEVO BANCO DE SANTA FE - REF:84274 LIN:2599400 ACC:STI51D 1/17/23-24
STI2MU|GE1/1/5.3642|up|up|VPN - NUEVO BANCO DE SANTA FE - REF:873734 LIN:2854939 ACC:STI51D 1/17/27-28
STI2MU|GE1/1/5.3646|up|up|VPN Branch Office 1M -FLEMING Y MARTOLIO SRL Ref:718612 Lin:2825196 Acc:STI51D 0/17/31
STI2MU|GE1/1/5.3810|up|up|INTEGRA LIGHT-EMBOTELLADORA DEL ATLANTICO S. A.-REF 645968-LIN 2795956-ACC STI51D-17-3
STI2MU|GE1/1/5.3812|up|up|INTEGRA LIGHT - FINANCOM SA - REF:885864 LIN:2860557 ACC:STI51D 0/17/5y6
STI2MU|GE1/1/5.3826|up|up|IntegraLight - DANIEL A. BASGALL S.R.L. - Ref:660838 - Lin:2803625 Acc:STI51D 1-1-17/19y20
STI2MU|GE1/1/5.3836|up|up|INTEGRA LIGHT-ANTONIAZZI HNOS-REFERENCIA:676379-LINEA:2813103-ACCESO:STI51D-17-29
STI2MU|GE1/1/5.4101|up|up|[DATOS] STI51D ZTE 9800 [ADS2][L2]
STI2MU|GE1/1/6|up|down|[ACCESO HSI][VI] STIE1D 11004030
STI2MU|GE1/1/6.2101|up|up|[GESTION] STIE1D ZTE 9800 [ADS2]
STI2MU|GE1/1/6.3101|up|up|[TOIP] STIE1D ZTE 9800 [ADS2]
STI2MU|GE1/1/6.4101|up|up|[DATOS] STIE1D ZTE 9800 [ADS2][L2]
STI2MU|GE1/1/7|up|down|ACCESO STI21D - LINEA 9701661
STI2MU|GE1/1/7.3|up|up|HSI STI21D - HIP1MB
STI2MU|GE1/1/8|up|down|[ACCESO HSI][VI] STI31D 9701660
STI2MU|GE1/1/8.2101|up|up|[GESTION] STI31D ZTE 9210 [ADS2]
STI2MU|GE1/1/8.3101|up|up|[TOIP] STI31D ZTE 9210 [ADS2]
STI2MU|GE1/1/8.4101|up|up|[DATOS] STI31D ZTE 9210 [ADS2][L2]
STI2MU|GE1/1/9|up|down|[ACCESO HSI][VI] STIA1D 11003338
STI2MU|GE1/1/9.2101|up|up|[GESTION] STIA1D ZTE 9210 [ADS2]
STI2MU|GE1/1/9.3101|up|up|[TOIP] STIA1D ZTE 9210 [ADS2]
STI2MU|GE1/1/9.4101|up|up|[DATOS] STIA1D ZTE 9210 [ADS2][L2]
STI2MU|GE1/1/10|up|down|[ACCESO HSI][VI] 72K11C 11002422
STI2MU|GE1/1/10.2101|up|up|[GESTION] 72K11C ALU 7330 [VDS2]
STI2MU|GE1/1/10.3101|up|up|[TOIP] 72K11C ALU 7330 [VDS2]
STI2MU|GE1/1/10.4101|up|up|[DATOS] 72K11C ALU 7330 [VDS2][L2]
STI2MU|GE1/1/11|up|down|[ACCESO HSI][VI] 72L11C 11002423
STI2MU|GE1/1/11.2101|up|up|[GESTION] 72L11C ALU 7330 [VDS2]
STI2MU|GE1/1/11.3101|up|up|[TOIP] 72L11C ALU 7330 [VDS2]
STI2MU|GE1/1/11.4101|up|up|[DATOS] 72L11C ALU 7330 [VDS2][L2]
STI2MU|GE1/1/12|up|down|[ACCESO HSI][VI] 72M11C 11002424
STI2MU|GE1/1/12.2101|up|up|[GESTION] 72M11C ALU 7330 [VDS2]
STI2MU|GE1/1/12.3101|up|up|[TOIP] 72M11C ALU 7330 [VDS2]
STI2MU|GE1/1/12.4101|up|up|[DATOS] 72M11C ALU 7330 [VDS2][L2]
STI2MU|GE1/1/13|down|down|ACCESO 72Y11C - LINEA 11002425
STI2MU|GE1/1/13.9|down|down|HSI 72Y11C - HIP1MB
STI2MU|GE1/1/14|up|down|[ACCESO HSI][VI] 72Z11C 11002426
STI2MU|GE1/1/14.2101|up|up|[GESTION] 72Z11C ALU 7330 [VDS2]
STI2MU|GE1/1/14.3101|up|up|[TOIP] 72Z11C ALU 7330 [VDS2]
STI2MU|GE1/1/14.4101|up|up|[DATOS] 72Z11C ALU 7330 [VDS2][L2]
STI2MU|GE1/1/15|up|down|[ACCESO HSI][VI] 73B11C 11002427
STI2MU|GE1/1/15.2101|up|up|[GESTION] 73B11C ALU 7330 [VDS2]
STI2MU|GE1/1/15.3101|up|up|[TOIP] 73B11C ALU 7330 [VDS2]
STI2MU|GE1/1/15.4101|up|up|[DATOS] 73B11C ALU 7330 [VDS2][L2]
STI2MU|GE1/1/16|up|down|[ACCESO HSI][VI] STIM01 11001443
STI2MU|GE1/1/16.2101|up|up|[GESTION] STIM01 HUA 5600_T [VDS2]
STI2MU|GE1/1/16.3101|up|up|[TOIP] STIM01 HUA 5600_T [VDS2]
STI2MU|GE1/1/16.4101|up|up|[DATOS] STIM01 HUA 5600_T [VDS2][L2]
STI2MU|GE1/1/17|up|down|[ACCESO HSI][VI] 72G11C 11002428
STI2MU|GE1/1/17.2101|up|up|[GESTION] 72G11C ALU 7330 [VDS2]
STI2MU|GE1/1/17.3101|up|up|[TOIP] 72G11C ALU 7330 [VDS2]
STI2MU|GE1/1/17.4101|up|up|[DATOS] 72G11C ALU 7330 [VDS2][L2]
STI2MU|GE1/1/18|up|down|[ACCESO HSI][VI] 72N11C 11002429
STI2MU|GE1/1/18.2101|up|up|[GESTION] 72N11C ALU 7330 [VDS2]
STI2MU|GE1/1/18.3101|up|up|[TOIP] 72N11C ALU 7330 [VDS2]
STI2MU|GE1/1/18.4101|up|up|[DATOS] 72N11C ALU 7330 [VDS2][L2]
