shelfname|interface|portoperationalstate|protocol|info1
TAE1MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
TAE1MU|Eth-Trunk1|up|down|LAG PTN ALU 18TAN01_G9/1-9/2 (A MUN1MB_BE1000)
TAE1MU|Eth-Trunk1.4089|*down|down|Enlace a MUN1MB_Bundle-Ether1000.4089 UPLINK MSBNG
TAE1MU|Eth-Trunk2|down|down|TNK1MD_Link-agg-1
TAE1MU|Eth-Trunk2.33|down|down|GESTION_TNK1MD
TAE1MU|Eth-Trunk2.2297|*down|down|NGN TZ2G01 - ADSL - Linea 60000124
TAE1MU|Eth-Trunk2.22973|*down|down|RTP Y SIGNALING NGN TANDIL COMERCIAL (TZ2G) TZ21MD 2/1/9
TAE1MU|Eth-Trunk2.22974|*down|down|GESTION IPMB TANDIL COMERCIAL (TZ2G) TZ21MD 2/1/9
TAE1MU|Eth-Trunk2.22975|*down|down|GESTION PVM TANDIL COMERCIAL (TZ2G) TZ21MD 2/1/9
TAE1MU|Eth-Trunk3|up|down|LAG PTN ALU 18TAN01_G9/7-9/8 (A MUN1MB_BE1000)
TAE1MU|Eth-Trunk3.4041|*down|down|Enlace a MUN1MB_Bundle-Ether1000.4041 UPLINK MSBNG
TAE1MU|Eth-Trunk4|down|down|LAG SDH 35TAN01_G6
TAE1MU|Eth-Trunk6|up|down|ENTREAYUDA A TZ23MD
TAE1MU|Eth-Trunk6.33|up|up|GESTION_TZ23MD
TAE1MU|Eth-Trunk6.2284|up|up|NGN TZ1G01 - ADSL - Linea 60000117
TAE1MU|Eth-Trunk6.2286|*down|down|NGN TZ3G01 - ADSL - Linea 60000118
TAE1MU|Eth-Trunk6.2288|up|up|NGN TZ4G01 - ADSL - Linea 60000119
TAE1MU|Eth-Trunk6.2290|*down|down|NGN TZ5G01 - ADSL - Linea 60000120
TAE1MU|Eth-Trunk6.2292|*down|down|NGN TZ6G01 - ADSL - Linea 60000121
TAE1MU|Eth-Trunk6.2294|*down|down|NGN TZ7G01 - ADSL - Linea 60000122
TAE1MU|Eth-Trunk6.2301|up|up|Dslam TZ211D - ADSL - Linea. 60000127
TAE1MU|Eth-Trunk6.2312|up|up|MSAN - TZ1G01 -  G. - Linea. 60000117
TAE1MU|Eth-Trunk6.2481|*down|down|MSAN - TZ3G01   G.  Linea. 60000118
TAE1MU|Eth-Trunk6.2571|up|up|Dslam TZ211D - ADSL + G. - Linea.60000127
TAE1MU|Eth-Trunk6.2593|*down|down|MSAN - TZ5G01 -  G. - Linea. 60000120
TAE1MU|Eth-Trunk6.2594|*down|down|MSAN - TZ6G01 -  G. - Linea. 60000121
TAE1MU|Eth-Trunk6.22833|*down|down|[RTP][SIGN] TZ1G01 HUA 5000 [NGN]
TAE1MU|Eth-Trunk6.22834|*down|down|[GESTION][IPMB] TZ1G01 HUA 5000 [NGN]
TAE1MU|Eth-Trunk6.22835|*down|down|[GESTION][PVM] TZ1G01 HUA 5000 [NGN]
TAE1MU|Eth-Trunk6.22853|*down|down|RTP Y SIGNALING NGN TANDIL 3 (TZ3G) TZ21MD 2/1/3
TAE1MU|Eth-Trunk6.22854|*down|down|GESTION IPMB TANDIL 3 (TZ3G) TZ21MD 2/1/3
TAE1MU|Eth-Trunk6.22855|*down|down|GESTION PVM TANDIL 3 (TZ3G) TZ21MD 2/1/3
TAE1MU|Eth-Trunk6.22873|*down|down|RTP Y SIGNALING NGN TANDIL 4 (TZ4G) TZ21MD 2/1/4
TAE1MU|Eth-Trunk6.22874|*down|down|GESTION IPMB TANDIL 4 (TZ4G) TZ21MD 2/1/4
TAE1MU|Eth-Trunk6.22875|*down|down|GESTION PVM TANDIL 4 (TZ4G) TZ21MD 2/1/4
TAE1MU|Eth-Trunk6.22893|*down|down|[RTP][SIGN] TZ5G01 HUA 5000 [NGN]
TAE1MU|Eth-Trunk6.22894|*down|down|[GESTION][IPMB] TZ5G01 HUA 5000 [NGN]
TAE1MU|Eth-Trunk6.22895|*down|down|[GESTION][PVM] TZ5G01 HUA 5000 [NGN]
TAE1MU|Eth-Trunk6.22913|*down|down|[RTP][SIGN] TZ6G01 HUA 5000 [NGN]
TAE1MU|Eth-Trunk6.22914|*down|down|[GESTION][IPMB] TZ6G01 HUA 5000 [NGN]
TAE1MU|Eth-Trunk6.22915|*down|down|[GESTION][PVM] TZ6G01 HUA 5000 [NGN]
TAE1MU|Eth-Trunk6.22933|*down|down|RTP Y SIGNALING NGN TANDIL 7 (TZ7G) TZ21MD 2/1/7
TAE1MU|Eth-Trunk6.22934|*down|down|GESTION IPMB TANDIL 7 (TZ7G) TZ21MD 2/1/7
TAE1MU|Eth-Trunk6.22935|*down|down|GESTION PVM TANDIL 7 (TZ7G) TZ21MD 2/1/7
TAE1MU|Eth-Trunk6.22953|*down|down|RTP Y SIGNALING NGN TANDIL 8 (TZ8G) TZ21MD 2/1/8
TAE1MU|Eth-Trunk6.22954|*down|down|GESTION IPMB TANDIL 8 (TZ8G) TZ21MD 2/1/8
TAE1MU|Eth-Trunk6.22955|*down|down|GESTION PVM TANDIL 8 (TZ8G) TZ21MD 2/1/8
TAE1MU|Eth-Trunk7|up|down|LAG PTN ALU 18TAN01_G16/1-17/1
TAE1MU|Eth-Trunk7.1036|up|up|TWAMP 5RB1Z01
TAE1MU|Eth-Trunk7.1037|up|up|TWAMP 5RBJU01
TAE1MU|Eth-Trunk7.1039|up|up|TWAMP 5RAZU01
TAE1MU|Eth-Trunk7.1040|up|up|TWAMP 5ROLA01
TAE1MU|Eth-Trunk7.3080|up|up|TWAMP 5RAZE01
TAE1MU|Eth-Trunk7.11010002|up|down|TIP - ETERNET - REF:659365 LIN:2765185 - ACC:5RBJU01/5/3 - WAN#1/2
TAE1MU|Eth-Trunk7.11030003|up|up|TIP - ETERNET - REF:659365 LIN:2803115 - ACC:5RBJU01/7/3 - WAN#2/2
TAE1MU|Eth-Trunk7.26780002|up|up|TIP - ZONANET DIGITAL SRL - REFE:663880 LIN:2805983 - Acc:5RBJU01/05/GE_1
TAE1MU|Eth-Trunk10|up|down|LAG FO A TZ22MU_Eth-Trunk10
TAE1MU|Eth-Trunk10.4000|up|up|HUAWEI, Eth-Trunk10.4000 Interface
TAE1MU|Eth-Trunk10.4001|up|up|HUAWEI, Eth-Trunk10.4001 Interface
TAE1MU|Eth-Trunk10.4002|up|up|HUAWEI, Eth-Trunk10.4002 Interface
TAE1MU|Eth-Trunk11|down|down|HUAWEI, Eth-Trunk11 Interface
TAE1MU|GE0/0/0|down|down|HUAWEI, GigabitEthernet0/0/0 Interface
TAE1MU|GE1/0/0|*down|down|HUAWEI, GigabitEthernet1/0/0 Interface
TAE1MU|GE1/0/1|up|up|Enlace 10G DWDM BEL1MB_G0/7/0/20Linea:15007994 - UPLINK MSBNG (A64TAE01_G1/4)
