shelfname|interface|portoperationalstate|protocol|info1
UNQ2MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
UNQ2MU|GE0/0/0|down|down|HUAWEI, GigabitEthernet0/0/0 Interface
UNQ2MU|GE1/0/0|up|up|Enlace 10G FO VLD2MU_G8/0/0 Linea:13002084 - UPLINK UPE
UNQ2MU|GE1/0/1|up|up|Enlace 10G FO VLD2MU_G8/0/1 Linea:13006571 - UPLINK UPE
UNQ2MU|GE1/1/0|up|down|ACCESO NUWG01 UNQULLIO CORDOBA -LINEA 13002168
UNQ2MU|GE1/1/0.2|up|up|[SIGN] NUWG01 HUA 5603_T [NGN]
UNQ2MU|GE1/1/0.3|up|up|[RTP] NUWG01 HUA 5603_T [NGN]
UNQ2MU|GE1/1/0.4|up|up|[GESTION] NUWG01 HUA 5603_T [NGN]
UNQ2MU|GE1/1/0.16|up|up|HSI NUWG01 - CEN1MB
UNQ2MU|GE1/1/1|up|down|ADSL UNQ31D - 9700463
UNQ2MU|GE1/1/1.128|up|up|HSI UNQ31D - CEN1MB
UNQ2MU|GE1/1/2|up|down|ADSL UNQ21D - 9701933
UNQ2MU|GE1/1/2.129|up|up|HSI UNQ21D - CEN1MB
UNQ2MU|GE1/1/3|up|down|ADSL UNQM01 - 13001285
UNQ2MU|GE1/1/3.130|up|up|HSI UNQM01 - CEN1MB
UNQ2MU|GE1/1/4|up|down|ADSL UNQ51D - 13003724
UNQ2MU|GE1/1/4.25|up|up|HSI UNQ51D - CEN1MB
UNQ2MU|GE1/1/5|up|down|ADSL UNQ41D - 13003723
UNQ2MU|GE1/1/5.26|up|up|HSI UNQ41D - CEN1MB
UNQ2MU|GE1/1/6|down|down|eNODOB MENDIOLAZA_E53 - A03-S882(755136) NODOB (755140) (755141)
UNQ2MU|GE1/1/7|up|down|CONEXION A UNQT MINIUMG UNQUILLO- L.9703783
UNQ2MU|GE1/1/7.3119|up|up|NGN UNQT - COE2MB
UNQ2MU|GE1/1/8|up|down|ACCESO NGN+ADSL UNQUILLO-UQYG01-Linea 13000095
UNQ2MU|GE1/1/8.1|up|up|HSI UQYG01 - COE1MB
UNQ2MU|GE1/1/8.3|up|up|[RTP][SIGN] UQYG01 HUA 5000 [NGN]
UNQ2MU|GE1/1/8.4|up|up|[GESTION][IPMB] UQYG01 HUA 5000 [NGN]
