shelfname|interface|portoperationalstate|protocol|info1
VMR2MU|GE0/0/0|down|down|
VMR2MU|GE1/0/0(10G)|up|up|Enlace 10G FO ESH1MB_G0/0/0/11 Linea: 15004392 - UPLINK MSBNG
VMR2MU|GE1/0/1(10G)|down|down|INTEGRA - MINIST DE SALUD DE LA PROV BS AS - REF: 948624 - LINEA: 2870067 - ACC: VMR2MU 1/0/1
VMR2MU|GE1/0/1.1270(10G)|down|down|INTEGRA - MINIST DE SALUD DE LA PROV BS AS - REF: 948624 - LINEA: 2870067 - ACC: VMR2MU 1/0/1
VMR2MU|GE1/1/0|up|down|ADSL VYZ11C - 15000628
VMR2MU|GE1/1/0.20|up|up|HSI VYZ11C - LOP1MB
VMR2MU|GE1/1/1|up|down|INTEGRA - HUNTER DOUGLAS ARG SA - REF: 538196 - LINEA: 2814954 - TRZ37352
VMR2MU|GE1/1/1.8|up|up|INTEGRA - HUNTER DOUGLAS ARG SA - REF: 538196 - LINEA: 2814954 - ACC: VMR2MU 1/1/1
VMR2MU|GE1/1/2|up|down|INTEGRA - DINATECNICA SA - REF:710903
VMR2MU|GE1/1/2.2|up|up|INTEGRA - DINATECNICA SA - REF:710903
VMR2MU|GE1/1/3|up|down|INTEGRA - ASOCIACION ARG DE LOS ADVENTISTAS DEL 7MO.DIA - REF:223492 - Lin:2730626
VMR2MU|GE1/1/3.27|up|up|INTEGRA - ASOCIACION ARG DE LOS ADVENTISTAS DEL 7MO.DIA - REF:223492 - Lin:2730626
VMR2MU|GE1/1/4|down|down|
VMR2MU|GE1/1/5|up|down|ADSL VMR21D - 9703377
VMR2MU|GE1/1/5.1|up|up|HSI VMR21D - LOP1MB
VMR2MU|GE1/1/6|up|down|ADSL VMRM01 - 15003446
VMR2MU|GE1/1/6.2|up|up|HSI VMRM01 - LOP1MB
VMR2MU|GE1/1/6.3104|up|up|Integra Light -DESSOL INDUSTRIAL S.A. - Ref:794819 Lin:2852664 Acc:VMRM01 0/2/26
VMR2MU|GE1/1/7|up|down|ADSL VMR41D - 9703879
VMR2MU|GE1/1/7.3|up|up|HSI VMR41D - LOP1MB
VMR2MU|GE1/1/8|up|down|ADSL VMR31D - 9704564
VMR2MU|GE1/1/8.4|up|up|HSI VMR31D - LOP1MB
VMR2MU|GE1/1/9|up|down|ADSL VYK11C - 15000627
VMR2MU|GE1/1/9.5|up|up|HSI VYK11C - LOP1MB
VMR2MU|GE1/1/10|up|down|ADSL VYM11C - 15000639
VMR2MU|GE1/1/10.6|up|up|HSI VYM11C - LOP1MB
VMR2MU|GE1/1/11|up|down|ADSL VYL11C - 15000626
VMR2MU|GE1/1/11.7|up|up|HSI VYL11C - LOP1MB
VMR2MU|GE1/1/12|up|down|ADSL VYH11C - 15000642
VMR2MU|GE1/1/12.8|up|up|HSI VYH11C - LOP1MB
VMR2MU|GE1/1/13|up|down|ADSL VYI11C - 15000641
VMR2MU|GE1/1/13.9|up|up|HSI VYI11C - LOP1MB
VMR2MU|GE1/1/14|up|down|ADSL VYJ11C - 15000640
VMR2MU|GE1/1/14.10|up|up|HSI VYJ11C - LOP1MB
VMR2MU|GE1/1/15|up|down|ADSL VYN11C - 15000638
VMR2MU|GE1/1/15.11|up|up|HSI VYN11C - LOP1MB
VMR2MU|GE1/1/16|up|down|ADSL VYO11C - 15000637
VMR2MU|GE1/1/16.12|up|up|HSI VYO11C - LOP1MB
VMR2MU|GE1/1/17|up|down|ADSL VYQ11C - 15000636
VMR2MU|GE1/1/17.13|up|up|HSI VYQ11C - LOP1MB
VMR2MU|GE1/1/18|up|down|ADSL VYS11C - 15000635
VMR2MU|GE1/1/18.14|up|up|HSI VYS11C - LOP1MB
VMR2MU|GE1/1/19|up|down|ADSL VYU11C - 15000633
VMR2MU|GE1/1/19.15|up|up|HSI VYU11C - LOP1MB
VMR2MU|GE1/1/20|up|down|ADSL VYV11C - 15000632
VMR2MU|GE1/1/20.16|up|up|HSI VYV11C - LOP1MB
VMR2MU|GE1/1/21|up|down|ADSL VYW11C - 15000631
VMR2MU|GE1/1/21.17|up|up|HSI VYW11C - LOP1MB
VMR2MU|GE1/1/22|up|down|ADSL VYX11C - 15000630
VMR2MU|GE1/1/22.18|up|up|HSI VYX11C - LOP1MB
VMR2MU|GE1/1/23|up|down|ADSL VYY11C - 15000629
VMR2MU|GE1/1/23.19|up|up|HSI VYY11C - LOP1MB
VMR2MU|GE3/1/0(10G)|down|down|
VMR2MU|GE3/1/1(10G)|down|down|
VMR2MU|GE3/1/2(10G)|down|down|
VMR2MU|GE3/1/3(10G)|down|down|
VMR2MU|GE3/1/4(10G)|down|down|
VMR2MU|GE3/1/5(10G)|down|down|
VMR2MU|GE3/1/6(10G)|down|down|
VMR2MU|GE3/1/7(10G)|down|down|
VMR2MU|GE3/1/8(10G)|down|down|
VMR2MU|GE3/1/9(10G)|down|down|
VMR2MU|GE4/0/0|down|down|
VMR2MU|GE4/0/1|up|down|ACCESO ADSL A VMR81D - VILLA MARTELLI - Linea 15006378
VMR2MU|GE4/0/1.1|up|up|HSI VMR81D - ESH1MB
VMR2MU|GE4/0/2|up|down|ACCESO ADSL A VMR71D - VILLA MARTELLI - Linea 15006377
VMR2MU|GE4/0/2.1|up|up|HSI VMR71D - ESH1MB
VMR2MU|GE4/0/3|down|down|
VMR2MU|GE4/0/4|up|down|VPN GECOMTEL CTR Villa Martelli - Lin:9004770
VMR2MU|GE4/0/4.40|up|up|VPN GECOMTEL - CTR Villa Martelli - Lin:9004770
VMR2MU|GE4/0/4.9580592|*down|down|L2L GECOMTEL URA Villa Martelli Lin:9004770 <-> BEL1MB BE300.958
VMR2MU|GE4/0/5|*down|down|FRONTERA TECO-FIBER TECNOPOLIS
VMR2MU|GE4/0/5.2|down|down|FRONTERA TECO-FIBER TECNOPOLIS
VMR2MU|GE4/0/5.1298|down|down|L2L_L2L_WIFI-CAMPUSPARTY2018(2856361)REFE:876170_Ges.TECO
VMR2MU|GE4/0/6|*down|down|
VMR2MU|GE4/0/7|up|down|eNODOB TECNOPOLIS_INDOOR - NI_046 (434416) NODOB (754034) ()
VMR2MU|GE4/0/7.1048|up|up|eNODOB - TECNOPOLIS_INDOOR - NI_046 - (1) (434416) - S1
VMR2MU|GE4/0/7.1049|up|up|eNODOB - TECNOPOLIS_INDOOR - NI_046 - (2) (434416) - S1MME
VMR2MU|GE4/0/7.1050|up|up|eNODOB - TECNOPOLIS_INDOOR - NI_046 - (3) (434416) - GOMRAN
VMR2MU|GE4/0/8|up|down|eNODOB TECNOPOLIS_MICROESTADIO - NI_056  (687471) NODOB (687466) ()
VMR2MU|GE4/0/8.1080|up|up|eNODOB - TECNOPOLIS_MICROESTADIO - NI_056  - (1) (687471) - S1
VMR2MU|GE4/0/8.1081|up|up|eNODOB - TECNOPOLIS_MICROESTADIO - NI_056  - (2) (687471) - S1MME
VMR2MU|GE4/0/8.1082|up|up|eNODOB - TECNOPOLIS_MICROESTADIO - NI_056  - (3) (687471) - GOMRAN
VMR2MU|GE4/0/8.1083|up|up|NODOB - TECNOPOLIS_MICROESTADIO - NI_056  - (1) (687466) - 3G
VMR2MU|GE4/0/9|up|down|G. A VMR21D - linea 9701461
VMR2MU|GE4/0/10|up|down|ACCESO ADSL + G. A VMR61D - linea 15000093
VMR2MU|GE4/0/10.1|up|up|HSI VMR61D - ESH1MB
VMR2MU|GE4/0/10.3618|up|up|PRESURIZACION VILLA MARTELLI - REF:943312 - Acc:VMR61D 0/17/3 - V33/H4/67
