shelfname|interface|portoperationalstate|protocol|info1
ZAB3MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
ZAB3MU|Eth-Trunk1|up|down|VME1ME_Eth-Trunk3
ZAB3MU|Eth-Trunk1.35|up|up|GESTION_VME1ME
ZAB3MU|Eth-Trunk1.141|up|up|HSI VW1G01 - ZAB1MB
ZAB3MU|Eth-Trunk1.1058|*down|down|GHDSL VME21D a ZAB1MB  - Linea 9702703 ESTA EN VMU1MU
ZAB3MU|Eth-Trunk1.1497|up|up|HSI PQQG01
ZAB3MU|Eth-Trunk1.1500|up|up|INTEGRA - LAS AZUCENAS S.R.L. - Ref.319200 - Linea 2765329
ZAB3MU|Eth-Trunk1.10126|up|up|ADSL VME11D a ZAB1MB - Linea 9702704
ZAB3MU|Eth-Trunk1.10128|up|up|ADSL VM0G01 a ZAB1MB - L:13001711
ZAB3MU|Eth-Trunk1.22006|up|up|INTEGRA - SANTIAGO SAENZ S A - REF: 326109 - LINEA: 2804889 - ACC:VME1MU  5/0/6
ZAB3MU|Eth-Trunk1.22008|up|up|INTEGRA - DISTRIBUIDORA VIDT SRL- REF: 708450 - LINEA: S/N - ACC:VME1MU  5/0/4
ZAB3MU|Eth-Trunk1.22009|up|up|INTEGRA - CERAMICA DEL NORTE S.A.- REF: 738001 - LINEA: 2835156 -ACC: VME1MU 5/0/12
ZAB3MU|Eth-Trunk1.109762|up|up|NGN SIGNZTE5200 VILLA MITRE - SALTA - VM0G01 -L:13001711
ZAB3MU|Eth-Trunk1.109763|up|up|NGN RTP VILLA MITRE VM0G01 LINEA:9701070
ZAB3MU|Eth-Trunk1.109764|up|up|GESTION IPMB  VILLA MITRE VM0G01LINEA:9701070
ZAB3MU|Eth-Trunk1.9920002|up|up|NGN SIGN VILLA MITRE VMEG01 UMG LINEA:9701070
ZAB3MU|Eth-Trunk1.9920003|up|up|NGN RTP VILLA MITRE VMEG01 UMG LINEA:9701070
ZAB3MU|Eth-Trunk1.9920005|up|up|GESTION PVM VILLA MITRE VMEG01 UMG LINEA:9701070
ZAB3MU|Eth-Trunk1.14920002|up|up|VPN PLATINUM - DIA ARGENTINA S.A.- REF:570139 L:2761986
ZAB3MU|Eth-Trunk1.14920003|up|up|GESTION VPN PLATINUM - DIA ARGENTINA S.A. - REF:570139 L:2761986
ZAB3MU|Eth-Trunk1.14960003|up|up|[RTP][SIGN] PQQG01 HUA 5000 [NGN]
ZAB3MU|Eth-Trunk1.14960004|up|up|[GESTION][IPMB] PQQG01 HUA 5000 [NGN]
ZAB3MU|Eth-Trunk1.14960005|up|up|[GESTION][PVM] PQQG01 HUA 5000 [NGN]
ZAB3MU|Eth-Trunk1.15043622|up|up|VPN 1M - CASTELLANI - REF:610794- L:2782890 - ACC:PQQG01D0-15-6
ZAB3MU|Eth-Trunk1.15043626|up|up|VPN - DDEIP (GESTION) PRODUCTOS ALIMENTICIOS SOFIA S - REF:792592- lin:2852471 - ACC:PQQG01D0-15-10/11
ZAB3MU|Eth-Trunk1.15043808|up|up|Ref:663939-1504 Lin:2806046 Acc:PQQG01 0/15/0y1
ZAB3MU|Eth-Trunk1.15043810|up|up|Integra Light - FECOVITA - REF:774292 LIN: 2842088 - PQQG01 15/2-3
ZAB3MU|Eth-Trunk1.15043814|up|up|INTEGRA LIGHT_EDULUC_Ref.681741_Lin:2815782_Acc:PQQG01 0-15-6/7
ZAB3MU|Eth-Trunk1.15043816|up|up|Integra Light 4M - GONZALEZ RAULDAVID - REF:608044 - PQQG01 0-15/8y9
ZAB3MU|Eth-Trunk1.15043820|up|up|INTEGRA LIGHT - CASTELLANI LUIS -ref 896510 - ACC: PQQG01 0/15/12-13
ZAB3MU|Eth-Trunk1.36160003|up|up|[RTP][SIGN] VW1G01 HUA 5000 [NGN]
ZAB3MU|Eth-Trunk1.36160004|up|up|[GESTION][IPMB] VW1G01 HUA 5000 [NGN]
ZAB3MU|Eth-Trunk1.36160005|up|up|[GESTION][PVM] VW1G01 HUA 5000 [NGN]
ZAB3MU|Eth-Trunk2|down|down|VME1ME_Eth-Trunk1
ZAB3MU|Eth-Trunk2.11006|down|down|ADSL VME21D a ZAB1MB  - Linea 9702703
